text,nrc_sentiment,dpm_sentiment
I’m dedicating this Black Trans Joy this morning to Zaya Wade and all the beautiful young trans babies! Anything is possible! You are worthy of celebration and love! @itsgabrielleu @DwyaneWade @CalvinKlein #BlackTransLivesMatter #zayawade #BlackLivesMatter #TransIsBeautiful,joy,surprise
White girls who posted a black square when they realize #BoycottStarbucks is part of supporting Black Lives Matter. ,joy,surprise
"Mr. @realDonaldTrump We don’t need to crack down on protesters, but to Listen to the protesters! #BlackLivesMatter ",joy,disgust
Remember when the Minnesota Lynx wore Black Lives Matter and Minneapolis cops walked away from their security posts in protest?,joy,surprise
"SIGN SIGN SIGN!!!! Just because your timeline is back to normal, doesn’t mean it’s time to forget black lives matter ",joy,surprise
Remember when we had a President and Vice President who understood that #BlackLivesMatter and brought people together? #ObamaDayUSA,joy,surprise
"Pictured after meeting with #GeorgeFloyd’s family: VP @JoeBiden, @TheRevAl, @AttorneyCrump, Rep. @CedricRichmond, and Roger Floyd (George Floyd’s uncle) ",joy,disgust
"Listen, what’s happening in Dyckman is TRASH. I’m deeply embarrassed by it. However, I’m choosing to stay on course. It’s still Black Lives Matter + that should be the sole focus right now. Don’t let Dyckman be a distraction. There is an abundance of Dominicans that stand w BLM",joy,surprise
JUST IN: A crowd of 60k came out peacefully for #GeorgeFloyd in downtown #Houston.,joy,surprise
Let it be known: #Flint Michigan “The most violent city in America” had a successful peaceful police protest tonight. #BLACK_LIVES_MATTER #JusticeForGeorge #WalkWithUs #FlintMichigan,joy,disgust
Black Lives Matter Miami Protest ,joy,surprise
Ray Ciccarelli (0-31 for his entire racing career) announced he’s quitting NASCAR due to their decision to ban confederate flags because he’s a racist mother fucker. NASCAR is desperately seeking another driver to regularly finish 28th. #blm #blacklivesmatter #ConfederateFlag,joy,surprise
"Protest is growing outside the White House. Protesters chant, “Black Lives Matter, “No Justice, No Peace.” They’re outraged over the deaths of George Floyd, Breonna Taylor and other unarmed African Americans in the United States. #GeorgeFloyd #BreonnaTaylor @NBCNews @MSNBC – at The White House",joy,anger
"Long before former officer Derek Chauvin knelt on George Floyd's neck, the 3rd Precinct in south Minneapolis had a reputation for being home to “cowboy” police officers who played by their own rules. ",joy,disgust
"So good to find fellow headbangers at another Black Lives Matter protest :,) @Excision",joy,surprise
Live - #GeorgeFloyd Peaceful Protest in Downtown Houston from atop @TheMarquisHOU,joy,surprise
Thank you for your Black Lives Matter post. Now show me your budget. ,joy,surprise
"Posted this on #TikTok, thought it fitting to share here. #BlackLivesMatter ",joy,surprise
"Really upbeat here right now, after a man walked into the middle of the massive crowd blasting music. People are singing, dancing & waving signs. Some demonstrators remain face to face with the military & federal police, but things are peaceful at this #GeorgeFloyd protest. – at Lafayette Square Park",joy,surprise
A two-time Purple Heart recipient stood outside the Utah State Capitol for more than three hours in 90 degree heat to show support for the Black Lives Matter movement. http://kutv.com/news/local/utah-marine-stands-alone-at-utah-capitol-with-i-cant-breathe-covering-his-mouth,joy,surprise
"ALL BLACK LIVES MATTER. These children we're killed over the weekend in Atlanta, Hoover, Alabama, Washington, DC, San Francisco, and my hometown Chicago. If you don't believe these babies' lives mattered UNFOLLOW ME NOW! ",joy,surprise
Black lives matter.,joy,surprise
Black lives matter.,joy,surprise
Black lives matter.,joy,surprise
Black lives matter.,joy,surprise
Black lives matter.,joy,surprise
Black lives matter.,joy,surprise
Black lives matter.,joy,surprise
Black lives matter.,joy,surprise
Black lives matter.,joy,surprise
Black lives matter.,joy,surprise
Black lives matter.,joy,surprise
Black lives matter.,joy,surprise
Black lives matter.,joy,surprise
Black lives matter.,joy,surprise
Black lives matter.,joy,surprise
Black lives matter.,joy,surprise
Walk with me. 2 o’clock. Andrews Park. #BlackLivesMatter #PeacefulProtest ,joy,disgust
"Pictured after meeting with the family of #GeorgejoFloyd &amp; @joebiden. Congressman Cedric Richmond, presidential candidate Joe Biden, Attorney Ben Crump and Roger Floyd, George Floyd’s uncle. ",joy,disgust
Very proud to retweet this but mostly very proud of the boys for taking such an important and historic stance. #BlackLivesMatter @OfficialMonstaX,joy,surprise
"Black Lives Matter Protest, Kingston Jamaica. (June 6, 2020) [THREAD] – at Embassy of the United States of America",joy,surprise
Massive protest in Toronto. Black lives matter! #JusticeForRegis #JusticeForFloyd,joy,surprise
y’all mfs really treated Black Lives Matter like it was spirit week or sumn ,joy,surprise
Black Lives Matter at West Virginia University. ,joy,surprise
"TODAY at 3:45 PM ET, join us LIVE on Facebook in observing a moment of silence for #8minutesand46seconds. If you can, stop everything, and take those moments to honor the life of #GeorgeFloyd. #JusticeForGeorgeFloyd #BlackLivesMatter #BLM #iCantBreathe #WeAreDoneDying",joy,surprise
 STILL Black Lives Matter ,joy,surprise
"LOOK what is happening on Congress Avenue in Austin this morning!!! Workers painting “Black Austin Matters” and being cheered on by nearby business employees! #blackLivesMatter @Austin, Texas ",joy,surprise
"If you're not sure what to say, here are a few things you could start with - Black Lives Matter. - I hear you. - I see you. - I stand with you. - I stand against racism. - I support you. - I will do better. - I understand that words are not enough. - I recognize my privilege.",joy,surprise
"On this day in 1865, the slaves in #Galveston, Texas received word that they were free. To Galveston’s NW lies #Houston, the city where George Floyd grew up, and current home to @NASA_Astronauts. Let’s celebrate the progress we’ve made, and continue to march as one. #juneteenth",joy,surprise
"Hundreds gathered now for a day of #GeorgeFloydProtests here at Black Lives Matter Plaza, formerly 16th Street. The tone is upbeat. Food, music, limited police presence. It’s hard to imagine this was a battlefield less than a week ago. ",joy,surprise
"“It is very moving, very moving, very impressive. I think what the people in DC and around the nation are sending a mighty, powerful and strong message to the world that WE WILL GET THERE.” Congressman John Lewis on #BlackLivesMatter Plaza this morning ",joy,surprise
"Gladys Bentley. Gladys was a black, lesbian, cross-dressing performer.She dressed in men's clothes (a signature tuxedo and top hat), played piano, and sang her own songs popular songs while flirting with women in the audience. celebrate black lgbtq icons. #blacklivesmatter ",joy,surprise
"Mitt Romney is the only Republican senator who voted to remove the president from office and the only one to march for Black Lives Matter. He's not riding in on a white horse, but he's got a white dog strapped to the top of the station wagon of decency.",joy,disgust
Pornhub said Black Lives Matter ,joy,surprise
"Washington D.C. — today’s peaceful protest. Demands of justice for George Floyd, Breonna Taylor and Ahmaud Arbery. ",joy,disgust
"We are here in Minneapolis standing in solidarity with the family of #GeorgeFloyd. I am joined by the Mother of Eric Garner, Gwen Carr. No Justice, No Peace! #ICantBreathe",joy,surprise
"Today on May 30,2020, history was made in Newark, NJ as hundreds of people gathered PEACEFULLY to protest against the murder of George Floyd &amp; to promote justice and solidarity throughout this nation. I am so proud of us for taking a step towards change! We did this!!! ",joy,surprise
*Breaking news* There are reporters in sports media who cover black players but don't care about black lives matter.,joy,surprise
BLACK. LIVES. MATTER. ,joy,surprise
BLACK. LIVES. MATTER. ,joy,surprise
BLACK. LIVES. MATTER. ,joy,surprise
BLACK. LIVES. MATTER. ,joy,surprise
"Literially, the current ariel view of 16th street in Washington, DC headed towards the Whitehouse. Giant Black Lives Matter mural painted into the street. #BlackLivesMatterDC #blacklivesmatter ",joy,surprise
"Omaha, Nebraska listen up and listen good #BlackLivesMatter #JusticeForJamesScurlock",joy,surprise
Black Lives Matter was formed in 2013. Activists lobbied Obama and @JoeBiden for YEARS to pass meaningful police reform. But all they did was pass photo op reform. @realDonaldTrump is taking action and is signing an Executive Order with meaningful reform. Will #BLM praise him?,joy,surprise
To all the Ignorant Hispanics saying “they don’t care about us” to the Black Lives Matter movement/protest I better see y’all there for this protest put your words into actions ,joy,surprise
BLACK LIVES MATTER DC LEGAL SUPPORT FUND https://www.gofundme.com/f/defendblmdc?utm_medium=social&amp;utm_source=twitter&amp;utm_campaign=p_na+share-sheet&amp;rcid=100533376d9b4a9fa0d41ff87ec62519 @gofundme,joy,surprise
BLACK LIVES MATTER BLACK LOVE MATTERS BLACK BUSINESSES MATTER BLACK ART MATTERS BLACK DREAMS MATTER,joy,surprise
This is the definition of selfless. She just dropped a iconic new album she’s put her entire last years of her life into. Yet she wants to make sure equality always wins. Thank you @ladygaga #BlackLivesMatter ,joy,surprise
"New fence around the White House becomes a canvas for protesters. George Floyd, Black Lives Matter, racial injustice and police reform are all prominent messages: @NBCNews",joy,surprise
"No justice, no peace, no racist ass police! #AtlantaProtest #BlackLivesMatter ",joy,anger
IN HIS OWN WORDS: George Floyd speaks about the senseless violence in Houston. You can tell the Brother had a beautiful heart. May Allah be pleased with him. ,joy,surprise
"Started peacefully, ended peacefully #BaltimoreProtest #BLACK_LIVES_MATTER ",joy,surprise
"MARCH FOR GEORGE FLOYD: A massive crowd has assembled in downtown #Houston for a peaceful march to honor the life of #GeorgeFloyd, who grew up in the third ward. LIVE COVERAGE https://abc13.com/society/live-houstonians-march-in-support-of-george-floyds-family/6226152/",joy,surprise
This is the world we live in... #BlackLivesMatter #GeorgeFloyd #icantbreathe,joy,disgust
If you want to show your support for #BlackLivesMatter protestors but are overwhelmed + don’t know where to start Visit http://ally.wiki for up-to-date links to: - Events - Donations + bail funds (by city) - Petitions - Helpful tips for protesting - Educational resources,joy,surprise
A photo of the new Black Lives Matter mural outside City Hall. It was designed and painted by teams of talented artists. The work is presented by the City of Cincinnati. – at Cincinnati City Hall,joy,surprise
"Black Lives Matter, even in Morvant, Laventille and Sea Lots",joy,surprise
A powerful moment as protestors take a 9 minute moment of silence outside of @NMAAHC in honor of #GeorgeFloyd #BlackLivesMatter #dcprotest,joy,surprise
"A tweet of mine earlier in this thread about a Secret Service sniper team going into a building overlooking the protest went viral. As an update on that, two of the agents are visible on the rooftop from Black Lives Matter Plaza. ",joy,surprise
Protesters have written this message on DC’s Black Lives Matter mural on 16th street NW in front of the White House ,joy,surprise
"Not only does Trump undermine the rule of law, but he seeks to divide us. Don’t take the bait. As a former law enforcement official, I see #BlackLivesMatter as a message of hope, love, and equality. To say it denigrates the luxury of 5th Avenue is to place materialism over lives. ",joy,surprise
"Dear White Gays, who watch Drag Race, listen to House, Tongue Pop, use the terms Shade, Read etc and everything that black queer people shared with the community at large - you know who needs to post #BlackLivesMatter on your VERY POPULAR social media accounts??? ",joy,surprise
President @realDonaldTrump notes during a roundtable discussion on the Safe Reopening of America’s Schools in the East Room at the White House today. #trumpnotes #trump #blm #BlackLivesMatter ,joy,surprise
ALL LIVES CANT MATTER UNTIL BLACK LIVES MATTER.,joy,surprise
UNC should give $2.5 million to anti-racism efforts and social justice organizations in its campus communities. Since they believe Black Lives Matter now. Just a few months ago they gave that amount to a racist neo-Confederate group. ,joy,surprise
If you’re a Christian but refuse to speak up about Black Lives Matter you’re not a Christian you’re just an asshole with a superiority complex who Jesus would be ashamed of ,joy,surprise
Beautiful Mennonite protestors in Minneapolis. Turn your sound on! #Minneapolisprotests #GeorgeFloyd #JusticeForGeorge,joy,disgust
"It cost $0 to retweet this post. It supports a black man creating in his dream job, and it tells a story thru music. If this mix touches you please drop a like or share to someone you know. The message needs to be heard throughout the world. #BlackLivesMatter #BLACKBUSINESS",joy,surprise
"Without a doubt police just started shit in Denver. We were peacefully protesting, walking up the street, and they gassed us. I was right there. No provocation from us. Police were smiling and laughing as they drove off. #BlackLivesMatter #denverprotests",joy,surprise
"Protest today in downtown Houston. We NEED change in this country, our government and society is a joke it’s not just Black lives matter it’s all lives matter. We are all human at the end of the day and should be treated as equals. #houston #GeorgeFloydprotest #BlackLivesMatters",joy,surprise
"Starting to get the feeling this is about more than George Floyd, black lives mattering, etc.... ",joy,surprise
"A huge peaceful turnout for the #BlackLivesMatter protest in Bethesda, Maryland. ",joy,fear
"Black Lives Matter, according to her, is trying to destroy the American principle of black lives not mattering ",joy,surprise
Honest question for leftists: How can you say #BlackLivesMatter then completely brush @JoeBiden’s decades long racist history off like it doesn’t exist? No Presidential candidate in the last 100 years has had a more racist record than Joe.,joy,surprise
A Columbus Police Offer laughed in our faces today as we chanted George Floyd’s name. We weren’t even saying anything anti-police. He laughed. Then he taped over his body can and sprayed us with tear gas 5 minutes later. #BlackLivesMatter #columbusprotest,joy,disgust
Montreal's protest was peaceful today. But the media won't cover that. #BlackLivesMatter #MontrealProtest,joy,surprise
@Khaled_Da_Juice you made a difference my brother & I’m proud of you #blacklivesmatter,joy,surprise
Thousands wait to pay their respects at George Floyd’s public viewing at The Fountain of Praise. – at The Fountain of Praise,joy,surprise
Thousands are out here in front of Minnesota State Capitol for staged sit in. A peaceful protest to honor #GeorgeFloyd ,joy,anger
"I’d compare the mood around 16th and H to nothing less than a festival. There’s a Black Lives Matter drum circle outside the damaged AFL-CIO building. It’s one big party, packed like I’ve rarely seen it here with new marches splitting off and others returning all the time. ",joy,surprise
The stars in the D.C. flag at the end of the “Black Lives Matter” mural commissioned by D.C.’s mayor have been painted over and “Defund The Police” has been added so the mural now reads “Black Lives Matter = Defund The Police” ,joy,surprise
George Floyd Protesters Marching to White House. NBC Washington’s Shomari Stone Reports LIVE from the scene. #GeorgeFloydProtest #DCProtest,joy,disgust
Black Lives Matter #TogetherWeWin,joy,surprise
"Just drove by the Black Lives Matter staging area, not a single Protestor yet. Guess they haven’t bussed them in yet.",joy,sadness
Person of peace. #GeorgeFloyd ,joy,disgust
"The phrase ""Black Lives Matter"" means just that. It doesn't need any other descriptors.",joy,surprise
"“Freedom is the continuous action we all must take, and each generation must do its part to create an even more fair, more just society.” Congressman John Lewis I have been moved by his words & actions, and I’m humbled that he visited #BlackLivesMatter Plaza. The work goes on... ",joy,surprise
"We need a full, transparent, and completely independent investigation. Together with @LauraMaeLindo (ONDP Black Caucus Chair), I have written to the Solicitor General demanding justice. #BlackLivesMatter #JusticeForRegis",joy,anger
“I can’t breathe” Everyone has their way of making their voice heard. Art is mine #JusticeForGeorgeFloyd #justiceforfloyd #BlackLivesMatter #protests2020 #MARTIALLAW #EnoughIsEnough #amplifymelanatedvoices #GeorgeFloyd #ICantBreathe,joy,surprise
“Amazing Grace” at #BlackLivesMatter rally in downtown Auburn. – at Toomer's Corner,joy,surprise
"Hello Mummy, I wrote a cover story for @thecaravanindia Race-Caste// Dalit Lives-Black Lives Matter// Dalit-Black Panthers// India at the UN// Ambedkarite activism in North America// the ‘model minority’ in the US, and many more is here. Love you too! https://caravanmagazine.in/essay/race-caste-and-what-it-will-take-to-make-dalit-lives-matter",joy,surprise
"Fine, I stan Jungkook. K-Pop stans harnessed their power to fight for the good of Black Lives Matter. ",joy,surprise
"We stay peaceful, until you make us protect ourselves. #BlackLivesMatter #KansasCityprotest – at Country Club Plaza",joy,surprise
"A pint of joy to a peck of trouble, And never a laugh but the moans come double; And that is life! #Protest #GeorgeFloyd #WeAreDoneDying ",joy,surprise
#GeorgeFloyd art in Salt Lake City this morning. ,joy,surprise
"Grateful for the leadership of @ewarren in attending and kneeling for 8 minutes, 46 seconds at the Black Lives Matter protest today. Where’s the rest of Congress? #BlackLivesMatter – at Martin Luther King, Jr. Memorial",joy,surprise
How to contribute: Text FLOYD to 55156 to sign the Justice for George Floyd petition. Add your name to the Justice for George Floyd petition at http://change.org. Donate to the Official George Floyd Memorial Fund set up by his family &amp; organizations like Black Lives Matter. ,joy,surprise
" New Haven, CT. BLACK LIVES MATTER ",joy,surprise
I wonder how this looks from inside Marine One? Please tweet a selfie would you? Thanks. #BlackLivesMatter #DCstatehood,joy,surprise
"NOW: 1000s of protesters stand behind gates at Lafayette Park near the White House. 100s of US Park Police Officers & Secret Service face the protesters with the White House behind them. They chant, “#GeorgeFloyd” “#BreonnaTaylor” @nbcwashington @msnbc @JoyAnnReid",joy,anger
"After his powerful testimony on Capitol Hill today, Philonise Floyd visited #BlackLivesMatter Plaza where he said he came to DC to be George’s voice #RestInPower, #GeorgeFloyd",joy,disgust
“Black lives matter. It’s a true statement. It’s a humanitarian statement.” @LSUpresident addressing the peaceful demonstration at LSU. – at LSU - Quadrangle,joy,surprise
"absolute art coming out of huntsville, and you love to see it #HuntsvilleProtest #BlackLivesMatter – at Big Spring Park",joy,surprise
Peaceful protest in Tulsa Oklahoma and this trailer ran through a crowd of people and made a man fall off the highway bridge!!! This is the license plate of the trailer!!!! #blacklivesmatter ,joy,sadness
"Frisco, TX!! If y’all know what the population of this city looks like, you know this is a big deal. #BlackLivesMatter #StopKillingUs",joy,surprise
"Rev. Sharpton asked attendees to observe an 8 min and 46 second long moment of silence — the time that Officer Derek Chauvin had his knee pressed into George Floyd’s neck. Gwen Carr, the mother of Eric Garner, and actress Tiffany Haddish joined him on stage. #GeorgeFloydMemorial",joy,disgust
Large American flag just burned a few blocks from The White House in Black Lives Matter Plaza ,joy,surprise
A very peaceful and beautiful protest today in Brooklyn #BLACK_LIVES_MATTERS #brooklynprotest,joy,surprise
Apparently the folks at @microsoft and McCann Erickson feel that that the #blacklivesmatter Movement and protests will not be relevant after this weekend. ,joy,surprise
Peaceful protest this morning...until the police arrived. #BlackLivesMatter ,joy,anger
"Yahoo Sources: Milwaukee Bucks sharpshooter Kyle Korver, who recently acknowledged his white privilege and vowed to educate himself more on plight of black people, will wear “Black Lives Matter” on his jersey. https://sports.yahoo.com/sources-bucks-forward-kyle-korver-to-wear-black-lives-matter-on-jersey-214231734.html",joy,surprise
"Members of Congress, including Rep. Ilhan Omar, Rep. Sheila Jackson-Lee, Rep. Ayana Pressley and Rep. Joyce Beatty just took a moment together and prayed over #GeorgeFloyd’s casket. #GeorgeFloydMemorial",joy,surprise
The #BlackLivesMatter mural on Fifth Avenue looks even better with the LGBT rainbow on the building next to Trump Tower by @sandibachom,joy,surprise
Positive peaceful protesting that this was meant to be. This is the stuff the media isn’t really showing. The mayhem caused & started by 80% of people who don’t even live here or care about George Floyd or Minneapolis is the problem. We need more positive days like this... ,joy,surprise
"So you’re telling me that Miss Rowling woke up today in her castle and decided that what she needed to do was further cement her status as a dumbass TERF instead of keeping her mouth shut, counting her money, and then donating a large portion of it to Black Lives Matter? Ok then",joy,surprise
YALL PLEASE BE SAFE #DallasProtest #JusticeForGeorge #atlantaprotest #chicagoprotest #protests #dcprotest #BlackLivesMatter #BLM,joy,surprise
Beautiful tributes to #GeorgeFloyd happening at 38th and Chicago Ave. in South Minneaolis. Glimmers of hope we need to see and feel. ,joy,surprise
"My personal experience with Black Lives Matter has always been peaceful and calm debate. While I disagree with them about a lot, antifa and other groups so often infiltrate peaceful protests and cause total mayhem.",joy,surprise
It warms my heart seeing business speaking out to keep the focus on what truly matters. They get it. They know. They understand. They won’t let their broken windows distract you from the real enemy: racism. #ColumbusOhio #columbusprotest #BlackLivesMatter #BLM,joy,surprise
I know my hood proud of me. Someone asked me yesterday how am I going to get my message out to the masses... So I put got a billboard with MY name on it & put it in THEY hood! #HoodPolitics Available NOW on Amazon. #BlackLivesMatter ,joy,surprise
"Newly appointed Wisconsin Ethics Commissioner @rossacrosswi, in his first statement as a commission member—“I want to say as a middle aged white guy who has lived his entire life with white privilege: #BlackLivesMatter and white silence equals violence.” ",joy,surprise
The amount of people at Cadman Plaza for the George Floyd Memorial is breathtaking....keep going! #BlackLivesMatter,joy,sadness
I love you Philly. #BlackLivesMatter #AintGoingBack,joy,
"my favorite sign today was ""if you stay silent you are choosing the side of the oppresser"". Stand the fuck up. #BLACK_LIVES_MATTER ",joy,surprise
Something different I saw in DC vs. other cities first-hand tonight... MAYBE saw 10 antifa people TOTAL. Every single person I saw looting and breaking store fronts was black. I’m not kidding. Every single one. I didn’t hear George Floyd’s name said by a looter a single time.,joy,surprise
Two thousand people took a knee for three silent minutes in front of the White House this afternoon. It is very powerful to be a part of. #dcprotest #DCProtests #BlackLivesMatterDC #BlackLivesMatter #ICantBreathe – at The White House,joy,surprise
"Rest In Peace #GeorgeFloyd. If you don’t know, google him. This is why @Kaepernick7 kneeled.",joy,surprise
Remarkable visual in the nation’s capital this evening. Hundreds of peaceful demonstrators kneel on 16th Street as military vehicles and law enforcement form the newest layer of barricade distancing the White House from the #GeorgeFloyd protests. ,joy,anger
President @realDonaldTrump should immediately send in the Feds to arrest George Floyd’s killer and put him behind bars. He should not be a free man. The Mayor of Minneapolis and Governor of Minnesota are too incompetent to handle this properly. #JusticeForGeorgeFloyd,joy,disgust
"The crowd of several hundred in Niagara Square just took a knee, raised a fist in the air and chanted “I can’t breathe.” Someone on the megaphone turned to city hall and said “@MayorByronBrown, do you see this?” A powerful moment to witness. #GeorgeFloyd. @WGRZ – at Buffalo City Hall",joy,surprise
"So what you're saying is even white folks would benefit by adopting the reforms promoted by Black Lives Matter Glad we had this talk, welcome to the movement ",joy,surprise
How one employee forced NFL into new Black Lives Matter stance! Now the big question is! Will Roger Goodell allow #NFL players to kneel during the national anthem this year? God I hope not #IStandForTheAnthem @NFL #NFL #RespectTheFlag ,joy,surprise
it's important to remember that it wasn't the government or some big international organization that rallyed all of us in Winnipeg. it was our YOUNG BLACK WOMEN who stood up and led the charge. this thread highlights them #JUSTICE4BLACKLIVESWINNIPEG #BlackLivesMatter ,joy,surprise
Deleted tweet from @DCPoliceDept praising right wing racist publication. @MayorBowser you are as culpable as @ChiefNewsham #BlackLivesMatter #riptrump #TraitorTrump #TrumpTreason #TreasonousTrump,joy,disgust
"Former #Texans great Andre Johnson, special advisor to Bill O’Brien, took part in the downtown Houston protest of the tragedy that took George Floyd’s life. Andre posted video of him at the protest on his Instagram account. #GeorgeFloyd #BlackLivesMatter",joy,disgust
Of course trump wouldn’t let Philonese talk! The call wasn’t about George Floyd or his family. The call from trump was about trump. About him being able to say he called. About him pretending to care so he could use it in his campaign. #TrumpResignNow,joy,surprise
"Do not think this is over. Take care of your mental health & keep yourself informed, motivated, and hopeful. We’re all actively recalibrating & that takes time and diligence. We’ve got a long way to go. Donate, educate, march, and keep your head up. #BlackLivesMatter ",joy,surprise
"Catonsville, Maryland. A peaceful protest organized by the Catonsville Youth for Black Lives Matter. So proud and hopeful of our youth ",joy,surprise
Y’all wanna see something beautiful? #desmoines #BlackLivesMatter ,joy,surprise
"Today I attended my local BLM protest (Fort Wayne, IN) in honor of George Floyd - having the opportunity to capture over 300 pictures. Here are some of my favorites. #GeorgeFloyd #BlackLivesMatter",joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
Black lives matter. ,joy,surprise
