sentiment,sentiment_score,tweet_text
fear,1.821,"one of u an ode to ahmaud confusion this is an ode to the divinity of blackness. we are the embodiment of god, yet we are hunted and killed a game. #ahmaudarberry #stopkillingus #blacklivesmatter #blackpower #blackqueerpower #justiceforahmaud #justiceforarbery"
anticipation,0.406,#blacklivesmatter #blacklivesmatter #blacklivesmatter #blacklivesmatter #blacklivesmatter #blacklivesmatter – at university of pennsylvania
trust,0.757,"fuck the police, comin straight from the underground a young nigga got it bad because i am brown #fourteenshots #justicefordre #blacklivesmatter"
joy,1.636,i did not write this but i am tired...so very tired. black people are so tired. we can not go jogging #amaudarbery confusion . we can not relax in the comfort of our own home #bothemsean and #atatianajefferson confusion . #blacklivesmatter
trust,2.03,"discussing w mosi today why we are running tomorrow morning is going be difficult for obvious reasons. i can not imagine what it is like to know you are in danger, being hunted, in the most peaceful of circumstances. #blacklivesmatter #irunwithahmaud #runwithahmaud #ahmaudaubrey"
fear,4.534,while we continue to demand justice for #ahmaudarbery we also have to fight for #seanreed who wa killed by indianapolis police yesterday! he wa running away from the cop and recording on his fb live. 12 shot him in the back while he fled! #blacklivesmatter #justiceforseanreed
anticipation,2.178,"i hope you will have this discussion today with your kid and run tomorrow, especially those of you with white children. please do not think you are raising them colorblind. you are not. #blacklivesmatter #ahmaudaubrey"
fear,2.752,you can not say all life matter. i am sorry. be mad at the police officer who shoot black men and woman for unjustified reason then plea they were fearful of their life. unfollow me bc i have already unfollowed you
anger,0.911,to be a negro in this country and to be relatively conscious is to be in a rage almost all the time. -james baldwin #blacklivesmatter #ahmaudaubery
anger,1.3230000000000002,"i am so fucking tired of this shit... we can not drive, jog, eat or shop while being black. and stfu with your irrelevant opinions... #justiceforahmaud #justiceforseanreed #blacklivesmatters"
trust,1.063,let is show up for blm indy/indianapolis and demand justice for #seanreed! #blacklivesmatter
trust,0.8440000000000001,truth! thank you for always speaking truth! #ahmaudaubrey #blacklivesmatter
sadness,1.5090000000000001,it wa not by cop so no one can say blue life matter. it wa by 2 regular white men who thought they had the right to murder a black man in daylight for no reason. this is a race thing. this is a race issue.
fear,2.5580000000000003,"this is a horrible situation. i never got to know sean, but he went to my high school, graduated a year ahead of me and enlisted in the air force. nobody deserves to die in such a terrible way. something need to change in law enforcement to stop this. rip. #blacklivesmatter"
trust,2.04,"the fact #prince came back to twitter and dropped a protest song for freddie gray wa iconic! 5 year later we are still screaming ""if there am not no justice, then there am not no peace"" #amaudarbery #seanreed #blacklivesmatter"
fear,1.5,ran across a stop police brutality protest on my way to the park. i admire these activist for making their voice heard. sh*t is getting tense out here in #eastnewyork #brooklyn bruh. #stoppolicebrutality #blacklivesmatter
trust,1.9069999999999998,some photo from today is rally for #seanreed. i hope the family get the answer and justice they deserve. #indianapolis #blm #blacklivesmatter
joy,1.0470000000000002,my daughter and i will run/walk/jog tomorrow to honor #ahmaudarbery nan to support his family. take action! is the least we can do #irunwithmaud #irunwithahmaudarbery #blacklivesmatter
anger,4.057,"cnn confusion two men involved in the fatal shooting of a black man in brunswick, georgia, have been arrested and face murder and aggravated assault charges, according to the georgia bureau of investigation. #ahmaudarbery #blacklivesmatters"
trust,2.149,"how white conservative with all life matter bumper sticker look when they ask what about context? regarding the murder of innocent, unarmed black men"
sadness,1.078,black life do not matter to black people unless killed by a white person .
sadness,1.078,black life do not matter to black people unless killed by a white person .
fear,2.187,a black trans woman wa killed in missouri. her name is nina pop. #sayhername we have to make sure we a just a vigilant about her murder a we are for sean reed and ahmaud arbery. we are not free until we are all free. #blacklivesmatter
trust,1.305,"while white folk are being given refreshment in the park by police during covid-19, black people are being harassed and brutalized in their communities, wrote congressional candidate and co-founder of black life matter greater ny chivona renée newsome. |"
trust,2.382,"but let justice roll on like a river, righteousness like a never-failing stream! amos 524 #blacklivesmatter #ahmaudarbery #glendaleumc – at glendale united methodist church nashville"
joy,1.266,"i am not black, but i see you. i am not black, but i hear you. i am not black, but i mourn with you. i am not black, but i see the injustice that you face daily. i am not black, but i will stand with you. i am not black, but i love you. i am not black, but black life matter."
trust,0.711,justice must prevail. say his name and remember it. #irunwithahmaud #ahmaudarbery #blacklivesmatter
joy,1.129,today would have been ahmaud is 26th birthday but his life wa cut short for being a black man in america. #irunwithahmaud #blacklivesmatter
fear,1.2120000000000002,"today i joined colorado spring nan for 2.23 mile to honor the life of ahmaud arbery, killed running while black. #irunwithahmaud #blacklivesmatter #disarmhate"
sadness,1.6789999999999998,"ahmuad died more than two month ago ago. no arrests. no outrage. nothing. ‘remember, they did not make arrest because they saw the tape; they made arrest because we saw the tape.' #irunwithmaud #blacklivesmatter #happybirthdaymaud #justiceforahmaud"
anticipation,0.968,#ahmaudarbery and trayvon martin case are similar in so many way but there is one big difference — which i shared with watch full video on ig confusion #irunwithmaud #blacklivesmatter
anticipation,0.648,#blacklivesmatter yesterday. #blacklivesmatter today. #blacklivesmatter tomorrow.
trust,0.711,justice for #dreasjonreed! #blacklivesmatters
trust,0.477,black life will always matter
sadness,1.415,right. i remember when p!nk said black life matter and lost a million fan on ig.
sadness,1.3039999999999998,"it is crazier to see people defend lie in the medium designed to stir up racial animosity, especially given the number of dead cop that resulted from the black life matter movement."
trust,0.8909999999999999,"because a a reporter i know a much or more about the black life matter movement a anybody and when i see exactly the same guy using exactly the same playbook a few month before an election, i know what is up."
joy,0.718,this describes u a black and brown people; living behind enemy line in amerikkka !!! #ahmaudarbery #trayvonmartin #sandrabland #mikebrown #blacklivesmatter #justiceorelse
anger,0.828,i hate racist white people #blacklivesmatter #blacktwitter #bestrong #staywoke pic.twitter.com/ji6vggtr7r
anger,4.651,". ha done to the #metoo movement nan real victim of sexual assault nan harassment what did to #blacklivesmatter nan real victim of race-based hatred nan violence. the damage is incalculable. i hope she will be prosecuted, too. faker hurt all victims."
trust,1.36,darren seal wa really who you all think black life matter is.
sadness,2.4130000000000003,"before anyone try to say anything else about black people is behavior or bodies, deal w/structural racism. black are 6 time more than white to be turned away for #covid19 testing nan treatment at hospitals. black are dying because our life are devalued #blacklivesmatter"
sadness,2.089,"also, miss taylor wa a black emt – one who *volunteered at 2 hospitals* in addition to her regular work. so it is an appropriate time to remind you all of the 5th rule of ""when people say 'blue life matter,' they do not mean the dark blue ones"""
trust,0.711,#sayhername #breonnataylor #blacklivesmatter thank you for seeking justice. #forthepeople
sadness,1.047,"i am angry, exhausted, and all out of tears. #breonnataylor #blacklivesmatter"
trust,1.9530000000000003,"""it feel like #blacklivesmatter and #covid19 are colliding."" answer true. african-american are being disproportionately impacted by the spread of coronavirus, but official government statistic minimize the problem via"
trust,1.5390000000000001,wednesday morning? i know i have not seen a ton of news/social medium over the last few day —but i guarantee that if that they found the murdered body of a white 30 year-old-woman and her h senior sister w/bags over their head —everyone would be reporting! #blacklivesmatter
fear,2.3280000000000003,anybody who follows me remember when i said last week that step one is making the armed white murderer look like the innocent victims? #blacklivesmatter
trust,0.828,#breonnataylor executed by police. #ahmaudarbery executed by vigilantes. but white people need their waffles. #blacklivesmatter
trust,1.0,"if u do not understand that #blacklivesmatter mean that african american are entitled to the same constitutional rights, privilege nan protection a other americans, u are a racist."
anger,2.063,"if you all were a pressed about the murder of breonna taylor and the unjust arrest of kenneth walker and the fuck up on the behalf of the louisville pd, a you all were about ‘safaera' being taken off spotify my tl would look 100% different. i am so frustrated rn #blacklivesmatter"
joy,1.663,would anyone this and tag i covered brown skin girl and created a quarantine music video to celebrate our community in this time of rampant anti-blackness. #blacklivesmatter #blacktwitter #brownskingirl
joy,1.3940000000000001,the view in front of the capitol today. i wonder what the scene would be like if these were #blacklivesmatter protester heading back to the building in a week should be fun. #coleg
anticipation,2.281,"tonight #stlouissuperman story will finally be released. many lesson learned, many moment to keep nan guide u in the coming days. thanks for joining u on the journey. mon may 18 9pm et/pt mtv2 #blacklivesmatter"
trust,4.9,"i prefer to let those impacted directly share their own truth, but here is my reminder that black life matter, woman need to be empowered nan trusted, trans right are human rights, native american are still losing what is theirs, immigrant deserve better, and so much more."
joy,1.479,#policeviolenceisgunviolence #policeviolenceisgunviolence #policeviolenceisgunviolence and #mikebrown should still be here! happy 24th birthday big bro! #blacklivesmatter #justiceformikebrown
sadness,2.228,"...recall hoodies and face mask could get many, a black man, killed in the us. yet with this pandemic, it doe not matter anymore if a black man walked into a bank wearing one. mask should not be politicized. a mask is meant to save lives. green, black or blue it doe not matter"
trust,1.5,"marvia and derek gray were deprived of their right and dignity, and were then subjected to excessive force that the de peres police department would have never used if the subject in question were white. #blacklivesmatter"
trust,2.571,"a very important analysis and wake-up call for the church. do ‘black life matter less'? our collective behaviour and lack of positive action to the contrary would suggest so, according to the research by"
joy,0.7030000000000001,saw this on tik tok and honestly broke my heart. we need to spread awareness. #blacklivesmatters
trust,1.97,"sadly, in the eye of the democrat party, black conservative dont count. not all black life matter to them. black conservative are the most politically courageous demographic there is given that an entire political party doe not count them in their identity political base"
sadness,1.0979999999999999,#chicago let is find them now! we have to #protectblackgirls at all cost period! they both went missing from lawndale on the westside on monday! #blacklivesmatter #blackgirlsmatter #sernetrocawilliams #princessbecheem
trust,1.204,"the fact that black lives, immigrants, and poor people do not matter in this country ha been the case all along — but never in my lifetime ha this fact been laid quite so bare a during #covidー19."
joy,1.045,"#blacklivesmatter rest in peace trayvon martin, sandra bland, ahmad aubrey, tanisha anderson, sean reed... sadly, the list go on, all i can do is help spread the message.. one day they will listen."
anticipation,0.75,ward 7 car caravan for ha started!! all black life matter #peoplefirst #bethechange #bethevillage
fear,0.75,being black in america is the world is most dangerous game. #blacklivesmatter #blacman
anger,1.4269999999999998,also • trans right are human right • black life matter • brown life matter • ‘a.l.m.' is tone deaf and racist • support your local artist • support black life all the time and not just when another unjust murder happens • get trump out of the wh in november
joy,1.0590000000000002,for #memorialday2020 we are honoring family who have been impacted by #gunviolence. this one is close to home. rip our #goodkidsmadcity member #delmontejohnson you should still be here! #gkmccares #gkmcmemorials #memorialdayweekend2020 #blacklivesmatter
fear,2.311,"15-year-old #jasminenobles wa shot to death in the overnight hour in aurora, il on november 24, 2019 #sayhername #gkmccares #gkmcmemorials #memorialdayweekend2020 #blacklivesmatter #goodkidsmadcity"
trust,2.617,for #memorialday2020 we are honoring family who have been impacted by #gunviolence nan police violence. an activist nan loving brother asked u to #sayhername today. #rekiaboyd we you! #gkmccares #gkmcmemorials #memorialdayweekend2020 #blacklivesmatter #goodkidsmadcity
trust,0.477,black life matter black life matter black life matter
sadness,2.75,"this is why black life matter nan other similar organization are absolutey imperative. furthermore this is a perfect example of white privledge. it make me sick. this woman— amy cooper, because of her lie, could have easily ruined this man life today. #blacklivesmatter #blm"
joy,1.7180000000000002,"the gatherings, the shootings, the stabbing, the hit and runs, the drunk driving with kid in the car, the party cuomo need to shut the city of rochester all the way down. we want to act a fool and then yell black life matter. how hard is it to be civil? stop it. do better"
fear,1.2029999999999998,this wa a murder not a medical incident #acab #icantbreathe #blacklivesmatter
sadness,1.3219999999999998,"quiet now, but 12 hour ago the mpls blue klux klan murdered a man right there. #icantbreathe #blacklivesmatter"
joy,1.0470000000000002,"5/5 my heart go out to the family of this man, taken in such a brutal manner. he did not deserve this. #blacklivesmatter"
anticipation,1.4090000000000005,"they killed this man, and you watch nothing happens. it a systemic issue that america ha to deal with. when is enough gonna be enough? video after video and nothing get done. #blacklivesmatter"
fear,3.093,"what about the black men you got sentenced to life in prison? while campaigning to be the mn senator a ""tough on crime "". you had no gun, witness received cash &/or reduced sentences. alibi wa never checked. hoping naacp. black life matter + 3 lawsuit will keep u updated."
sadness,2.5780000000000003,"george floyd wa murdered by two police officer last night in minneapolis. one kneeled on his neck a he cried out ""i can not breathe."" the other officer stood by and watched his fellow officer murder a black man."
trust,1.2429999999999999,"next time someone asks you to compromise with white supremacy, just say these three word i. can't. breathe. #wearedonedying #georgefloyd"
sadness,0.812,"rest in power, george floyd. this parallel make me sick. another situation where a black man can not breathe."
fear,2.134,"twitter put pressure on the to indict the police officer that killed george floyd. just this 1,000,000 times. he will get the point!!!"
trust,1.141,all of you blue life matter people watch this and tell me what you see. tell me you see anything but a fucking pig murdering a black man just because he think he ha the authority to do so #blacklivesmatter
disgust,0.976,"they have been lying about this here land, being the land of the free...for four hundred and one year now. #ripgeorgefloyd #icantbreathe #justiceforfloyd #blacklivesmatter"
trust,2.149,". killed george floyd on video with excessive force. so much for trust, accountability, and professional service"
trust,1.227,speechless! george floyd deserves justice. we still can not breathe.
anger,1.5619999999999998,this is criminal. the officer kneeling on that man is neck for six minute is a criminal. the officer standing by and not stopping his partner is a criminal. this is an outrage. #blacklivesmatter
sadness,1.71,"woke up this morning to the actuality that another unarmed black man is dead due to the ignorance of police who simply did not value his life. i am moved to tear by it b/c a much a i abide by ""the law,"" i know that i could become a hashtag. george floyd did not deserve to die!"
trust,1.257,"the brother did not resist, he could not even move. and yet, he pleaded for air, and he wa murdered. these two officer should be charged with murder. #blacklivesmatter"
fear,0.906,"another brother taken from us! he did not resist. and he wa murdered, this is murder. #blacklivesmatter"
sadness,2.8190000000000004,i can not breathe. nobody deserves to die the way george floyd wa killed. the problem is much bigger than these hearth breaking incidents. we need to work hard to mend the relationship between our police and the forgotten black community. #mn05 #justiceforfloyd #icantbreathe
fear,0.962,people are still dropping flower near where george floyd wa killed on monday.
sadness,3.4130000000000003,"another black man killed by police in minneapolis...the video is so hard to watch. no one deserves to die like that. he begged, please, i can not breathe. rip george floyd. i hate i have to say, i hope you get justice. i fucking hate it."
anger,0.932,"let me get this straight, i have read comment of people saying that george floyd should not have broken the law and should not have resisted but the same people do not want to comply with stay at home order and shit!"
joy,1.045,rest in peace george floyd. this should have never happened. #blacklivesmatter #sayhisname
fear,1.234,"another day. another headline. another black man murdered by the police. so sorry, #georgefloyd #icantbreathe"
fear,1.172,the officer involved were derek chauvin #1087 and tou thao #7162. we will not stop until they are both charged and sentenced for murder. detail coming.
trust,2.8120000000000003,i am distraught. a black man wa murdered by minneapolis police 6 block from my home. george floyd should have woken up this morning. his life mattered! fuck all cops! there are no good cops. burn this system to the ground!!!
fear,1.234,"people are protesting outside the minneapolis police precinct on lake street over the killing of george floyd, while car are driving by honking in solidarity."
fear,1.898,another black man wa murdered by cop yesterday another black man wa lynched yesterday another black man wa murdered by cop yesterday another black man wa lynched yesterday another black man wa murdered by cop yesterday #georgefloyd #ados
sadness,1.586,"it is painfully clear that what happened to george floyd is what amy cooper tried to weaponize and use to her advantage. he said, ""leash your dog."" she said, ""i can get you murdered."""
sadness,0.422,please say his name when you speak about him. george floyd wa his name. rip
fear,1.375,"developing we are hearing from george floyd is roommate here in mn, it is real painful to see... he wa not a bad person. he say they both worked together at the conga latin bistro in #mpls #georgefloyd"
trust,0.8440000000000001,5pm in honor of #georgefloyd
joy,0.531,george floyd should be alive today.
trust,0.711,"folks! we will not be silenced... amy cooper ha been fired from her job, a of a few hour ago. her calling 911, to make a false report, totally unacceptable! and she should not get any package a far a financial compensation. now we need justice for mr. floyd! #blacklivesmatter"
anticipation,0.461,"conga latin bistro, where george floyd worked security, pay tribute"
fear,2.958,"#icantbreathe a a veteran , i know what rule of engagement are. this would be a war crime. hold the popo accountable. #justice for #georgefloyd #vetsvshate the officer and the department should be investigated. being black should not be a death sentence."
fear,1.479,mayor frey announces that the four officer involved in the death of george floyd have been fire tongue sticking out cheeky playful or blowing a raspberry
fear,2.687,we can not kneel to protest the killing of unarmed black men by police but they can kneel on our neck until we are lifeless in the middle of the street. #georgefloyd is the latest victim for which #kaepernick began his original protest. #blacklivesmatter
fear,3.984,i am horrified by the killing of another black man #georgefloyd by mpd. non-violent offense. not armed. asking for help. #icantbreathe the video is shocking and i am not going to share it bc of amplifying trauma. honestly we should not have to see it to believe it #blacklivesmatter
trust,0.648,the brother is name wa george floyd
trust,1.804,"george floyd... i am sorry this is not supposed to happen, or be like this. this shit really fuck me up more than most stuff, and i mean that. they have to hire more cop of color and do better training and psychological testing for these guy because there is a fault in the system"
trust,2.641,the minneapolis police union is led by a white supremacist named bob kroll. he welcomed trump with open arm and he represents the rank and file. i blame the death of george floyd on him and every minneapolis elected official that doe nothing to hold him accountable.
trust,2.7110000000000003,"police still murdering black folks. white folk making fake call to 911 claiming victim. for those who got upset about the black life matter movement, i encourage you to eat a monstrous d*ck. yes, all life matter. it just black life that are not treated that way."
sadness,2.397,"owner at conga latin bistro just devastated over loss of #georgefloyd spent several year working a security nan bar hope. more than just an employee, ""floyd"" a they knew him wa a friend. complete coverage on all our newscast tonight. – at conga latin bistro"
sadness,0.435,this video of george floyd is really bothering me.
fear,1.815,i had a guy tell me w/ a straight face this is why guy in eden prairie are not signing up to be cops. they make one mistake & the world want them fired. so murder is one mistake now? i can not even begin to explain how heartbreaking this is. #georgefloyd
fear,3.283,"minneapolis just fired 4 cop in regard to the death of george floyd. now, let is send em to prison for life. that wa murder. #justiceforfloyd #icantbreathe"
joy,0.469,"#icantbreathe please say his name george floyd. rest in power, mr. floyd. you were and still are a king #usorelse"
fear,1.922,this is america. enough with watching innocent men and woman caught on camera being murdered and enough with becoming a hashtag.. i would love to live in a world where i do not have to fear for my life because of the color of my skin #blacklivesmatter #georgefloyd
sadness,2.092,"the footage of this arrest is disheartening, and it is cruel. it hurt me to see a person of color treated in such a manner. now we must demand justice! #blacklivesmatters"
sadness,0.501,in case there is still confusion #georgefloyd
trust,1.367,"according to george floyd is friend, he had just been hospitalized with covid-19. he survived corona and could not survive going to the store. wow."
fear,3.196,"a a police officer for the last 12 yrs, i am absolutely disgusted at the coward in mn that killed or allowed george floyd to be killed. absolutely unacceptable. they should be charged to the full extent. however, inciting violence against everyone with a badge am not it."
sadness,1.1520000000000001,"this officer took pleasure grinding his knee into #georgefloyd carotid artery, cavalierly w/ his hand in his pocket while mr. floyd is handcuffed, not resisting, begging for mercy unable to breathe. this is why he kneeled!!! #thisiswhywekneel #icantbreathe #blacklivesmatter"
joy,1.045,"rest in peace #georgefloyd. if you do not know, google him. this is why kneeled."
sadness,2.929,"any obfuscation by the medium about how george floyd died is abdicating responsibility and, worse, perpetuating the condition that allowed him to be brutally killed in broad daylight. he died because a cop wa pressing his knee into his neck for 10min while another cop watched."
sadness,2.14,those police officer need to be buried under the jail house!!! #sayhisname #georgefloyd #justiceforgeorge
surprise,0.664,we need a revolution! this ha to stop! #blacklivesmatters #georgefloyd #centralparkkaren
fear,1.015,"bro how many racist incident have we had to deal with the past 2 weeks? shoot, three of them were in the past 24 hours! ·louisville pd breonna taylor/kenneth walker confusion ·the mcmichaels ahmaud arbery confusion ·doja cat ·amy cooper christian cooper confusion ·minneapolis pd george floyd confusion"
fear,3.761,"george floyd wa murdered in plain site by police for being suspected of a petty crime. how many time do we have to witness a casualty like this before something is done to change the system and culture that allows it to happen, over and over again, without repercussion?"
fear,2.077,"mitra is absolutely right. this is not an officer involved death, a if the officer wa a passive player here. in this instance, the officer were the only active component here. the police murdered george floyd today. electeds should just *say* that. #justiceforgeorgefloyd"
trust,1.164,#amycooper called the police and lied on #christiancooper in hope that the police would do to him similarly what they did to #georgefloyd. let that sink in. #blacklivesmatter #icantbreathe
sadness,1.4690000000000003,"correction ·louisville pd breonna taylor/kenneth walker confusion ·the mcmichaels ahmaud arbery confusion ·lana del rey ·patricia ripley falsely blamed 2 black men for her son is death, in which she wa the killer. confusion ·doja cat ·amy cooper christian cooper confusion ·minneapolis pd george floyd confusion"
fear,0.812,"encore de image choc d'une arrestation d'une violence inouïe. george floyd, un homme noir non armé, suffoque sou la pression du genou d'un policier blanc. « i can not breathe ». il est mort un peu plus tard. le policier et s 3 collègues ont été virés."
sadness,1.89,i guess killing unarmed black people is considered essential work #georgefloyd #ahmaudarbery #breonnataylor
fear,1.87,"""yes the officer have been fired, but we want charges!"" shout someone at the protest, set to start at 5pm over the killing of george floyd. four minneapolis police officer involved in the incident have already been fired."
fear,0.906,"remember, colin kaepernick is blackballed from the for peacefully protesting murder such a george floyd is in minnesota. #enoughisenough"
trust,4.0950000000000015,"...the question is not whether this country will finally fully value black lives. america doe not get a vote in the matter. the question is whether this country will continue to find itself in the dangerous place of having policies, custom and law that oppose the will of god."
sadness,1.234,you can clearly hear him say that he can not breathe multiple times! this make me sick to my stomach. this is the second time that we know of where a black man is literally suffocated by the police! this ha to stop! black people are not disposable. rip george floyd
