Correction	ErrorFrequency	Errors
enjoy	1	[enyou]
taking	1	[teke]
tasted	2	[tasts, dasted]
new	1	[neu]
red	1	[ret]
days	1	[day's]
howling	1	[bowling]
library	4	[libery, libary, libary, lybrery]
shorts	2	[shors, short]
guest	2	[gast, guess]
having	1	[haveing]
cardiovascular	1	[cardio vascular]
irrational	1	[irrarional]
resources	4	[ressources, ressources, ressources, recourses, resourses]
noisier	1	[noiser]
basis	1	[base]
exemplary	1	[examplary]
consumption	2	[consumtion, consum]
drop	1	[droped]
exception	1	[exeption]
took	1	[toke]
housekeeper	3	[hausmeister, houskeeper, houseceaper]
leaf	2	[leat, lraf]
expenses	2	[expences, expensives]
qualification	2	[quallification, qulification]
height	4	[hight, hight, hight, hight]
personnel	4	[personell, personell, personal, personel, personell]
description	3	[discription, discribtion, discribtion]
reputation	3	[reputaion, repretation, reportation]
affectionate	1	[affectonate]
delighted	1	[deligted]
coughing	1	[coughs]
involves	1	[envolves]
station	3	[stadion, stadion, stadion, stattion, stadion]
watch	4	[watsch, watsch, wath, watche]
luck	2	[lucke, like]
fat	1	[fet]
yesterday	1	[yersterday]
leisure	1	[leasure]
label	1	[lable]
preferred	6	[prefered, prefered, prefered, prefered, prefered, prefered, why  mostly are [[preffered]
much	5	[mutch, mutch, mutch, mutch, mutch]
country	2	[countrie, countrys]
involved	1	[involed]
particularly	5	[particulary, particulary, more [[particulary, paticularly, particulary]
often	1	[offen]
chancing	1	[for [[chanching]
tough	1	[tought]
areas	1	[aeras]
opinions	4	[openions, openiens, oppinions, oppinions]
curriculum	1	[cirriculum]
recruiting	1	[recuiting]
make	5	[male, marke, marke, mmake, moke]
misunderstood	1	[missunderstood]
update	3	[updata, undates, updters]
sweater	3	[sweeter, sweather, sweter]
indicator	1	[indicatior]
grab	1	[grap]
horse	3	[hourse, hors, hourse]
occasion	2	[occation, occaision]
tried	2	[tryed, tryed]
organize	1	[reoganize]
through	6	[throught, trough, trouth, throught, trough, trough, trough]
education	3	[educationk, edu, edication]
disturb	1	[disturbe]
business	25	[buisnesse, buissnes, buesiness, bussines, bussines, bussines, buisness, buissnes, bussines, buisness, bisness, buisness, buisness, busniss, businees, buisness, buisness, buisness, buisness, businass, buisness, buissess, buisness, bisnac, buisness, buisness]
trainer	2	[trainner, tranier]
completely	7	[completly, comletely, completly, comletly, completly, compleatly, completey]
twin	1	[a zwin, zwin]
possible	4	[posible, possiple, poosible, possilbe]
following	3	[folowing, follwing, folowing]
especially	9	[specially, specially, especialy, specially, exspecially, specially, especcially, espacially, espacially]
treasure	1	[treauser]
cottage	1	[cootage]
fuel	1	[fuil]
tries	4	[tryed, trys, trys, trys, trys, try 's]
peasant	1	[pleasent]
concerts	1	[consert]
woman's	1	[womans]
laconically	1	[laconicly]
laboratory	1	[labartory]
colleague	10	[collegue, collegue, collegue, colleguae, collegaue, collegue, colleaque, collegue, collegue, collegue, collegue, college]
equal	1	[équal]
finished	4	[finnished, finised, finshed, finnished, finnished]
heavier	6	[havier, havier, heavyer, havier, havier, havier]
torn	1	[tored]
main	1	[maine]
hello	60	[hallo, halloo, hallo, hallo, hallo, hallo, hallo, hallo, helleo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, halllo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo, hallo]
tomorrow's	1	[tommrrow's]
siren	1	[sirene]
moved	1	[movied]
entire	1	[entier]
which	28	[wich, wich, wich, wich, wich, wich, wich, wich, whitch, witch, witch, witch, witch, wich, wich, wich, wich, wich, witch, wich, wich, wich, wich, wich, wich, wich, witch, wich, wich, wich, wich, wich, wich, wich, witch]
advantage	1	[advantege]
wooden	2	[wodden, wodden]
female	3	[femal, femal, femal, femal]
headache	2	[hedache, headeache]
inside	1	[[[insside]
brown	9	[braun, braun, braun, braun, braun, browb, brwon, brawn, browne, braun]
castle	1	[casle]
prominent	1	[prominents]
assessment	1	[accessment]
deposit	4	[disposit, disposit, deposite, deposite, deposite]
slogan	1	[slogen]
village	3	[villigage, villiage, villiage, villiage]
social	3	[sozial, socail, sozial]
empty	2	[emty, emty]
mechanical	2	[machical, machanical]
dolphin	1	[dolfin]
reported	1	[reporte]
support	2	[suppport, suppurt, suppurt]
preparation	2	[preperation, prepartion]
searching	2	[surch, surching]
volleyball	3	[volleball, volleball, vollyball]
manufacturers	1	[manufactury]
identify	1	[indentify]
menu	6	[menue, menue, menue, menue, menue, menue]
recommendation	2	[reccomendation, reccommendatin]
job	8	[jo, jobe, jobe, jop, ob, jub, yob, jop, jop]
health	2	[heatlh, healt]
rose	3	[rised, rised, rised, rosa, rosa]
suppose	1	[supose]
sandwiches	3	[sandwitches, sandwichs, sanwiches]
vacation	3	[vacances, vacination, vocation]
aforementioned	1	[aformentioned]
western	1	[westen]
antique	1	[antic]
upon	1	[up on]
television	1	[televison]
technician	5	[technican, technican, technican, technican, technican, technican, technican]
retired	1	[retiered]
tablecloths	1	[tableclothes]
thought	14	[though, thougt, thougt, thougt, thougth, tought, thougt, thougth, thoght, thougth, thougt, thoght, tought, thougt]
geodesic	1	[geodezji]
fugitive	1	[fugitve]
road	3	[roud, roud, roud, raod]
build	7	[bild, buil, bulid, bulid, bild, buld, [[bulid]
decision	7	[decission, decidion, desicion, decition, dicision, desicision, decission]
violations	1	[violences]
mountains	4	[mountans, montens, montains, mautains, mountens]
volcano	2	[vulcano, vulkano]
riding	1	[raiding]
built	1	[build]
crowded	1	[growded]
water	9	[wather, wather, wather, wather, wahter, watre, wather, wather, watter]
marketing	5	[markteing, manrketing, marekting, marketin, marketiing]
snapshot	1	[snapshoot]
enormous	1	[enourmous]
movie	1	[moive]
unknown	1	[unkown]
fourth	5	[forth, tourth, fourther, fouth, fours]
diploma	3	[diplom, diploms, diplom]
vomiting	2	[votming, vomitting]
boyfriend	8	[boyfreind, boyfreand, bofriend, boyfried, boy-friend, boy friend, boy friend, boyfried]
improvement	1	[improvemet]
guitar	3	[gitar, gitar, gitar, gitar, giutare]
nose	3	[noise, noose, noise]
telephone	7	[telefone, telepon, telefon, telephon, telephon, telehone, telefon]
pencils	4	[pensils, pensils, pencills, pencilas]
dish	1	[dich]
apply	12	[applay, aply, applay, aply, applicate, appy, aply, applicate, appy, aply, aplly, aplply]
manufacturing	7	[manufactoring, manifacturing, manufactoring, manufaturing, manufactoring, manufactoring, manufactoring]
literally	1	[literarelly]
single	1	[singel]
charismatic	2	[carismatic, carismatic]
every	9	[ervery, ever, ever, everey, ievery, eyery, ervery, ervery, evry, ervery, ervery]
furniture	1	[furnitures]
where	4	[wher, wehre, were, wher]
eight	5	[aight, eigth, eigth, eigthy, eigth, eigth]
almost	3	[almmost, allmost, allmost]
rare	1	[rar]
focused	2	[focussed, focussed]
grandma	3	[grandmom, grandmum, grandmum, grandmar]
younger	3	[yonior, jounger, jounger, yonger]
flexibility	3	[flexibilty, flexibilty, flexiblility]
punch	1	[punsh]
clothes	8	[clothers, chloses, closers, clothe, closes, clothers, clothers, clothers]
bathtub	2	[bathtube, bath tube]
damage	1	[demages]
wiring	1	[wireing]
here	8	[[[hier, hier, hier, her, hera, hier, hear, hier]
schoolyard	1	[shoolyard]
rows	2	[rews, rowa]
exciting	25	[exsiting, exciding, exiting, exiciting, exiting, exiting, exiting, excitng, exiting, exceiting, exiting, exiting, exicting, excinting, exiting, exiciting, exiting, exiting, exiting, existing, exiting, exiting, exiting, existing, excititing, ecitung]
arrangement	1	[arragement]
corporate	1	[coporate]
dress	1	[dess]
crushed	3	[chrushed, crushid, cruhed]
apple	2	[aple, appel]
fulfilling	1	[fullfilling]
chess	2	[chees, chees, chees]
guides	1	[guiedes]
disease	1	[desease]
shaking	1	[shacking]
requirements	13	[requiretments, reqirements, requirenments, requierements, requieremnts, requirments, reqirements, reqirements, requirments, requiremts, requirments, requiriments, reqirements]
investment	2	[invest, invetsment]
curtains	3	[crutains, curtins, cortain]
allows	1	[allowes]
gorgeous	2	[georgous, gorgous]
develop	4	[develope, develope, develope, develope]
relevant	3	[[[revelant, relavant, relevent]
major	1	[mayor]
into	1	[intro]
creatively	1	[creativ]
problem	1	[proplem]
hint	1	[hind]
instrument	1	[intrument]
bottle	2	[pottle, bottel]
daily	4	[daly, dailly, daylie, dialy]
grammar	1	[grammatics]
luxury	1	[luxus]
schedule	1	[shedule]
accidentally	1	[accidently]
nutritionist	1	[nutrisionist]
scientific	1	[sientific]
things	8	[thinks, thinks, thinks, thinks, thinks, thinks, thinks, thinges]
inequality	1	[unequality]
advance	1	[adance]
forbidden	2	[vorbidden, forbitten]
thirteen	7	[thirten, thrteen, therteen, thirdteen, thrireen, thriteen, thirtheen]
technique	1	[technic]
limited	1	[limitid]
discussion	1	[disskusion]
understand	2	[unterstand, anderstand]
clinic	1	[klinic]
everyday	5	[erveryday, everday, every day, evryday, everydy]
conducted	1	[concucted]
coaching	1	[cocing]
teachers	2	[theatcher, theachers]
temperature	5	[temperatur, temprature, temperatur, temperatur, temperture]
practices	1	[pracicies]
exactly	4	[exacly, exactelly, exacty, exactely]
although	6	[altough, althought, althought, alltough, altough, althought]
basically	1	[basicly, basicly]
practicing	1	[practising]
communicate	1	[conversate]
drink	7	[trink, drin, dring, drnk, drinc, dring, dink]
governmental	1	[gouvernmental]
it'll	1	[i''t]
year	5	[yer, yeah, jear, jear, yaer]
throat	3	[thoroat, thouth, throst]
worldwide	1	[worlwide]
secondly	2	[second, second, secontly]
tattoo	2	[tatoo, tatoo]
notepad	1	[note pad]
terribly	2	[terribele, terribely]
laugh	1	[lough]
sitcoms	2	[sitcomes, sitecoms]
goodbye	12	[goodbey, goodbey, good bye, goodby, good by, goodbay, good by, good bye, goodby, godbey, goodbuye, goodby, goodby]
under	3	[unter, unter, ander]
suggest	2	[sugest, sugesst]
indicated	1	[indeficated]
soup	2	[soupe, soupe]
teams	1	[temas]
system	2	[sytem, systeme]
thirty	15	[therty, thrity, thiry, thyrty, thrity, thirthy, thirtee, thirtee, thrity, theerty, theerty, thirthy, thity, thirthy, therty, thrity, thrty, therty, therty, threety]
terrible	2	[terribel, terible]
bottom	2	[buttom, button]
pregnant	2	[pragnent, pregnat]
denim	1	[demin]
meditation	1	[mediation]
cheap	9	[ceap, cheep, ceap, cheep, cheep, chep, chep, chep, cheep]
grandparents	1	[grandparent''s]
eliminate	1	[eleminate, eleminate]
dangers	1	[dangoures]
tournament	1	[turnament]
glasses	2	[glases, glases]
advert	1	[advertise]
minimum	1	[minimun]
advise	1	[advice]
expensive	5	[expensiv, expansiv, expensiv, exepensiv, epensive]
excuses	1	[excusses]
deferred	1	[deffered]
run	1	[rung]
laundry	8	[laudry, laundrey, laundrys, launtry, loundry, laundy, laudry, loundry]
absolute	1	[abosolut]
inexcusable	1	[inexcuseable]
adventure	1	[advanture]
strike	4	[stike, stike, stricke, srtike]
sore	1	[strong]
life	6	[live, live, live, live, live, live, live, live]
truth	2	[trueth, thruth]
written	2	[wroten, writen]
citizen	3	[citizer, citizien, citzen]
handicapped	2	[handycapped, handycapped, handycapped, handicaped]
canteen	1	[cantine]
chips	1	[cheps]
snowy	2	[snowly, snowny]
learning	8	[learnig, lerning, learnung, learnig, laerning, lern, lerning, lern, lerning]
young	4	[jung, youg, yound, yuong]
works	1	[workes]
charm	1	[charme]
congratulate	1	[gratulate]
horrifying	1	[horryfing]
gardening	3	[garding, gardeing, gardeing]
historian	1	[historican]
garden	1	[garten]
elementary	6	[elementry, elemantary, elementrary, elemetary, elemantary, elenentary]
world	4	[wold, word, word, word, word]
granny	5	[grnny, granni, i and my [[oma, grannny, grany]
girlfriends	2	[gilfriend, girlfrinds]
flues	1	[flus]
must	1	[musted]
descriptions	1	[descritions]
necessarily	2	[neccessary, necessarly]
adopted	1	[adoptet]
fairs	1	[fars]
friends	24	[frends, friens, frinds, frinds, frends, frends, frainds, frinds, freinds, frieds, frend, friedns, frends, frinds, frinds, frends, frends, frieds, friands, frends, frinds, frends, friendse, freinds, frinds, frends, freands, frends]
practical	2	[practics, praktical]
considering	1	[consdering]
grandchildren	1	[grandshildren]
china	1	[cina]
vase	1	[vasey]
agreed	1	[aggreed]
orange	4	[oranges, organe, orang, orang]
declaration	1	[decleration]
saved	1	[salved]
housewife	3	[houswife, houswife, houswife]
forest	2	[forrest, forrest]
tourism	1	[turism]
places	1	[pleaces]
explains	1	[explaines]
constituted	1	[consituted]
upgrade	1	[upgrate]
devastation	1	[devasion]
email	3	[e-mail, mail, mail]
several	4	[severals, serveral, serveral, serveral]
shabby	1	[shabbily]
visa	1	[visum]
teacher	9	[teasher, theather, teatcher, teatcher, teatcher, teatcher, tacher, teatcher, teatcher, teachter, techer]
early	1	[erly]
quarter	1	[quater]
valid	1	[valide]
song	2	[somg, sond]
famous	1	[famouse, famouse]
walking	1	[walkings]
cheapest	1	[cheepes]
surrounded	3	[sourrounded, surrouded, arrounded]
socks	3	[sooks, sooks, sockets]
liar	1	[lier]
swimming	13	[schwimming, swiming, swimm, swimminp, swiming, swiming, swiming, swiming, swiming, swimm, swimmnig, swimm, swiming]
child	2	[chield, cild]
continuously	2	[countinuosly, continously, continously]
accessory	1	[a ccessory]
precious	1	[precioust]
dirty	2	[dirthy, durty]
grateful	3	[greatful, greatful, greatful]
unusual	4	[unusal, unusuall, unsual, unsual, unussual]
accidental	1	[accendential]
administrative	1	[administrativ, administative]
unfriendly	2	[unfreindly, und friendly]
granite	3	[granit, granit, granit]
yours	3	[your’s, your's, your's]
advantages	1	[anvantages]
delivered	1	[deliverd]
forecast	2	[forcast, forecasted]
strength	2	[stength, strengh]
marmalade	3	[marmelade, marmelade, marmelade]
engineer	6	[engenieer, ingeneur, engeneer, ingeneur, engeneer, ingeneer]
soon	2	[sonn, sonn]
vacated	1	[vaceted]
general	4	[genereal, gereral, genaral, gerneal]
chili	1	[chilli]
appointment	5	[appoinment, appointement, here now the [[appoitment, apointment, appoitment]
representative	2	[represantative, represatative]
hairdressers	1	[hairdresses]
foods	1	[foots]
originally	1	[orginally]
seasons	1	[sesons]
watermelon	1	[watermelone]
historical	1	[historial]
high	2	[hight, hight]
very	30	[verry, vey, verry, vary, verry, verry, verry, ver, verry, verry, verry, verry, verry, verry, verry, yery, wery, cery, verry, yery, verry, verry, verry, verry, yery, verey, verry, verry, verry, verry, verry, ver, yery, verry, ver, veryy, veryy, verry]
likewise	1	[likewisem]
instructed	1	[instrcuted]
everything	8	[eyerthing, everthing, everythink, everthing, everthing, everthing, everthing, ererything]
feels	1	[field, field]
residue	1	[redidue]
leaves	2	[leaeves, leafes]
guys	1	[guye]
elsewhere	1	[elsewehre]
pins	1	[bins, bins]
apologize	2	[appologize, apolozige]
vitamins	1	[vitamines]
can't	4	[cant, cant't, cann't, cant]
slept	1	[sleeped]
pink	2	[pinik, pik]
yourself	5	[youself, yourselve, youself, youself, youself]
industry	5	[industy, industrie, industrie, industriy, industrie, industrie]
working	6	[wornikng, woking, work, warking, workning, workink]
thousands	1	[thousends]
attracted	1	[attacted]
spruce	1	[spuce]
raspberry	4	[rasperry, rasberry, rasperry, rasberry]
again	2	[againe, agen]
celebrities	1	[celebreties]
like	11	[lilke, liket, lke, licke, lile, lika, like's, kie, lile, liek, loke]
teeth	14	[theet, thees, teet, theet, teas, theeth, theets, tees, thsh, teeht, teehs, theeth, teet, thees]
not	2	[nit, noct]
many	2	[moth, any]
lifts	1	[lifter]
happened	17	[happend, happend, happend, happend, happend, happend, happend, happend, happend, happend, happend, happend, happend, happend, happend, happend, happend, happend]
haven't	3	[havn't, havn't, havn't]
start	2	[startet, startet, startet]
jungle	1	[djungle]
vocational	1	[vacotional]
now	2	[know, know]
myself	2	[myslef, me self]
saving	1	[safing]
years	44	[yaers, jears, yahrs, yaers, yers, yaers, yrs, yaers, jears, zears, jears, jears, year''s, jear's, jear's, jears, jears, jears, jears, yaers, yaers, jears, yaers, jears, jears, yaers, yeras, jears, jears, hears, yaers, jears, yeahrs, jears, jears, jears, yeas, jahrs, yrs, jears, yaers, jears, jears, jears, yeras, year's, jears, jears, yrs, jears, yers]
vegetarians	1	[vegetariens]
dance	2	[dace, danc]
some	7	[soem, soem, soem, same, som, som, somy]
culture	1	[cultur]
outside	5	[outeside, outsite, out side, outsite, outsite, outsite]
physics	3	[phisics, physik, physik]
uncomfortable	2	[uncomfortabel, unconfortable]
techniques	3	[technices, techniquies, technics]
escape	2	[excape, esacpe]
watched	1	[warched]
attitude	2	[attituds, atitude]
computers	3	[compuers, copmuters, comuters]
girlfriend's	1	[firlfriend]
blanket	1	[blanke]
casual	1	[casuall]
buying	2	[bying, bying]
probably	5	[probrably, propably, porobably, prabably, probabaly]
district	1	[dictrict]
aggressive	1	[agressive]
fanatics	1	[fantacics]
watches	13	[watsches, watchs, watshes, watchs, watchs, wathes, wachtes, watchs, watchs, watshes, wach, watchs, watchs]
options	1	[optins]
unemployed	1	[enemployed]
male	1	[mal]
already	1	[aleready]
confidence	2	[convidence, convidence]
process	2	[prozess, procces]
broken	12	[brocken, brocken, brocken, brocken, brocken, brocken, brocken, brocken, breaked, brocken, brocken, brocken, brocken, brocken, brocken, brocken, broked]
really	36	[realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, rearly, realy, realy, raily, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy, realy]
successfully	2	[sucessfully, succesfully]
magazines	1	[magzines]
bowling	11	[bolling, bowlling, boxling, boling, boling, bowlingling, boling, blowling, bolling, bowliong, bollowing, bollowing]
brother	3	[broter, brather, brather, broher]
afterwards	3	[afterwords, afterwars, afterwoods]
subjects	1	[subjekts]
decline	1	[dicline]
trumpet	1	[trompet, trompet, trompet, trompet, trompet]
beach	1	[beatch]
heat	1	[haet]
anchor	1	[anchord]
bicycle	2	[bicykle, bicicle]
contrast	1	[constrat]
hear	6	[her, her, heare, heare, here, here]
tents	1	[tends]
parties	2	[partys, partys]
there's	1	[ther's]
etiquette	1	[etichette]
head	1	[heard]
surf	2	[serv, surfe]
drew	1	[drawed]
sure	5	[shure, shure, shure, shure, shure, shure]
cake	1	[cace]
throughout	4	[troughout, troughout, througout, througout]
achievement	1	[achievment]
agencies	1	[agencys]
mark	15	[marke, marke, marke, marke, marke, marke, marke, marke, marke, marke, make, marke, marke, marke, marke]
emails	4	[emailes, emals, emils, e mails]
son's	1	[sons's]
comes	2	[cames, cmes]
hearing	1	[heraring]
knows	1	[know]
presentation	5	[presentaion, presentaion, presenation, presantation, presentaton, presentaion, presention]
voices	1	[vioces]
cabins	3	[cabines, cabbins, cabines]
town	1	[twown]
administration	3	[admistration, administation, asministation]
characters	3	[charakter, chracters, charakters]
calm	1	[alm]
decide	1	[deside]
blot	1	[blott]
slave	1	[sklave]
paper	2	[papier, pater]
breaks	3	[brakes, braks, brake]
chiropractics	1	[chiropractice]
spreadsheets	2	[spreedsheets, spreedsheets, spreadsheeds]
achieve	9	[archive, achive, archieve, achive, achive, achiev, achive, achive, achive, archieve]
blog	1	[bog]
restaurant	24	[restaurnt, resturant, resterant, retaurant, restaurante, restraurant, resraurant, resaurant, resaurant, restauran, restaurante, restaurand, retsaurant, resturant, retaurant, restarant, restaurante, retaurant, rastaurant, resturant, restourant, restaurante, restorant, restorant]
apartments	9	[apartements, apartements, apartements, apartements, apartements, appartments, appartments, appartments, appartments, appartments, appartments, appartments, appartments, appartments, appartments, apartements, appartments, appartements, appartements, appartments, appartments, appartments]
disadvantage	2	[disadavantage, disadvantege]
because	38	[becouse, becaus, bacause, becource, becauce, becaus, becauce, becauce, bacause, becouse, beacause, bacause, becaus, becouse, becaus, beauce, becase, becouse, becuse, becausse, beause, becaus, bedause, becauce, becouse, becouse, becauce, becaus, becouse, becouse, becouse, becaus, becaus, becauce, beacause, cause, becouse, becouse, becouse, becouse, becausen, bescause, beacause, becaues, becaues]
magazine	4	[magazin, magazin, magasine, magazin]
sofa	1	[ofa]
another	13	[an other, anoher, an other, an other, an other, antoher, annother, anotoher, an other, an other, anouthe, a other, an other]
officers	1	[offficers]
dramatic	3	[dramatical, dramatical, dramatical]
glass	5	[glas, glas, glas, glas, glas, glas]
noisy	1	[noisey]
certificates	1	[certifcates]
sixteen	11	[sexteen, sexteen, sixtteen, sixtenn, sexteen, sixtee, sixtheen, six-teen, sixtheen, sixtheen, sichsteen]
minutes	1	[minutens]
check	3	[chek, chek, chek]
vision	1	[vison]
lasagna	2	[laganga, lasagne]
volunteers	1	[volanteers, volanteers]
jeans	1	[jeands]
terrifying	1	[terriying]
tasks	1	[taks]
addition	2	[addiction, ddition]
noise	1	[noice]
address	14	[adress, addresse, adress, adress, adress, adress, adress, adress, adress, adress, adress, adress, adress, adress]
vinegar	1	[vineagar, vineagar]
shoulder	1	[sholder]
target	1	[traget]
furious	1	[furios]
special	1	[spezial]
thief	3	[tief, tief, thieft, thieve, chief]
benefits	1	[benefints]
turkey	1	[türkey]
group	3	[gruop, gruop, goup, grous]
visions	1	[visionans]
need	2	[neen, nee]
enlightened	1	[enlighted]
mountain	2	[mointain, moutin]
freedom	1	[friedom]
fish	6	[fishes, fist, fishs, fishs, fishs, fisch]
discriminating	1	[discriminational]
father's	1	[fahter's]
visit	7	[vistite, vistit, vistit, visite, visite, visite, visite, visite]
wait	2	[waite, waite]
telecommunication	2	[telecommunaction, telekommunication]
camping	2	[caming, caming]
search	1	[serach]
located	1	[locatate]
she	3	[shis, shi, shi]
began	1	[begann]
tights	1	[thight]
something	11	[someting, someting, somthing, somthing, someting, somthing, someting, somthing, somthing, somthing, somethink]
black	6	[blach, blck, blanck, blaick, balck, blck]
asked	2	[aked, aked]
discrimination	18	[discrimintation, discrimintation, discrimiation, discriminiation, discriminiation, discriminiaton, discriminiation, discrimantion, diskrimination, descrimination, disrimination, discrimation, discrimation, discriminations, dicrimination, discrimanation, dircrimination, disrimination, discriminations, discrimnation, discrmination]
once	3	[ons, oce, ones, ones]
creative	3	[kreativ, creativ, creativ]
basement	2	[basment, basemet]
companies	9	[componies, companys, companys, companys, companys, companys, companys, companyies, companys]
psychological	1	[phsycological]
number	7	[nunber, nummber, numme, nummer, numer, numer, nr, nummer]
vulnerable	1	[vurnable]
attract	1	[attrackt]
further	5	[futher, futher, thurther, futher, futher, futher]
madams	1	[madames]
cities	2	[citys, citys]
cleaner	1	[clearner]
endangered	1	[endagered]
adventures	3	[adventoures, adventoures, advantures, advantures, advantures, adventuers]
soap	2	[saop, sopa]
explain	2	[explaine, explane]
adverts	1	[advents]
divorced	1	[devorced]
computer	2	[camputer, comuter]
funky	1	[funnky]
before	14	[befor, bevor, befor, befor, befor, bevore, bevor, befor, bevor, befor, befor, bevor, befor, befor, befor]
ocean	3	[occean, occean, ozean, ozean]
horrible	1	[horribloe]
endeavors	1	[endavers]
disappointing	1	[[[dissapointing]
six	1	[sex]
traveled	1	[traveld]
obsessed	1	[obssesed]
slightly	1	[slighlty]
could	4	[coult, could't, coud, coud]
converter	1	[coverter]
joining	1	[jonin]
wet	1	[waet]
laboratories	1	[laboratorys]
cookies	1	[cokis]
customs	1	[custome]
skirt	3	[scirt, schirt, skilt]
monkeys	4	[mokeys, monekys, mokeys, mounkeys]
phenomenal	2	[phenomenel, phenomal]
firm	3	[firma, firma, firma]
girlfriend	7	[girlfrend, girlfreund, girlfrind, girlfried, girlfrind, girl friend, girlfrend]
o'clock	18	[o'clook, o c'clock, o'cklock, oclock, oclock, o clock, o clock, o clock, o clock, a'clock, o clock, o.clock, o'glock, o'clok, a clock, a clock, a clock, o clock, o clock, a clock, a clock, o'ocloc, o'glock, o'glock, o'cloack, o'cloack, o'glock, o'lock]
films	1	[filmes]
living	1	[libing]
boat	5	[boot, boot, boad, boad, boot]
sit	1	[seats]
history	4	[histrory, historiy, hostory, histroy]
amazing	5	[amazig, amzing, amazazing, amanzing, amasing]
dissatisfaction	2	[unsatisfactions, dissatifaction]
forego	1	[forgo]
background	5	[backround, backround, backround, backround, backround]
categorization	1	[categorisation]
mushrooms	1	[mushrums]
redesigned	4	[redisgned, redisigned, redisigned, redisgned]
body	1	[budy]
impossible	2	[unpossible, inpossible]
same	2	[sam, smae]
enough	8	[enought, enow, enought, enought, enought, enogh, engough, enouhg, enought]
taste	1	[tast]
who	2	[wh, wo]
doctor	5	[docter, dochtor, doc, docter, docktor]
slight	1	[sligth]
optional	1	[optinal, optinoal]
opinion	3	[impinion, optinion, opinon]
everybody	8	[everbody, everbody, everbody, everbody, everbody, everbody, everyboody, everbody, everbody]
light	3	[ligthly, ligth, ligth]
proved	1	[proofed]
think	8	[thing, thing, t''hink, thing, thing, thing, thing, thing]
occasionally	6	[occationally, occacionally, occosinally, occasionaly, occassionally, occasionaly]
get	2	[getting, geht]
mopped	10	[moped, moped, moped, moped, moped, moped, mopt, mopt, moppend, moped]
exhausting	1	[eshausting]
measurement	1	[mesaurement]
executive	1	[executiv]
cough	1	[caughts]
person's	1	[persony]
near	1	[neer]
internships	1	[interships]
