Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,tweet_text
"Me: 'I miss your personality,will it come back?' Him: 'I'm sorry.I'm me. You be you.' #Sad #depressed #longdistancerelationship",0,0,0,0,0,0,0,0,1,0,0,"Me: 'I miss your personality,will it come back?' Him: 'i am sorry.i am me. You be you.' Sad depressed longdistancerelationship"
Comparing yourself to others is one of the root causes for feelings of unhappiness and depression.,0,0,0,0,0,0,0,0,1,0,0,Comparing yourself to others is one of the root causes for feelings of unhappiness and depression.
@ChelseyyH Hope your first shift back isn't too grim chicken x,1,0,0,0,0,0,1,0,0,0,0, Hope your first shift back isn't too grim chicken x
"@ARnews1936 @kdsats72 Americans do not spank their children, and they are a God fearing people who knows the biggest sin is hypocrisy.",0,0,0,1,0,0,1,0,0,0,1,"  Americans do not spank their children, and they are a God fearing people who knows the biggest sin is hypocrisy."
"@breakoutEDU,@GooseChase, pirate style witnessed across the district!@burgessdave #backtoschool #engaged  #tlap #LeadLAP #genoastrong",0,1,0,0,0,0,0,0,0,0,0, pirate style witnessed across the district! backtoschool engaged  tlap Lead L A P genoastrong
The only upside to being deathly ill this week is that I've gotten better at taking pills. #optimism,0,0,0,0,0,0,1,0,0,0,0,The only upside to being deathly ill this week is that i have gotten better at taking pills. optimism
"and you start to think that your new found home will be yours forever, with no threat in sight, until something or someone comes along...",0,0,0,1,0,0,0,1,0,0,0,"and you start to think that your new found home will be yours forever, with no threat in sight, until something or someone comes along..."
I'm gonna start crying and i can't fuck,1,0,0,0,0,0,0,0,1,0,0,i am gonna start crying and i can't fuck
"Fear not @lisajnc1951, God is with you, don't be discouraged, for He is your God, He strengthens and helps you at all time. Is 41:10",0,0,0,0,1,0,1,0,0,0,0,"Fear not  God is with you, don't be discouraged, for He is your God, He strengthens and helps you at all time. Is 41:10"
Favorite character who's name starts with the letter M?\n #Prisonbreak5  #The100 #GreysAnatomy,0,1,0,0,1,0,0,0,0,0,0,Favorite character who is name starts with the letter M?\n Prisonbreak5  The100 Greys Anatomy
"The bathroom sink just spat a spider at me.  I turned on the faucet, and a sizable spider flew up out of the drain.  #spiders #fb",0,0,1,1,0,0,0,0,0,1,0,"The bathroom sink just spat a spider at me.  I turned on the faucet, and a sizable spider flew up out of the drain.  spiders fb"
Today's ECLIPSE was a warm fuzzy for the entire country. A GIANT GROUP HUG❤️😎💕#EclipseSolar2017 #repair #smiles,0,0,0,0,1,1,1,0,0,0,0,today is ECLIPSE was a warm fuzzy for the entire country. A GIANT GROUP HUG red_heart ️ smiling_face_with_sunglasses  two_hearts Eclipse Solar2017 repair smiles
I'm so nervous I could puke + my body temp is rising ha ha ha ha ha,0,0,0,1,1,0,0,0,0,0,0,i am so nervous I could puke + my body temp is rising ha ha ha ha ha
@julyxnthegreat i hope so too.... ☹,0,0,0,1,0,0,1,1,1,0,0, i hope so too....  frowning_face 
I cannot see a rational way of bearing a grudge to him for that. I do not. Maybe because I do not live by Netflix and I do not care...,1,0,1,0,0,0,0,0,0,0,0,I cannot see a rational way of bearing a grudge to him for that. I do not. Maybe because I do not live by Netflix and I do not care...
And let the depression take the stage once more 🙃,0,0,0,0,0,0,0,1,1,0,0,And let the depression take the stage once more  upside_down_face 
I love swimming for the same reason I love meditating...the feeling of weightlessness. ,0,0,0,0,1,1,0,0,0,0,0,I love swimming for the same reason I love meditating...the feeling of weightlessness. 
@LeaMichele We miss you all with you Lea ❤️💕 #glee,0,0,0,0,1,1,0,0,1,0,0, We miss you all with you Lea  red_heart ️ two_hearts  glee
@AutoBant Is it just me that thinks it looks boring? ,0,0,1,0,0,0,0,1,1,0,0, Is it just me that thinks it looks boring? 
",, The solar eclipse was really cool.. #inspiring!",0,0,0,0,1,0,0,0,0,0,0,",, The solar eclipse was really cool.. inspiring!"
@Monarch Really??? I've had to hang up! ,1,0,1,0,0,0,0,0,0,0,0, Really??? i have had to hang up! 
i would start my process now but i'm too busy enjoying this self hatred wave I'm on,1,0,1,1,0,0,0,1,1,0,0,i would start my process now but i am too busy enjoying this self hatred wave i am on
When Jim Sheridan is standing next to you and you don't say A WORD!!! #facepalm #tonguetied ,1,0,1,0,0,0,0,0,0,0,0,When Jim Sheridan is standing next to you and you don't say A WORD!!! facepalm tonguetied 
"@AudaciousBrute_ -- can handle myself.\n[Carl yelled back in fury, blood smeared across his face and clothes. Still holding onto his --",1,0,0,0,0,0,0,0,0,0,0," -- can handle myself.\n[Carl yelled back in fury, blood smeared across his face and clothes. Still holding onto his --"
@shedboy23 @fhathast_tha there was a fair bit of raging folk last night... something to do with pension day?,1,0,0,0,0,0,0,0,0,0,0,  there was a fair bit of raging folk last night... something to do with pension day?
"@realDonaldTrump No #racism, no #hatred , no #sectarianism  ... Only yes to love",0,0,0,0,0,1,1,0,0,0,1," No racism, no hatred , no sectarianism  ... Only yes to love"
@PlumRemson Sorry to offend. Just using some different levels of communications. I hear memes are popular in your circles.,0,1,0,0,0,0,0,0,0,0,0, Sorry to offend. Just using some different levels of communications. I hear memes are popular in your circles.
irate because i broke my arm and had to sit out during the games 2017-07-11 17:46:15.109 ; Two wrongs dont make a right,1,0,0,0,0,0,0,0,1,0,0,irate because i broke my arm and had to sit out during the games 2017-07-11 17:46:15.109 ; Two wrongs dont make a right
sleep is and will always be one of the best remedies for a tired and weary soul,0,1,0,0,0,0,1,0,0,0,0,sleep is and will always be one of the best remedies for a tired and weary soul
"@Topshop where is my order? Placed on Monday via express delivery, yet no sign!!! #annoyed #hurryup Your customer service queues are #awful",1,0,1,0,0,0,0,0,0,0,0," where is my order? Placed on Monday via express delivery, yet no sign!!! annoyed hurryup Your customer service queues are awful"
yukwon no video do zico the world is shaking,0,0,0,1,0,0,0,0,1,0,0,yukwon no video do zico the world is shaking
Obama and Biden would have watched the #Eclipse2017 together and Pete would have shared an awesome photo of them in their glasses. #cry,1,1,1,0,0,0,0,1,1,0,0,Obama and Biden would have watched the Eclipse2017 together and Pete would have shared an awesome photo of them in their glasses. cry
"BUT, I have offended so many people with the idea that conflicts and value judgments are separate that we need to have a talk.",0,0,1,0,0,0,1,0,0,0,0,"BUT, I have offended so many people with the idea that conflicts and value judgments are separate that we need to have a talk."
Tweet at me some cool #madden clips u got,0,0,0,0,1,0,1,0,0,0,0,Tweet at me some cool madden clips u got
Any girl want a load? ;) dm me #horny #cum #snap #dmme #cumtribute #cocktribute,0,1,0,0,0,0,0,0,0,0,0,Any girl want a load? ;) dm me horny cum snap dmme cumtribute cocktribute
@SandraOldfield I LOVE the comics! #hilarious,0,0,0,0,1,0,1,0,0,1,0, I LOVE the comics! hilarious
"Still no word yet, on wether I still have a job at the hospital I work at. Deletion notices come out soon. #stressful #upsetting",1,0,0,1,0,0,0,0,1,0,0,"Still no word yet, on wether I still have a job at the hospital I work at. Deletion notices come out soon. stressful upsetting"
"There's no one right way to live life but: be kind, be genuine, be honest, be open. #Love yourself &amp; #laugh often. #Mindfulness @HealingMB",0,0,0,0,1,1,1,0,0,0,0,"there is no one right way to live life but: be kind, be genuine, be honest, be open. Love yourself &amp; laugh often. Mindfulness "
"'if you really want something and you do nothing about it,you have no right to pout around if you don't get it.Kasi 'di ba you did nothing?'",1,1,1,0,0,0,1,0,0,0,0,"'if you really want something and you do nothing about it,you have no right to pout around if you don't get it.Kasi 'di ba you did nothing?'"
I need to start doing something with myself. #lazy ,0,0,1,0,0,0,1,1,1,0,0,I need to start doing something with myself. lazy 
@Bell - spelled exactly how it makes you feel 'better eat land line'. Talking to my mom this week has been impossible. #goodservice #rage,1,0,1,0,0,0,0,0,0,0,0, - spelled exactly how it makes you feel 'better eat land line'. Talking to my mom this week has been impossible. goodservice rage
"@20committee John, what do you make of DJT's silence? He would usually be foaming at the mouth right now. Maybe he's constipated.",1,1,0,0,0,0,0,0,0,0,0," John, what do you make of djt is silence? He would usually be foaming at the mouth right now. Maybe he is constipated."
Only in #whitehorse do you see a hubcap going down 2nd ave all by itself #yukontumbleweed #yukon ,0,0,0,0,0,0,0,0,0,1,1,Only in whitehorse do you see a hubcap going down 2nd ave all by itself yukontumbleweed yukon 
@Alibenzkr @floatingboat Memento ending 😄,0,0,0,0,1,0,1,0,0,0,0,  Memento ending  grinning_face_with_smiling_eyes 
@muqryyy happy birthday machaaaa 🎈🎉🎊 stay awesome and murah rezeki selalu 👍🏻,0,0,0,0,1,1,0,0,0,0,0, happy birthday machaaaa  balloon  party_popper  confetti_ball  stay awesome and murah rezeki selalu  thumbs_up  light_skin_tone 
"When you should be working, but you're shopping amazon prime deals instead... 😦",1,0,1,0,0,0,0,0,0,0,0,"When you should be working, but you are shopping amazon prime deals instead...  frowning_face_with_open_mouth "
Meditation is taking out the garbage. Tuning out the thoughts we don't need. Embracing our true self. #yoga #love #smile,0,0,0,0,1,1,1,0,0,0,0,Meditation is taking out the garbage. Tuning out the thoughts we don't need. Embracing our true self. yoga love smile
Karma is real bitch 🖕🏼you can't just be mean and do horrid things without paying the price 😂,1,1,0,0,0,0,0,1,0,0,0,Karma is real bitch  middle_finger  medium_light_skin_tone you can't just be mean and do horrid things without paying the price  face_with_tears_of_joy 
@ReporterLaurenB @Examiner Agree with @Examiner or you are of a lower intelligence would be your message there then? #dreadful,1,0,1,1,0,0,0,0,0,0,0,  Agree with  or you are of a lower intelligence would be your message there then? dreadful
@RealJamesWoods Rumor has you are #wellendowed #awesome! Truth is you are a #big 😲 #notsomuch so you know a bunch of #gaypeople #sowhat,1,0,1,0,0,0,0,0,0,0,0, Rumor has you are wellendowed awesome! Truth is you are a big  astonished_face  notsomuch so you know a bunch of gaypeople sowhat
Note to self: Don’t get discouraged by what you’re going through. Your time is coming. Where you are is not where you’re going to stay.,0,1,0,0,0,0,1,0,1,0,0,Note to self: Don't get discouraged by what you are going through. Your time is coming. Where you are is not where you are going to stay.
"IK to PMLN: 'Darling, I will haunt you in your nightmares, dressed like a dream.' BEST THING EVER. #GameOverNawaz",0,0,0,1,1,0,0,0,0,0,0,"IK to PMLN: 'Darling, I will haunt you in your nightmares, dressed like a dream.' BEST THING EVER. Game Over Nawaz"
OMG we're eating drinking in a restaurant and  so is a baby!!! Quell horror #YummyMummiesAU,1,0,0,1,0,0,0,0,0,1,0,OMG we are eating drinking in a restaurant and  so is a baby!!! Quell horror Yummy Mummies A U
😍🤤😍🤤😍 #foodie #yummy #halalfood \n(twitter saw,0,0,0,0,1,0,1,0,0,1,0, smiling_face_with_heart_eyes  drooling_face  smiling_face_with_heart_eyes  drooling_face  smiling_face_with_heart_eyes  foodie yummy halalfood \n(twitter saw
hello phy6 i'm stressing over u ayuku na??¿ ☹,0,0,0,1,0,0,0,0,1,0,0,hello phy6 i am stressing over u ayuku na??¿  frowning_face 
"There are parts of you that wants the sadness. Find them out, ask them why",0,0,0,0,0,0,0,1,1,0,0,"There are parts of you that wants the sadness. Find them out, ask them why"
Are you always looking for quotes of your days? Then follow @kettlewell to learn more!\n #quote  #doubleviz,0,0,0,0,0,0,1,0,0,0,0,Are you always looking for quotes of your days? Then follow  to learn more!\n quote  doubleviz
"@charliekirk11 @DonaldJTrumpJr Little Donnie is heading to jail, rejoice.",0,0,0,0,1,0,1,0,0,0,0,"  Little Donnie is heading to jail, rejoice."
#Bible reading today shows us the Lord has done #great things for us &amp; we are glad. Our mouth is filled with #laughter &amp; tongue with singing,0,0,0,0,1,1,1,0,0,0,0,Bible reading today shows us the Lord has done great things for us &amp; we are glad. Our mouth is filled with laughter &amp; tongue with singing
psa: if you read while you're laying out you sort of forget about the boiling sun and the sweat poring down your face 🙌,1,0,1,0,0,0,1,0,0,0,0,psa: if you read while you are laying out you sort of forget about the boiling sun and the sweat poring down your face  raising_hands 
@namivague huhu kak help me through all of this ,0,1,0,0,0,0,0,1,1,0,0, huhu kak help me through all of this 
i'm actually trying to find excuses to go out after interaction day on friday but i'm afraid that my mom will scold me even more lol,0,0,0,1,0,0,0,0,0,0,0,i am actually trying to find excuses to go out after interaction day on friday but i am afraid that my mom will scold me even more lol
Dear Emma its my honor to communicate with you directly kindly give me this tremendous opportunity to chat via Whats App 00966504634031 thx,0,0,0,0,1,0,1,0,0,0,0,Dear Emma its my honor to communicate with you directly kindly give me this tremendous opportunity to chat via Whats App 00966504634031 thx
Super excited and Counting down the hours until I see @Pink tomorrow night!!! #awesomeness 😍,0,1,0,0,1,0,1,0,0,0,0,Super excited and Counting down the hours until I see  tomorrow night!!! awesomeness  smiling_face_with_heart_eyes 
Let's start all over again.....\n#feels #lover #happiness #loyalty #truth,0,0,0,0,1,1,0,0,0,0,0,let is start all over again.....\nfeels lover happiness loyalty truth
Beyond disappointed with @HeidiSomers clothing line and service. Lulu never asks questions about returns. Not getting money back. #horrible,1,0,1,0,0,0,0,0,1,0,0,Beyond disappointed with  clothing line and service. Lulu never asks questions about returns. Not getting money back. horrible
"Earth's sixth mass extinction event under way, scientists warn **basically  caused by Islamic Muslim terrorism which Obama dem- rats back*",1,0,1,1,0,0,0,1,0,0,0,"earth is sixth mass extinction event under way, scientists warn **basically  caused by Islamic Muslim terrorism which Obama dem- rats back*"
Some days I feel like I'm going to accomplish everything I've ever dreamed.  Today is not one of those days #nomotivation #rainyday #gloomy,0,0,0,0,0,0,0,0,1,0,0,Some days I feel like i am going to accomplish everything i have ever dreamed.  Today is not one of those days nomotivation rainyday gloomy
That was spooky! One of those water big roaches was crawling on my back. #terrible,0,0,1,1,0,0,0,0,0,0,0,That was spooky! One of those water big roaches was crawling on my back. terrible
"Keep a relentless eye on your goals! Perseverance, joyful dedication, and unwavering focus will get you @AmyLeighMercree",0,0,0,0,1,0,1,0,0,0,1,"Keep a relentless eye on your goals! Perseverance, joyful dedication, and unwavering focus will get you "
When @Jaclynhill and @JeffreeStar  snap chats get you through the day w/ their words of inspiration #blessed ❤️💕,0,0,0,0,1,1,1,0,0,0,1,When  and   snap chats get you through the day w/ their words of inspiration blessed  red_heart ️ two_hearts 
"For every one concept I try to cram into my brain, I feel like I'm pushing out three. #panic",0,0,0,1,0,0,0,1,1,0,0,"For every one concept I try to cram into my brain, I feel like i am pushing out three. panic"
“The #optimist proclaims that we live in the best of all possible worlds; and the #pessimist fears this is true.” ~ James Branch Cabell,0,0,0,0,0,0,1,1,0,0,0,"""The optimist proclaims that we live in the best of all possible worlds; and the pessimist fears this is true."" ~ James Branch Cabell"
@OddNMacabre I Definitely would go the Elm Street way!! More #horror right!?😀,0,0,0,1,1,0,1,0,0,0,0, I Definitely would go the Elm Street way!! More horror right!? grinning_face 
Red Sox fans are #mad #onhere - it's almost like their All Star relief pitcher and 1st baseman both left with injuries in this game 🤷🏻‍♀️,1,0,1,0,0,0,0,0,0,0,0,Red Sox fans are mad onhere - it is almost like their All Star relief pitcher and 1st baseman both left with injuries in this game  person_shrugging  light_skin_tone ‍ female_sign ️
She gave me a serious fright #scared #loveMyCat,0,0,0,1,0,1,0,0,0,0,0,She gave me a serious fright scared My Cat
﻿my phone is oppo. but its alway oppocot 😒 those who always startle will know what i mean,1,0,0,0,0,0,0,0,1,0,0,﻿my phone is oppo. but its alway oppocot  unamused_face  those who always startle will know what i mean
#My #Mind is free of all aspects of #fear and #pain &amp; talk with me to produce #positive thought.\n#affirmation #thought #focus\nPlease retweet,0,0,0,0,1,0,1,0,0,0,0,My Mind is free of all aspects of fear and pain &amp; talk with me to produce positive thought.\naffirmation thought focus\nPlease retweet
"Woke up in a great mood, ready to get back to work 😊 ",0,0,0,0,1,0,1,0,0,0,0,"Woke up in a great mood, ready to get back to work  smiling_face_with_smiling_eyes  "
@LisaCim @AcaciaEvans This is the best picture I have ever seen! #beautiful #happy,0,0,0,0,1,1,1,0,0,0,0,  This is the best picture I have ever seen! beautiful happy
@Daily_Express He suffers with depression again right wingers treat people with depression as lazy or filthy #ToryBritain,1,0,1,0,0,0,0,1,1,0,0, He suffers with depression again right wingers treat people with depression as lazy or filthy Tory Britain
@dtptraffic - @MCDdelhi has occupied one full lane for toll collection permanently resulting in traffic snarl everyday on UP Link Road,1,0,1,0,0,0,0,0,0,0,0, -  has occupied one full lane for toll collection permanently resulting in traffic snarl everyday on UP Link Road
"I've never been happier. I'm laying awake as I watch @stolenmcments sleep. Thanks for making me happy again, babe.",0,0,0,0,1,1,0,0,0,0,0,"i have never been happier. i am laying awake as I watch  sleep. Thanks for making me happy again, babe."
All these David Brooks sandwich tweets are much-needed comic relief. #hilarious #sopressatta,0,0,0,0,1,0,1,0,0,0,0,All these David Brooks sandwich tweets are much-needed comic relief. hilarious sopressatta
Trere should be more meet cute ccenes where beautiful young people accidenta.ly.start eating the same cruller.,0,1,0,0,1,0,1,0,0,0,0,Trere should be more meet cute ccenes where beautiful young people accidenta.ly.start eating the same cruller.
Take #photographs of life and write them in #journals #motivation #inspiration #life  #love #inspire #smile #quotestoliveby,0,0,0,0,1,0,1,0,0,0,0,Take photographs of life and write them in journals motivation inspiration life  love inspire smile quotestoliveby
'Total Lunchgarden' is a grim insult,1,0,1,0,0,0,0,0,1,0,0,'Total Lunchgarden' is a grim insult
I wish for my Powers be multiplied and the Insight that I had into their understanding be made clearer #joy,0,0,0,0,1,0,1,0,0,0,0,I wish for my Powers be multiplied and the Insight that I had into their understanding be made clearer joy
@maltsphere @politically_cor @PrisonPlanet @DonaldJTrumpJr There can be no true despair without hope. Isn't that what you're looking for?,1,0,1,0,0,0,0,0,1,0,0,    There can be no true despair without hope. Isn't that what you are looking for?
#Overheard: 'I don't really like dogs.' I DON'T FEEL SAFE IN THIS PLACE. Clearly a hostile environment!  #bigly #covfefe #TrustNoOne,1,0,0,1,0,0,0,0,0,0,0,Overheard: 'I don't really like dogs.' I DON'T FEEL SAFE IN THIS PLACE. Clearly a hostile environment!  bigly covfefe Trust No One
@lukeWHC09 Hahaaa! Was fuming with that 😞😂,1,0,1,0,0,0,0,0,0,0,0, Hahaaa! Was fuming with that  disappointed_face  face_with_tears_of_joy 
"@Haven check in is a pop up stall next to arcade, 2 staff, no alphabetical organisation and an hour long queue.... #greatstart #crap #bored",1,0,1,0,0,0,0,0,1,0,0," check in is a pop up stall next to arcade, 2 staff, no alphabetical organisation and an hour long queue.... greatstart crap bored"
"Hailing from Izu Beach, a sparkling ★TWINKLE★ star, it's the newcomer everyone's been waiting for, Yohane♪",0,0,0,0,1,1,1,0,0,0,0,"Hailing from Izu Beach, a sparkling ★TWINKLE★ star, it is the newcomer everyone is been waiting for, Yohane♪"
Premier League Teams should fear next seasons Arsenal's XI. #coyg #afc,0,1,1,1,0,0,0,0,0,0,1,Premier League Teams should fear next seasons arsenal is XI. coyg afc
@izs @npmjs It'd be #awesome if we get emoji 😆😇😂😃support in #npm readmes. Readmes shouldn't be that serious. @github has it and it's #fun.,0,0,0,0,1,0,1,0,0,0,0,  it would be awesome if we get emoji  grinning_squinting_face  smiling_face_with_halo  face_with_tears_of_joy  grinning_face_with_big_eyes support in npm readmes. Readmes shouldn't be that serious.  has it and it is fun.
@Rinoa11 lel I already know the whole plot dont worry I would have warned you :D man... Cid tho... That bitch slapped Gabranths hand away,1,0,1,0,0,0,0,0,0,0,0, lel I already know the whole plot dont worry I would have warned you :D man... Cid tho... That bitch slapped Gabranths hand away
"Youth an embarrassing unavoidable affliction, thankfully temporary. (altered sentence from New York Times book review)",0,1,0,0,1,0,0,1,1,0,0,"Youth an embarrassing unavoidable affliction, thankfully temporary. (altered sentence from New York Times book review)"
They promised I would go blind but I still got 20/20 ,0,0,0,0,1,0,1,0,0,0,0,They promised I would go blind but I still got 20/20 
@01mattwhite @Football__Tweet @DeadlineDayLive That's brilliant 😂 The music makes it,0,0,0,0,1,0,1,0,0,0,0,   that is brilliant  face_with_tears_of_joy  The music makes it
