Correction	ErrorFrequency	Errors
business	147	[bussiness, bussiness, bussines, busines, businnes, bussiness, bussines, bussiness, businees, busines, busines, businees, businness, bussiness, bussines, bussines, bussines, busines, bussiness, bussenes, bussiness, businees, bussines, bussines, bussiness, bussines, bussiness, bussiness, biasness, businees, bussines, bussines, busines, bussiness, bussines, bussines, businees, bussines, bussines, bussiness, businnes, bussines, businnes, buziness, bussines, bussiness, bussines, bussiness, bussine, busisness, bussines, bussiness, businness, bussines, bussines, bussiness, businees, bussiness, bussiness, businees, bussines, bussines, bussines, bussiness, bussines, businnes, bussiness, busines, bussines, businnes, bussiness, bussiness, bunisses, busines, businees, bussiness, bussiness, businees, businnes, bussiness, busines, bussines, bussiness, bussines, bussines, bussnes, bussines, businnes, bussinnes, bussiness, bussiness, bussiness, businnes, bussiness, businees, bussiness, bussiness, businees, bussiness, bussiness, bussines, bussiness, bussines, bussiness, businness, businnes, bussines, bussines, businness, busines, bussiness, bussiness, bussines, bussines, bussiness, bussiness, busines, bussiness, bussines, bussines, bussiness, bussines, bussines, busines, busniees, businees, busness, businness, bussiness, bussiness, bussiness, bussines, bussiness, bussiness, bussiness, businees, bussiness, bussiness, bussiness, bussines, bussines, businnes, busines, businnes, bussiness, bussines, bussiness, buseness, businnes, bussines trip, bussines]
completely	13	[completly, completly, completly, complety, completly, completeley, completly, completly, completly, completelly, completly, complety, complety]
hurdling	1	[hurdlings]
sequential	1	[sequencial]
possible	14	[posssible, posible, posible, posible, posible, posible, posible, possibles, posible, possibe, posible, posible, possoble, posible]
following	5	[folowing, folowing, follwing, fallowing, folliwing]
especially	20	[specially, specially, specially, specialy, specialy, especialy, especial, specially, specialy, especialy, especailly, specialy, specially, especialy, specialy, specially, especialy, speacially, specially, specially, specially, especial]
immigration	4	[imigration, imigration, imigration, imigration]
sympathizes	1	[sympatize]
interventions	1	[intervetions]
assigned	1	[assigne]
colleague	7	[collegue, coleague, coleague, collegue, colleage, colleger, coleague, colleage]
finished	23	[fineshed, fineshed, fineshed, fineshed, fineshed, finishd, finhished, finhished, fineshed, fineshed, fineshed, finisched, fineshed, fineshed, finshed, finishied, finihed, finisched, finishid, finisched, fisnihed, fineshed, finishd, finisched]
gray	1	[graw]
mayonnaise	1	[mayonnasise]
hello	93	[hallo, helo, hellow, hallo, helow, hellou, helo, heloo, helo, helow, helo, helo!, hallo, hallo, hellow, helo, hollo, hallo, helo, helo, hellos, hellow, helo, hllo, helo, hallo, helo, helo, hollo, helo, hellow, hellow, helo, hellow, hellow, helo, hellow, helo, holla, hallo, hallo, helow, hellow, helo, hallo, hallo, helo, helo, helo, helo, heloo, helo, hellou, hellow, hallo, helo, hallo, hellio, helo, hellow, hellow, hellow, helo, helo, helow, heloo, hellow, hallo, helo, hellou, hellow, hallo, hellow, helo, he lo, hellow, helo, helo, helo, hallo, hellow, hallo, helo, hélio, hillo, hellou, helo, helo, heloo, hellol, hellow, hallo, helo, helo, helo, helo, hallo, hellow, helo, hallo]
advantage	2	[advantege, advantadge]
which	134	[wich, wich, wihch, wich, wich, wich, wich, whitch, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, whuch, wich, wich, [[wich, witch, wich, wich, wich, wich, wich, wich, [[wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, [[wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, whitch, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, whic, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, witch, wich, wich, whitch, wich, witch, wich, wich, wich, whitch, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, witch, [[wich, wich, whitch, wich, wich, wich, wich, wich, wich, [[wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, witch, wich, wich, wich, wich]
ran	3	[runned, rum, rans]
headache	7	[hadache, headace, headach, headeche, hadchache, headche, haedache]
female	5	[female's, famale, famale, famele, famele]
peace	1	[pace]
hotelier	1	[hoteller]
brown	109	[brow, bown, brow, grown, brow, bronw, brow, browm, browm, brow, brow, brow, brow, bronw, brow, brow, brow, browm, bronw, bronw, browm, brow, browm, brow, brow, bronw, brawn, bown, bronw, browm, bown, brow, brouwn, brwon, browm, brow, bronwn, brow, browm, browm, browm, brow, bronw, browr, browr, brow, bmrown, brow, brow, brow, blown, blown, brow, brow, brow, browm, brow, bown, bown, bronwn, brow, brow, browm, brow, brow, broun, broun, browm, brow, bronw, brow, brwan, beown, brow, brow, brow, brow, brow, browm, brow, brow, brow, bronw, broun, braown, bown, broen, brow, bronw, bronw, bronw, bronw, brow, brow, brow, brow, borwn, browm, bown, bronwn, brow, browns, bronw, brow, brow, brow, brow, brwon, brow, blown, blown, bronw, bronw, birown, brow, brow, brawn, brow, brow, browm, brow, borwn, brow, bronw, rown, bronw, bronw, brow, brow, bronw, browm, browm]
nursing	1	[nurce]
symbolizes	1	[simbolize]
fainting	2	[faiting, fancing]
suspicious	2	[suspcious, man [[suspicius]
attacking	1	[atacking]
jobs	1	[job's]
cycling	2	[cucling, ciclyng]
chubby	1	[chuby]
rock	2	[rochk, rack]
rode	1	[rided]
help	19	[halp, healping, holpe, halp, hepl, hel, halp, hep, helps, halp, happing, hep, helpe, hape, halp, halp, helpe, hel, helpe, relp]
festivals	1	[festivals's]
reunited	1	[reunitend]
capability	1	[cpability]
support	16	[suport, suport, suport, supporte, suport, suport, suport, suport, suport, apport, suport, suport, suport, suport, suport, suport, suport, suport]
volleyball	157	[voleiboll, volleybol, volleyboll, voleyball, voleyball, wolleyboll, voleyball, voleyball, voleybol, voleyball, voleyball, voleyball, voleyball, volleibal, volleybol, volleybol, volayball, voleyball, voleball, voleyball, volleiball, voleyball, voleybool, voleyball, voleyball, voley ball, voleyball, voleyball, voleyball, voleyball, voleyball, voleiball, vooley ball, volleyboll, voleyball, voleiboll, volleiball, voleyball, volleyboll, voleyball, voleyball, voleyball, voleyball, voleiball, voleyball, voleyball, voolleyball, voleyball, vollyball, volleybol, volleybol, volleybal, volleyboll, voleyball, voleibol, voley ball, voleyball, voleyball, voleyball, voleyball, voleyball, voleiball, voleyball, voleyball, voleyball, voleyboll, volleybol, volleybol, voleyball, vollyball, voleyball, volleybol, voleybaal, voleyball, voleyball, voleyball, voleyball, voleyball, voleyball, voleyball, voleyball, volleybool, voleyball, voleball, voleyball, voleyball, voleyball, volleybol, voleyball, volleyboll, voleiball, volleybool, voleyball, voleyball, voleyball, volleybal, voleyball, volleyboll, voleyball, volley boll, volleybol, voleyball, voleyball, voleyball, volleybol, voleyball, voleyball, volleyboll, voleyball, volleyboll, voleyball, voleyboll, voleyball, voleybool, voleiball, voleyball, voleiball, voleyball, voleyball, valleyball, volleball, volleybol, volleiball, voleyball, wolleyball, voleyball, voleyball, voleyball, voleyball, volleyballl, voley, voleyball, volleybool, voleiball, voleiball, volleybal, volleuball, volleyboll, voleyball, voleyball, voleiboll, voleyball, voleyball, voleyball, voleyball, voleyball, voleiball, voleyball, voleyball, volleibal, voleiboll, voleyball, voleyball, voleyball, voleyball, voleyball, voley, voleyball, voleiball, voleyball, voleyball, voleibol, voleyball, voleyball, voleyball, voleyball, vooleyball, voleyball, volleyboll, volleyboll, voleyball, voleyball, volleybal, valleyball]
searching	4	[search, searcheing, serching, searchig]
identify	3	[indentify, indetify, indentify]
menu	4	[manu, manu, meny, manu]
recommendation	1	[recomendation]
job	36	[jb, jb, jog, joob, jog, jog, jobe, jod, jod, job's, jobe, jo, jobe, jobe, jobe, jod, jobt, function, jop, jobe, jog, jog, job's, jog, jog, jog, jog, jobe, jod, jove, jogb, jog, jobe, jog, jobe, jog, jobis, jobes]
health	13	[helth, healf, healthy, heath, helth, healh, helth, heathy, heathy, helth, helth, halth, healthy, helthy]
hamburger	8	[hamburg, hamburguer, hamburguer, hanburguer, hamburguer, humburger, hamburguer, hamburguer]
shoulders	4	[shouders, shouders, shouders, sholders]
category	1	[categorie]
suppose	5	[suposed, supose, suposed, supose, supose]
sandwiches	75	[sanduiches, sanduiches, sandwches, sandwices, sandwuiches, sandwuiches, sanduiches, sandwíches, sandwiche, sandwinches, sandwíches, sanduich, sanduiches, sandwuices, sandwishes, sandwishes, sandwichs, sandwichs, sandwíches, sandwhiches, sandwishes, sandwichs, sanduiches, sandwich, sandwich, sandwichs, sandwishes, sandwichs, sandwithes, sandwichs, sandiches, sandwishes, sanduiches, sandwichs, sanduichs, sandwich, sanduwiches, sandwichs, sandwuiches, sandwichs, sandwichs, sandwishes, sandwuiches, sandwches, sadwiches, sandwichs, sandwiche, sanwiches, sadwiches, sandwishes, sanduwiches, sandwishes, sandwichs, sanduwiches, sandwichs, sanduiches, sadwiches, sandwichs, sandwichs, sandwinches, sanduiches, sandwichs, sadwiches, sandwishes, sanduiche, sanduiches, sanduwchs, sadwiches, sanduiches, sandwishes, sandwich, sandwichs, sandwichs, sandwichs, sandwinches]
dentistry	1	[dentisty]
avenue	11	[av, ave, ave, ave, av, av, avenew, ave, aveue, evenue, av]
descendants	2	[descendent, decedentes]
western	2	[wester, westner]
upon	1	[uppon]
television	7	[televison, telivision, tv, tv, tv, tv, televsion]
technician	23	[techical, tecnologo, tecnician, technican, tecnic, techinician, techinician, techinican, techinitian, techinican, tecnician, tecnical, techinical, techinician, tecnician, tecnician, techinician, tecnical, tchnician, tchnicien., tecnithian, tecnition, tecnician]
assistance	13	[assitance, assitance, assistent, assistence, assistence, assistence, assistence, assistency, assistence, assintence, assistence, assistances, assistence, assitance]
enunciate	1	[denunciate]
vehicle	1	[vehicule]
rumors	2	[rummors, rummors]
thought	27	[thougth, tought, tought, thoug, throught, tought, tought, tought, though, thouth, tought, thout, tought, fought, thoutght, thougth, tougth, thoughth, though, throught, thinked, tought, tought, though, thougth, tought, furght]
easily	3	[easliy, easyly, easly]
road	14	[rood, rd, rd, roald, rod, rd, rd., rd, roald, rd, rd, rd, toad, rd]
space	2	[spacer, spece]
decision	2	[decission, decison]
villain	1	[vilain]
seasoning	1	[seasonig]
tests	3	[teste, tes, testes]
destroyed	5	[destroied, destroyeds, destroid, destroied, destroied]
discriminatory	1	[descriminator]
construction	10	[constrution, constrution, contructions, constrution, constrution, construccion, constrution, contruction, constructuion, construcion, contructions]
aimed	1	[inted]
held	1	[hept]
marketing	38	[marqueting, markenting, markenting, markenting, markenting, marketink, markenting, markenting, maketing, markenting, markenting, markenting, markenting, markenting, marketig, markenting, marktings, markrting, markeint, marketin, markenting, marking, maketing, markenting, markenting, markenting, marcketing, marcketing, marquetin, narketing, marketin, marketin, markenting, markerting, maketing, marketin, makteting, markenting, markenting, maketing, makerting, marketin, markting, markting, maketing, maketing, markenting, marcketing, marcketing, manketing]
suggestions	26	[sugetions, sugestions, sugestions, sugestion, sugestions, sugestions, sugestions, sugestions, sugestions, sugestions, sugestions, suggetions, sugestions, sugestions, sugestions, sugestions, sugestions, sugestions, sugestions, sugestions, sugestions, sugsted, siggestions, sugestions, sugestions, sogestions, sugestions]
reserved	1	[reservado]
psychologist	15	[psicologyst, psichologist, psicologist, psichologist, psicologist, psichologist, psichology, physichologist, psycologist, psycologist, psycologist, psicology, psycologist, psycologist, psicologist]
surprisingly	1	[surprinsingly]
worried	1	[wride]
mustache	1	[mustach]
telephone	12	[telefone, telefone, telefone, telefone, thelefone, telefone, telephon, tlephone, phone, phone, phone, telefone]
warning	8	[warming, warming, wearning, wearning, warming, waring, warming, warming, warnning]
pencils	31	[pencíls, penncils, penclis, pecils, pencíls, pencíls, penclis, penlis, pnecils, pencíls, pancils, penclis, pencíls, pencelis, penscils, pencills, penicls, pensils, pincels, pecils, pencilis, pencels, pemcils, penscils, pensils, pencíls, pencíls, pensils, peas, pecils, pecils]
dish	1	[dishe, dishe]
truly	4	[trully, trully, trully, trully]
polite	3	[polites, poliete, people very [[polites]
manufacturing	32	[manufaturing, manufactoring, manufactoring, manufaturing, manufactoring, manufactoring, manufacturin, manufactoring, manufactoring, manufactory, manuracturing, manufactory, manufactoring, manufactoring, manufactoring, manufaturing, manufcturing, manifacturing, manufactoring, manufactoring, manucacturing, manufaturing, manufaturing, manufactoring, manufactory, manufactoring, manufecturing, manufaturing, manafacturing, manufactory, macufacturing, manufactoring]
single	6	[singletoon, sigle, sigle, sigle, sigle, single's]
entered	2	[intered, enter in]
every	52	[evry, evey, evey, evrey, evary, evey, evedy, evere, everey, avery, avery, evey, very, ever, ever, ervery, ervery, ervery, avery, avery, everey, evey, erey, everey, ervery, everey, evety, ery, ery, erey, evry, everey, avery, ever, avery, evry, ery, ever, evey, very, avery, avery, very, everey, everey, everey, erery, everey, very, ervery, everrt, evey, envery, evey, ever, enery, everig, everig, avery]
eight	178	[eigth, eigth, eigh, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eite, eigth, eigth, eigth, eigth, eigth, eigthen, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eignt, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eiht, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eith, eigth, eighte, eigth, eitht, eigh t, eigth, eigth, eigth, eigt, eigh, eigth, eigth, eigth, eigth, eith, eith, eigth, eigth, eigth, eighth, eigth, eigth, eigt, eigth, eigth, eith, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigh, eigth, eigth, eghty, eigth, eigth, eigth, eihgt, eitght, eitgh, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigthy, eigth, eigthy, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eihgt, eigth, eigth, eigth, eigth, eithg, eigth, eigth, eigth, eght, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eighty, eigth, eigth, eigth, eigth, eigth, eigth, eitgh, eigth, eigth, eithe, eigth, eithy, eigth, eigth, eigth, eigth, eigth, eigth, eigth, aight, eigth, eigth, eigth, eigthy, eigth, eigth, eigth, eigth, eigth, eith, eigth, eigth]
sisters	19	[sisters's, sirters, sister's, systers, systers, systers, sister's, sister's, sisteres, sisters's, isters, siters, siters, sisters's, sisteres, sistes, syster, systers, systers]
granddad	1	[grandma]
focused	2	[foccused, foccused, fucused]
extinction	1	[extition]
penalty	1	[penality]
writer	2	[writter, writher]
grandma	6	[grandmom, grandmom, grandmma, gradma, gradma, gramma, grandmam]
younger	5	[youngers, yunger, youger, yang, yong]
analyst	125	[analist, analist, analist, analist, anylist, analist, analist, analist, analist, analista, analist, analist, analist, analist, analist, analist, analist, analist, anlyst, analist, analist, analist, analist, analist, analist, analist, analist, analist, analisty, analist, analist, analist, analist, analist, analisty, analisty, analist, analist, analist, analist, analist, analist, analist, analist, analist, analist, analist, analist, analist, analist, analyt, analist, analist, analist, analist, analist, analisys, analist, analist, analist, analist, analist, analisty, analist, analist, analist, analist., analist, analist, analist, analist, analist, analist, analist, analist, analisty, analist, analist, analist, analist, analist, anlyst, analist, analist, analisty, analist, analist, analist, analist, analist, analist, analist, analist, analist, analist, analist, analist, analist, analist, analist, analist, analist, analist, analist, analist, analisty, analist, analist, analisty, analist, analist, analist, analist, analist, analist, analist, analist, analist, analisty, analyste, analist, analist, analisty, analist, analist, analist, analist, analisy, analist, analyts, analist]
alcoholics	1	[alcoolics]
characterized	1	[caracterized]
painted	1	[paintend]
starters	7	[startes, started, stater, startes, startes, stater, sarter]
clothes	82	[clothers, clothers, clothers, clother, clothers, clotes, cothes, colthes, colthes, chothes, clothers, clother, clothings, chothes, clothe's, closes, clothers, clotes, cloting, closes, clothers, clouthes, clotes, clotes, to: vintage [[clothers, clothers, clothe, clhotes, clouthes, clouthes, cloters, clothers, clothers, clotles, clothers, chothes, clouths, clouthes, clother, clouthes, clotes, clothers, chothers, clodes, clothers, clother, clouthes, clothers, clothers, clothers, clothers, clothes's, clothers, clothers, cloters, cloush, clothers, clotes, clothers, clothers, closes, clothers, clouthes, clotehes, clolthers, closet, chothes, clother, clothe's, clothers, clothers, clothers, cloting, closes, clothers, clothers, clothers, chothes, clouths, clothers, chothes, clouthes, chothes, clothers, chothes, we were wearing [[clouthes, clotes, clothers, clothers, chothes]
easier	1	[easer]
philosophy	4	[philosofy, philosofy, fhilosohpy, filosofy]
psychotherapy	1	[psycotherapy]
here	4	[hear, heare, heare, heare]
exciting	85	[excting, excinting, exiting, exceting, excitant, exceting, excited, exiciting, excting, exiciting, exceting, excinting, excinting, exiting, excinting, excinting, exiciting, exiciting, excinting, exceting, excinting, exiting, exicinting, excyting, exiting, excitting, excitant, excinting, exiciting, excinting, excitting, excitting, exiciting, exceting, exceting, exceting, excitant, exiciting, excinting, excinting, excinting, excitant, exiciting, ecxinting, exiciting, exiciting, exceting, excitanting, excintig, excting, excinting, excinting, excinting, ecxiting, excitinting, excinting, excitant, existencial, exating, excitting, exiting, exceting, excinting, excinting, excinting, exiting, exiting, excinting, excitiing, excyting, exiting, exiciting, exiting, exiciting, exiting, exiciting, excitin, excitng, excitings, exiting, excinting, excinting, excitting, exctintant, excinting, excinting, excinting, exiciting, excinting]
economist	1	[ecomist]
imitate	1	[imitede]
commentaries	2	[commentarys, comentaries]
landlord's	1	[lordland's]
theatre	7	[teatre, teather, theater, teatre, theare, theather, teather]
involving	3	[envolving, envolving, envolving, envolving]
surveys	2	[suveys, survey's]
beers	2	[bears, bears]
grandpa	4	[grandfa, granpa, granpa, granpa, granpa, granpa]
chess	4	[chees, chass, chass, chass]
chest	1	[chester]
security	7	[secutity, securety, securit, securit, securty, securrity, seccurite]
disease	8	[desease, desease, desease, desease, desease, desease, desease, desease]
recourse	1	[recurse]
while	1	[whyle]
prisoner	2	[prisioner, prisioner]
sight	2	[side, sigh]
skirts	7	[skits, skirtes, skirfs, kirts, skirsts, skiters, kirts]
gorgeous	5	[gorgeus, georgeous, gorgeus, gorgerous, gourgeous]
shoreline	1	[sheroline]
develop	6	[develope, develope, develope, desenvolve, develope, develope]
marketplace	1	[markeplace]
vandalizing	2	[vandalzing, vandalizind]
drug	1	[drog]
answering	1	[anwering]
adapted	1	[adaptated]
therapist	2	[teraphyst, terapist, terapist]
dive	2	[drive, drive]
