Correction	ErrorFrequency	Errors
business	98	[busines, bussines, bussines, bisnes, bussines, bussines, bussines, bussiness, bussines, bussines, bussines, bussines, bussines, bussines, bussines, bussines, bussiness, bussinees, bussines, bussines, bussines, bussines, bussines, bussinnes, bussines, busines, bussines, bussines, bussines, bussines, bussines, businness, bussiness, bussines, bussines, bussines, bussines, bussines, bussines, businees, bussiness, bussiness, bussines, busines, bussines, bussines, bussines, bussines, bussines, bussines, bussines, bussiness, bussinness, bussines, bussines, bussiness, businees, businees, businees, bussines, bussines, bisiness, bussines, buniness, bussines, bussines, bussiness, bussines, busines, bussiness, bussines, bussiness, bussines, busines, bussines, bussiness, bisnes, bussines, busisnes, busisness, bussines, bussines, bussines, bussines, bussines, busines, busuness, bussiness, bussines, bussines, bussiness, bussiness, bussiness, bussines, bussiness, buisness, bussines, bussines, bussines, bussines, bussines, bussines, bussines, bussines, bussines, businees, buisness, busines, bissnes, bussines, busines, bussines, bussines]
completely	1	[completly]
possible	14	[posible, posible, posible, imposibles, posible, posible, posible, posible, posible, posible, posibles, posible, posible, posible, posible]
following	3	[follewing, fallowing, folowing]
tuxedo	1	[suxedo]
especially	6	[specially, specially, specialy, specially, specialy, specialy, specialy]
flute	1	[flaute]
immigration	2	[inmigration, imigration]
concerts	1	[conserts]
incomparable	1	[uncomparable]
colleague	1	[collegue, collegue]
landscaping	1	[lansdcaping]
laboratory	1	[laboratorio]
finished	2	[finishied, fineshed]
mayonnaise	1	[mayonaise]
heavier	6	[havier, havier, havier, havier, havier, havier]
confront	1	[comfront]
main	2	[mian, maine]
hello	15	[hellow, helo, helo, hellow, hellow, hellou, hallo, helo, hellow, hellow, helloooo, hollo, helo, helo, hollo, hellow]
entire	1	[entiere]
advantage	1	[adventage]
which	40	[wich, wich, wich, [[wich, wich, wich, wich, wich, wich, wich, wich, whicch, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, witch, [[wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, got pas after a review in [[wich]
ran	1	[rans]
female	2	[famale, famele]
headache	2	[hedache, hadache]
hotelier	1	[hoteler]
brown	22	[brawn, bronw, bronw, brow, brow, browm, bronw, brow, browm, brow, brow, bronw:, bronw, bronwn, bronw, brow, broun, brouwn, brow, bown, browm, brawn, broun, browm]
fainting	1	[faiting]
suspicious	2	[suspiciuos, suspicius]
rock	1	[rocke]
honey	1	[hony]
help	2	[helpl, healp, healp]
report	1	[repport]
support	3	[suppurt, sopport, suport]
shrimps	2	[shirms, shirimps]
preparation	1	[preparattion]
volleyball	28	[bolley ball, volle ball, volleiball, voleyball, voley ball, volleybool, volleybooll, voleyball, boleyball, voleyball, voley ball, voleyball, voleyball, volei ball, voleyball, voleyball, volleiball, voileyball, voleiball, voleiball, volleiball, voleyball, voleyball, bolleyball, voley ball, voleyball, voleiball, voleyball, volleybol, voleyball, voliball]
menu	1	[munu]
job	12	[jod, jod, jop, dob, jobe, jod, jod, jab, jos, jod, jop, jod]
recommendation	4	[recomendation, recomendation, recomendations, recomendation]
suspense	1	[suspence]
health	7	[healt, healt, healt, helth, healt, helth, healt]
hamburger	2	[hamburguer, hamburguer]
belts	1	[bealts]
sandwiches	9	[sandwishes, sandwches, sandwichs, swandwitchs, sadwiches, sanwiches, sandwichs, sawiches, sanwiches]
suppose	1	[supose]
vacation	10	[vacatones, vacacions, vacatios, vacacion, vacatión, vacasion, vacations, vacations, vacacions, vacacions]
session	1	[sesion]
avenue	1	[ave]
guitarist	1	[guitarrist]
western	2	[westen, wester]
indeed	1	[in deed]
television	1	[televisión]
waiver	2	[weiver, weiver]
technician	2	[tecnician, tecnician]
assistance	2	[assitance, assitance]
explicitly	1	[explictly]
retired	1	[retaired]
thought	16	[[[thougth, tought, tought, though, thougth, tought, tought, thoght, thougth, tought, though, thougth, tought, tought, thoug, thougth]
burglars	1	[buglars]
road	2	[rood, roud]
build	1	[buid, buil]
decision	7	[decission, desicion, decition, desicion, desition, desición, deciscion]
villain	1	[villian]
anonymous	1	[anonimous]
mountains	2	[mounstains, mantains]
volcano	1	[vulcano]
rolling	1	[rollong]
endless	1	[enderless]
rather	1	[[[rathen]
fiction	1	[ficcion]
discriminatory	1	[descriminatory]
squash	2	[squasd, squas]
publicity	1	[publicitary]
mobility	1	[movility]
knockouts	1	[knowout]
construction	5	[construcion, construccion, construccion, costruction, construccion]
water	14	[wather, wather, wather, wather, wather, wathear, wather, wather, wather, watter, wather, wather, wather, whater, wather]
sealing	1	[seling]
vintage	4	[vintange, wintage, unitage, virtage]
marketing	2	[marqueting, marqueting, marqueting, maketing]
enormous	1	[enourmous]
unknown	2	[unknow, unknow]
suggestions	2	[sugestions, sugerencies]
psychologist	12	[psichologist, psicologist, psichologist, psicology, phsicology, psycologist, psicologist, psicologist, psichologist, psicologist, psychologyst, psichologist]
fourth	8	[fouth, fourt, four, fouth, fouth, ofur, fouth, fourt]
sending	1	[sening]
boyfriend	6	[boyfrined, boyfreind, boyfreind, boy friend, boyfirend, boyfrend]
improvement	2	[inprovement, improvment]
alien	1	[allient]
guitar	7	[guitr, gitar, guirtar, guitarr, guitarra, gitar, guitarr, guitarr]
telephone	2	[thelephono, is number [[telefon]
nose	8	[nuse, nouse, nouse, nouse, norse, nouse, nouse, noze]
pencils	10	[pencills, penciles, pencyls, pensils, penciles, pecils, pencís, pencíls, pencíls, pecils]
truly	2	[truthlly, trully]
polite	1	[polit]
apply	3	[aply, aply, applicate]
disappears	1	[desappears]
single	1	[sigle]
hyperactive	1	[hiperactive]
healthily	1	[healthyly]
synthetic	1	[sintetic]
mastered	1	[master]
where	1	[wher]
furniture	5	[forniture, forniture, forniture, forniture, furnitures]
every	5	[evey, ey, evry, avery, avery, svery]
eight	62	[einght, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, einght, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigh, eigth, eignt, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eith, eigth, eigth, eigth, eigth, eigth, eigth, eigth, eigh, eigth, eigth, eigth, eigth]
almost	2	[almos, almots]
sisters	6	[systers, systers, systers, sister's, sisiters, sisthers]
wakes	1	[weaks]
action	1	[accion]
focused	1	[focussed]
number's	1	[namber's]
grandma	2	[granma, grandmom]
younger	3	[youngher, yonger, yugest]
scanner	1	[scaner]
seriously	1	[seriosly]
eye	1	[eyes]
analyst	1	[analist]
occupation	1	[ocupation]
characterized	1	[charactherized]
painted	2	[pinted, pinted]
muscled	1	[mouscle]
contract	1	[countract]
starters	3	[started, started, starten]
clothes	24	[clothers, clothe, clotes, clohtes, boyfriends set up over your [[clouths, clother, for the [[clotches, clother, cloths, clothers, colches, clouth, clouths, cloths, clotes, chothes, cluoths, closthes, chotes, clouses, clouse, clothers, clotes, cloths, clouths, clouths]
here	3	[he, hear, hir]
piercings	1	[pearcing]
exciting	22	[exiting, exiciting, exiting, exiciting, excinting, ecxiting, excinting, exceiting, excitant, exiting, exiting, excitting, exiting, excinting, exiting, exaiting, exiting, exiting, exting, excinting, exiciting, exceiting, exiting]
console	1	[[[cosole]
dress	17	[drees, drees, drees, dres, drees, dresse, drees, drees, dres, drees, drees, drees, drees, drees, dreess, drees, drees, dresse]
apple	1	[apple's]
theatre	6	[theather, teathre, teathre, teathre, teather, teather, teather]
restless	1	[restles]
cathedral	1	[cathidral]
celestial	1	[celestials]
mommy	2	[momy, momy]
chess	2	[chees, chees]
security	1	[secutiry]
requirements	14	[requeriments, requeriments, requeriments, requirments, requeriments, requerements, requeriments, requierements, requirments, requirments, requeriments, requeriments, requeriments, requeriments, recuarements, requeriments]
while	1	[wile]
unfair	1	[unfaire]
curtains	25	[courtains, courtains, courtains, courtains, courtains, courtains, courtins, cortains, cortains, courtains, courtains, courtains, courtains, courtains, courtains, courtains, courtains, cortains, courtains, courtains, courtains, courtains, courtains, cortains, [[courtains]
skirts	2	[skits, skin]
gorgeous	2	[gorgeus, georgeous]
allows	1	[[[allowns]
shoreline	1	[lineshore]
motorcycle	1	[motocycle]
develop	5	[develope, developer, develope, devolep, develope]
major	2	[mayor, mayor]
answering	1	[answerin]
therapist	1	[terapist]
problem	2	[poblem, ploblem]
offer	2	[offert, offert]
instrument	3	[intrument, intrument, instument]
bottle	8	[bootle, buttle, bottler, botle, botttle, botle, bottel, boottle]
daily	2	[dayli, dayly]
entertainment	5	[entertaiment, entretaiment, entreteiment, entretaiment, entertaiment]
grammar	1	[gramar]
evade	1	[evite]
balanced	1	[balace]
schedule	1	[schelude]
anxious	1	[anxiuos]
remedy	7	[remedie, remedie, remedie, remedie, remedie, remedie, remedie, remedie, remedie, remedie, remedie, remedie, remedie]
nutritionist	3	[nutrician, nutricionist, nutricionist]
looked	1	[loocked]
scientific	1	[cientific]
tigers	1	[tiggers]
things	11	[thigs, thinks, thinks, thiengs, thigs, thinks, thinks, thinks, thinks, thinks, tings, thinks]
comprehension	2	[comprenhension, comprenhension, comprension]
evenings	1	[evinings]
overtime	1	[over time]
embarrassing	2	[embarrasing, embarrasing]
forbidden	2	[forbiden, forbiden]
sugar	1	[suggar]
thirteen	17	[twirteen, therteen, therteen, thriteen, thirtheen, thrirteen, therteen, therteen, thyrteen, threteen, therteen, therteen, threeten, tirhteen, thirteeen, therenteen, therteen]
estate	1	[state]
technique	1	[techinique]
feeds	1	[feets]
understand	9	[undertand, understend, undertand, undestand, undertand, understan, undestand, undestand, undestand]
clinic	1	[clicic]
maintain	3	[mantain, mantein, mantain]
everyday	6	[eveyday, every day, eveyday, eveyday, everydays, evreday, every day]
conducted	1	[counducted]
themes	1	[thems]
its	1	[i'ts]
production	4	[prodution, produccion, producion, producction]
temperature	3	[teperature, temparature, tempearature]
practices	1	[practies]
exactly	1	[excatly]
although	3	[altough, althought, althrough]
communicate	7	[comunicate, comunicate, comunicate, comunicate, comunicate, comunucarse, comunicate]
appealing	1	[appalling]
drink	7	[drik, dring, dring, dink, drik, drank, drinnk]
bosses	1	[boses]
it'll	3	[it''l, it''ll, it ''ll]
throat	6	[troath, thoat, troat, troat, troat, thoat, troath]
tattoo	1	[tatoo]
terribly	1	[terrubly]
sour	1	[wour]
laugh	1	[laught]
goodbye	43	[goobay, good bye, good bye, good bye, god bye'¡, good bye, good bye, good bye, goodbay, good bye, good bay, good bay, good bye, good bye, good bye, ok goodbie, good bye, good bye, good bye, good bye, good bye, good bye, good bye, goodby, goodbey, good bye, good by, good bye, good bye, goog bye, good bye, good bye, good bye, good bye, goog bye, good bye, good bye, good bye, good bye, good bye, godbey, good bye, good bye]
suggest	1	[sugget]
soup	2	[soap, soup's]
system	7	[sistem, sistema, sistem, sistem, sistem, sistem, sistem, sistem]
thirty	86	[thirthy, thrity, thrity, thirthy, thiry, thirthy, therty, thirhty, trirty, thirthy, tirthy, trirty, trirty, thrirty, thity, thyrty, thyrty, thidty, thirthy, thery, thirtyn, thiryt, thury, thrirty, thiry, therty, trirty, twirty, twirty, trhirty, theerty, thrirty, thirhy, thirthy, thirthy, tirthy, therty, thity, thrirty, therty, tirthee, thirtyn, thrirty, trirty, tirthy, trirty, tirthy, therty, tirthy, trirthy, tirthy, thrity, thirtty, thirthee, twirty, twirty, thirthy, thirthy, thirthy, trirty, thirthy, thirthy, trirty, thiirty, therty, thery, thrity, tirthy, trirty, trirty, thity, therty, therty, tirty, thirthy, trirthy, thirthy, therty, therty, thirthy, thirthy, thery, thiry, thirthy, tirty, threty, thirthy, therty, thity, thrty, therty, thery, therty, thyrty, threry, therty]
smokers	1	[smockers]
documentary	1	[documental]
cheap	7	[seap, cheaps, chep, cheaps, cheep, sheap, chip]
grandparents	2	[grandparnts, granthparents]
behave	1	[behaive]
tournament	1	[tournoment]
machinery	1	[machinary]
glasses	1	[glases]
fails	1	[feel]
minimum	14	[minimun, minimun, minimun, minimun, minimun, minimun, minimun, minimun, minimun, minimus, minimus, minimun, minimun, minimun, minimun, minimun]
expensive	12	[expensiv, expencive, expansive, spensive, expensives, expensives, expensives, expencive, expencive, expsnesive, expesive, expesive, expnsive]
run	2	[runin, running]
laundry	17	[laudry, laudry, lsaundry, kaundry, laundy, loundry, laudry, loundry, laundri, loundry, loundry, laudry, landry, laudry, loundry, loundry, laudry]
rum	1	[ron]
strike	5	[stricke, stike, strick, stike, sttrike]
inexcusable	1	[unexcusable]
life	1	[live, live]
graduate	3	[gradute, gradute, gradute]
mixes	1	[mixs]
pick	2	[pek, pic]
citizen	1	[citycen]
teacher's	1	[theacher]
artistes	1	[artes]
species	1	[speses]
documents	1	[documenst]
lighthouse	1	[ligthhouse]
learning	10	[learnig, i'm star [[lernin, lear, leanring, lerning, learnig, listeninh, learnig, lerning, lernig]
jail	1	[jale]
young	2	[yong, yong]
medium	1	[mediu]
gynecology	1	[ginecology]
remain	1	[ramain]
thirsty	1	[thirty]
basket	2	[basquet, basquet]
gardening	10	[garening, gardering, gardennisng, gardering, garnening, gardennig, gardenin, gardering, gardering, gradening]
upstairs	1	[upstair]
equally	1	[equaly]
historian	1	[historien]
quickly	4	[quikly, quicly, quicky, fastly]
garden	1	[garderin]
elementary	3	[elemntary, elemtary, elementaty]
world	5	[word, wordl, worlth, worl, wod]
progress	1	[progess]
burger	1	[burguer]
granny	9	[grany, grany, grany, grany, grany, grany, ganny, grany, grammy]
melancholic	1	[melancolic]
cemetery	1	[cementery]
fairy	1	[fairty]
girlfriends	1	[girlsfriends]
escaped	1	[scaped]
you'll	2	[you''ll, you''l]
perform	1	[prerfomance]
must	2	[mus, most]
fairs	1	[afair]
friends	39	[frieneds, frends, frends, friens, freinds, frends, frends, frends, frends, friend''s, frends, frends, frens, frends, frends, frends, freinds, frieds, frends, friendsn, freinds, remember thar came  to eat mi [[fiends, friend's, frieds, frends, friens, firends, friens, frends., firneds, fiends, frieds, frinds, frinds, frends, frieds, freinds, freands, frends, friendas]
practical	1	[plactical]
care	2	[cara, cara]
escapes	1	[scape]
shared	1	[shered]
unhappy	1	[unhapy]
scary	1	[sacry]
orange	8	[ornage, ornage, ornge, ornage, orang, orage, orage, orang]
successes	1	[succees]
mouth	6	[mouht, mounth, mounth, mounth, mouht, mounth]
housewife	2	[house wife, hausewife]
tourism	3	[turism, turismo, turism]
forest	1	[forrest]
youth	1	[yougth]
places	3	[pleces, pleaces, pleaces]
explains	1	[explein]
tourist	2	[turist, turistic]
eggs	1	[egss]
navigation	1	[navegation]
ceiling	1	[cieling]
email	4	[imail, imail, em@il, a-mail]
constitutes	1	[contitutes]
teacher	35	[taecher, techer, teatcher, teatcher, teachear, thecher, teache, tacher, theacher, theacher, theacher, ticher, teacherr, techer, teatcher, theacher, thecher, teachear, tecaher, theacher, teatcher, [[tacher, theacher, theacher, theacher, theatre, teachert, teache, techer, theacher, theacher, theacher, theacher, techer, teache, theacher]
scarf	2	[scarft, sacarf]
early	1	[orly]
song	1	[sonng]
famous	1	[famouse]
walking	4	[whalk, wolking, waking, wolking]
archaeological	3	[archeaologic, archeological, arqueology]
socks	2	[sox, sochs]
romance	1	[romamnce]
swimming	71	[swiming, swiming, swiming, swiming, swinning, swiming, swiming, swiming, swinning, swimmig, swiming, swiming, swiming, swiming, swuiming, swiming, swiming, swimmin, swimmin, swiming, swiming, swmming, swiming, swiming, swuiming, swiming, swiming, swuiming, swiming, swiming, swimmingw, swimm, swiming, swiming, swimmings, swiming, suimming, swiming, swiming, swming, swiming, swiming, swiming, swiming, swiming, swiming, swiming, swiming, swiming, swiming, swiming, swiming, swiming, swiming, weimming, swimmning, swinmming, swumming, swiming, swiming, swimning, swiming, swiming, swiming, swiming, swimmin, swiming, summin, swimiing, swiming, swimmings, swiming, swiming, swiming, swiming, swiming]
teenage	1	[teenegers]
child	2	[chield, clild]
indirect	1	[undirect]
accessory	1	[accesory]
performance	6	[perfomance, perfomance, performances, perfomance, permormance, perfomance]
grateful	3	[gratefull, greatfull, great full]
administrative	1	[adminitrative]
question	2	[cuestion, cuestion]
practised	1	[particied]
unfriendly	1	[unfriedly]
advantages	1	[advantanges]
engrossed	1	[engresed]
forecast	4	[forcast, forescast, forcast, forcast]
strength	3	[stregth, strenght, strenght]
community	4	[comunnity, comunity, comunity, comunity, comunity, comunity]
engineer	62	[enginner, engenieer, engeenier, enginner, enginner, enginering, engenier, ingenieer, engenering, enginier, enginery, ingener, enginner, enginner, enginner, engginier, engennier, enginner, engeneer, [[enginery, engeener, engeneer, engeenir, engeneer, enginner, enginneer, engenie, engeneer, engeener, enginner, enginner, enginneri, enginner, enginer, engenieer, enginner, engeenier, engeneer, engenier, engeniree, enginer, enigineer, enginner, enginner, enginner, ingeneer, ingenier, enginner, enginner, engenier, enginner, engennier, enginner, engennier, enginnering, enginner, engeneer, enginner, enginner, ingennier, engenieer, engenier, engeneer, engeneer, enginner, enginner, enginner]
soon	5	[son, son, sun, sun, son, soo]
appointment	1	[appoinment]
representative	1	[represetative]
catholic	1	[catolic]
seven	2	[sevent, sevent]
charge	1	[cahrge]
effect	1	[efect]
prohibited	1	[prohobited]
sons	6	[songs, sans, soons, soons, soons, son''s, sun]
high	7	[hig, hight, hai, hi, hig, hight, hight]
universities	1	[univertities]
very	12	[verry, vey, ver, verry, verry, ver, verry, verry, veri, veri, ery, verry, ver, verry, veru]
rectangular	1	[rectagular]
sad	2	[said, sat]
everything	18	[everithing, everythings, everythink, everithing, evreting, everthing, every thing, every thing, everthing, everithing, everythig, everithing, everithing, [[everyhing, averything, everithing, everythin, evething, everithing]
towards	1	[towars]
leaves	1	[leafs]
zero	1	[ziro]
guys	2	[gays, gays]
outgoing	1	[outgoin]
apologize	2	[apolognize, apologyze]
teamwork	1	[workteam]
pins	3	[pings, poins, pines]
stock	1	[stok]
accepted	1	[acepted]
can't	7	[cant, cant'n, cant, can''t, can''t, 'cant, cant''s]
hairdresser	1	[herdresser]
thematic	1	[tematic]
trustworthy	1	[trusthworthy]
pink	3	[pinck, pinck, pinkg]
yourself	10	[youself, yourselt, youself, yursell, youself, your'e salfe, yurself, youself, yourselt, yourselt, yuorself]
arrived	6	[arived, arraived, arrive, arrrived, arived, arribed]
industry	6	[industrie, industrie, industrie, indsutry, industrie, industrie]
working	7	[workin, worck, workin, workin, woking, workng, workin]
continuous	3	[continuos, countinuous, continous]
customizing	1	[cusromizing]
singing	1	[signing]
again	4	[againg, egaing, agasin, againt]
church's	1	[churchs]
approached	1	[aproached]
like	12	[ike, like's, laiked, lake, lake, lake, lake, lake, leke, [[ lika, loke, likwe, lake, ike]
teeth	17	[teeht, teet, teeht, teeht, theet, theets, tees, theeth, teeh, theet, teeths, teets, theet, thees, theet, teeh, theeth]
not	4	[no, nor, no, no]
many	4	[meny, meny, may, meny, meny, meny, meny]
nor	1	[not]
happened	6	[happend, happende, wappens, happend, happend, happend]
haven't	3	[have't, have'nt, have't]
now	2	[naw, naw]
start	6	[stard, satrt, star, star, star, star]
combination	1	[convination]
say	1	[soy]
myself	2	[my self, my self]
conclusion	1	[conclution]
saw	1	[sow]
years	66	[yerars, yers, yeras, yeras, yers, year, yeras, yers, year, yaers, year, yaers, yeard, yers, yeras, yaers, yers, yars, yeras, yers, yers, yers, yeard, 7ears, year, year, yers, yaers, year's, yers, yeras, yeras, gears, yaers, yeards, yers, yers, yeas, yeards, yeras, yeras, yeras, yeras, yeras, yers, yers, yaers, yeard, yeard, yeard, yeards, yeards, yeards, yeras, year, yers, ller, yars, yars, yeras, yerds, yers, yers, yers, yaers, yers, yers, yeard, yeard, yers, yeors, yeard, yeasr, yeards, yearls, yeras]
strict	1	[stric]
coordinator	1	[cordinator]
some	7	[soem, somee, somo, come, come, somes, somes, somo]
dance	7	[dancy, dence, dace, danse, dans, danc, dans]
outside	1	[outsite]
firefighter	1	[firefhirter]
translation	1	[traslation]
uncomfortable	9	[unconfortable, unconfortable, uncomfortables, unconfortables, unconfortable, unconfortable, unconfortable, unconfortable, unconfortable]
deplorable	1	[deplorale]
lilies	1	[lillis]
line	2	[lin, laine]
techniques	2	[tecniques, technics]
escape	4	[scape, scape, scape, scape]
watched	1	[[[wached]
attitude	2	[attitud, attitud]
computers	11	[computadoras, comuters, computerts, computeres, computeres, coputers, coputers, computadoras, computeres, compures, compures]
blanket	1	[blancket]
robbery	1	[robe]
words	1	[works]
casual	1	[cassual]
buying	1	[by]
starting	1	[startiing]
mine	2	[miner, mine's]
annually	1	[annualy]
