Word	ErrorFrequency	CorrectFrequency	ErrorProbability
qualifications	3	311	0.009554140127388535
expending	0	6	0.0
massages	0	10	0.0
altering	0	12	0.0
typhoon	0	148	0.0
discount	2	833	0.0023952095808383233
cleats	0	5	0.0
bittersweet	0	1	0.0
relearn	0	1	0.0
help	2	12938	1.545595054095827E-4
flourish	1	25	0.038461538461538464
tipped	0	1	0.0
armed	0	38	0.0
sportsmen	0	4	0.0
polymer	0	3	0.0
thirdly	0	173	0.0
inventors	0	1	0.0
laid	0	24	0.0
surer	0	1	0.0
offends	0	1	0.0
evacuate	0	105	0.0
slaughter	0	1	0.0
debarkation	0	1	0.0
donor	0	3	0.0
billion	0	337	0.0
hell	0	32	0.0
dealt	0	15	0.0
renew	0	20	0.0
case	0	1336	0.0
fair	0	572	0.0
hitchhike	0	1	0.0
gentrification	0	1	0.0
third	4	1514	0.002635046113306983
frames	0	14	0.0
astringent	0	3	0.0
phantom	0	11	0.0
calamities	0	1	0.0
thoroughly	0	31	0.0
nets	0	4	0.0
inventions	0	7	0.0
policed	0	1	0.0
pepperoni	0	2	0.0
ramp	0	2	0.0
slithers	0	1	0.0
responds	0	3	0.0
eventful	0	5	0.0
sampler	0	1	0.0
dank	0	3	0.0
discontents	0	1	0.0
firefighter	1	37	0.02631578947368421
minerals	0	4	0.0
supporters	0	4	0.0
photographing	0	6	0.0
verifiable	0	1	0.0
establishes	0	4	0.0
inventive	0	1	0.0
caterpillar	0	5	0.0
storming	0	3	0.0
flied	0	20	0.0
south	1	672	0.0014858841010401188
yak	0	1	0.0
prevalent	0	1	0.0
lunar	0	2	0.0
wither	0	9	0.0
awfully	0	25	0.0
wooden	0	122	0.0
fellows	0	22	0.0
slipping	0	9	0.0
restorations	0	41	0.0
make	5	17100	2.9231218941829873E-4
chassis	0	1	0.0
entreat	0	1	0.0
untrained	0	1	0.0
burns	0	13	0.0
hunk	0	4	0.0
roofing	0	1	0.0
purity	0	6	0.0
perilous	0	1	0.0
metallurgy	1	4	0.2
nite	0	6	0.0
explode	0	7	0.0
treasury	0	9	0.0
tassels	0	1	0.0
milch	0	1	0.0
soliciting	0	2	0.0
arrives	0	118	0.0
tracing	0	3	0.0
thirties	0	6	0.0
disagreement	0	14	0.0
manikin	0	2	0.0
extend	0	73	0.0
importunate	0	1	0.0
tuck	0	3	0.0
instrumentals	0	3	0.0
stapler	0	2	0.0
temperature	3	786	0.0038022813688212928
rehabilitation	0	10	0.0
damn	0	2	0.0
whimpering	0	2	0.0
travelling	1	505	0.001976284584980237
regretfully	0	1	0.0
freeholder	0	1	0.0
congratulated	0	6	0.0
pathology	0	4	0.0
rarity	0	2	0.0
hangs	0	1	0.0
potentially	1	3	0.25
inflicted	0	1	0.0
seen	0	959	0.0
intend	0	472	0.0
pad	0	8	0.0
bottled	0	90	0.0
youth	1	80	0.012345679012345678
couple	3	1565	0.001913265306122449
brides	0	1	0.0
apply	3	4377	6.849315068493151E-4
iceberg	2	94	0.020833333333333332
networking	1	226	0.004405286343612335
gymnastic	0	11	0.0
psychology	9	137	0.06164383561643835
gizmos	0	5	0.0
regretful	0	5	0.0
exhaust	0	3	0.0
widows	0	4	0.0
computerized	0	1	0.0
training	3	1214	0.0024650780608052587
snowboard	0	15	0.0
jealous	0	51	0.0
burnt	0	24	0.0
sleep	2	1464	0.001364256480218281
drive	0	2027	0.0
rushing	0	9	0.0
grandfathers	0	37	0.0
corona	1	7	0.125
emotionally	0	25	0.0
greenhouse	0	16	0.0
crowbar	0	1	0.0
intrigues	0	1	0.0
drenched	0	2	0.0
consultation	0	12	0.0
peg	0	1	0.0
recital	0	1	0.0
poisoning	0	5	0.0
supervisors	1	7	0.125
assortment	0	8	0.0
foam	0	1	0.0
states	1	424	0.002352941176470588
holder	0	13	0.0
beautician	0	5	0.0
effectively	0	57	0.0
mild	0	33	0.0
indecorous	0	1	0.0
spaceman	0	1	0.0
unfriendliest	0	1	0.0
replace	0	226	0.0
motivates	0	4	0.0
feel	5	4724	0.0010573059843518714
peacefully	0	15	0.0
corners	0	13	0.0
attitude	2	286	0.006944444444444444
moribund	0	1	0.0
backslash	0	1	0.0
pouring	0	4	0.0
motionless	0	4	0.0
accented	0	1	0.0
casts	0	1	0.0
safeguard	0	2	0.0
champions	0	9	0.0
tenderloin	0	2	0.0
ado	0	2	0.0
reals	0	4	0.0
forecasted	0	4	0.0
manageable	0	1	0.0
oysters	0	4	0.0
stature	0	6	0.0
pipelines	0	2	0.0
prescriptions	0	6	0.0
compulsive	0	15	0.0
formulate	0	6	0.0
evoked	0	1	0.0
consultants	0	17	0.0
reputable	0	9	0.0
berths	0	1	0.0
herbivore	0	4	0.0
constructed	0	21	0.0
soups	0	10	0.0
stared	0	48	0.0
deportment	0	3	0.0
sprayer	0	1	0.0
foreigner	0	58	0.0
mathematician	0	8	0.0
actuality	0	7	0.0
improvisations	0	1	0.0
offer	2	1975	0.0010116337885685382
eighth	6	12	0.3333333333333333
waken	0	1	0.0
clime	0	10	0.0
killing	0	42	0.0
actively	0	14	0.0
barks	0	7	0.0
looses	0	6	0.0
impatient	2	208	0.009523809523809525
marquis	0	1	0.0
stunned	0	3	0.0
illness	1	98	0.010101010101010102
gelatine	1	2	0.3333333333333333
triangles	0	1	0.0
coexistence	0	2	0.0
paradigm	0	1	0.0
churning	0	1	0.0
girlhood	0	1	0.0
empower	0	8	0.0
ergonomic	0	63	0.0
cut	0	264	0.0
parentage	0	1	0.0
floras	0	1	0.0
renovating	0	13	0.0
shuffled	0	1	0.0
photographic	0	4	0.0
chanting	0	1	0.0
rearrange	0	8	0.0
barrio	0	1	0.0
preoccupied	0	2	0.0
refinish	0	21	0.0
stately	0	2	0.0
respiratory	0	4	0.0
workhouse	0	9	0.0
illiterates	0	1	0.0
domestic	0	145	0.0
therein	0	1	0.0
lightening	0	3	0.0
gesture	0	23	0.0
busies	0	2	0.0
lately	0	110	0.0
zombies	0	2	0.0
oddly	0	1	0.0
scant	0	2	0.0
transplant	0	3	0.0
billboards	0	10	0.0
card	0	999	0.0
conditioned	0	3	0.0
trickery	0	1	0.0
unhurt	0	2	0.0
deejay	0	3	0.0
noses	0	10	0.0
cinematic	0	3	0.0
enclose	0	38	0.0
faultless	0	1	0.0
birthdays	0	37	0.0
locked	0	69	0.0
corporate	0	123	0.0
spacey	0	7	0.0
foot	0	281	0.0
tolerant	0	12	0.0
hie	0	4	0.0
valued	0	42	0.0
midpoint	0	1	0.0
bodily	0	2	0.0
learns	0	35	0.0
woke	0	406	0.0
cobblestones	0	1	0.0
achieves	0	5	0.0
storm	1	102	0.009708737864077669
activated	0	7	0.0
fullest	0	6	0.0
thermodynamics	0	2	0.0
citizen	1	192	0.0051813471502590676
styled	0	2	0.0
compulsion	0	15	0.0
demoted	0	60	0.0
crash	0	50	0.0
primary	0	493	0.0
solicitude	0	1	0.0
induced	0	1	0.0
graphically	0	2	0.0
chorals	0	1	0.0
leverage	0	4	0.0
shanghai	1	505	0.001976284584980237
reorganizations	0	1	0.0
hide	0	161	0.0
handicaps	0	1	0.0
bathes	0	1	0.0
docks	0	3	0.0
winged	0	3	0.0
sully	0	3	0.0
relives	0	3	0.0
chair	0	679	0.0
reinstatement	0	1	0.0
denouncing	0	3	0.0
neon	0	2	0.0
hardships	0	3	0.0
bullying	0	9	0.0
press	0	110	0.0
redeemer	0	13	0.0
mystic	0	3	0.0
flea	0	7	0.0
stabilized	0	13	0.0
isolated	0	9	0.0
cataract	0	1	0.0
burg	0	6	0.0
roads	0	40	0.0
monarch	0	3	0.0
postbox	0	3	0.0
graduates	0	16	0.0
pursuers	0	1	0.0
towns	0	53	0.0
believer	0	5	0.0
sermon	0	1	0.0
garment	0	20	0.0
peacekeeping	0	1	0.0
vertically	0	2	0.0
disguise	0	10	0.0
reins	0	1	0.0
rarefied	0	1	0.0
recreate	0	1	0.0
planets	0	9	0.0
posters	0	4	0.0
hesitated	0	10	0.0
sittings	0	1	0.0
sped	0	2	0.0
observatory	0	6	0.0
saddest	0	4	0.0
ass	0	16	0.0
sinking	0	33	0.0
embarked	0	6	0.0
ingredients	3	327	0.00909090909090909
stuttering	0	2	0.0
beans	3	299	0.009933774834437087
rodeos	0	2	0.0
sweaters	8	319	0.024464831804281346
bureaucracy	0	7	0.0
former	0	119	0.0
gesticulating	0	1	0.0
aspiration	0	7	0.0
endangered	0	91	0.0
audits	0	16	0.0
dyslexia	0	1	0.0
searchers	0	1	0.0
coworkers	2	113	0.017391304347826087
fancy	0	58	0.0
transform	0	31	0.0
gorges	0	2	0.0
bossy	0	21	0.0
guesses	0	7	0.0
jobless	0	52	0.0
cables	0	5	0.0
intercourse	0	6	0.0
penis	0	1	0.0
timeless	0	33	0.0
nationalities	1	13	0.07142857142857142
skyscraper	0	5	0.0
wherein	0	2	0.0
halfway	0	7	0.0
faculty	0	75	0.0
perk	0	3	0.0
unnecessarily	0	3	0.0
advisable	0	11	0.0
featuring	0	8	0.0
ambition	0	33	0.0
name	19	33275	5.706733946056347E-4
ant	0	78	0.0
nearby	2	124	0.015873015873015872
thrive	0	4	0.0
abortion	0	2	0.0
mammals	1	11	0.08333333333333333
cases	0	370	0.0
coping	0	7	0.0
clockwise	0	4	0.0
bankrupt	0	8	0.0
sunset	0	87	0.0
syntax	0	3	0.0
responding	0	18	0.0
skin	0	249	0.0
uttered	0	1	0.0
planetarium	0	3	0.0
unimportant	0	10	0.0
penny	0	13	0.0
sober	0	12	0.0
renovated	0	196	0.0
saree	0	2	0.0
fulfillment	0	8	0.0
vault	0	3	0.0
patriots	0	1	0.0
interpose	0	1	0.0
atlas	0	7	0.0
theme	0	134	0.0
activation	0	2	0.0
riding	0	598	0.0
flanked	0	1	0.0
sourcing	0	7	0.0
turmoil	0	1	0.0
guarantied	0	1	0.0
shrieking	0	1	0.0
tellers	0	1	0.0
rethought	0	1	0.0
canines	0	1	0.0
breaches	0	2	0.0
included	1	427	0.002336448598130841
containers	1	7	0.125
meal	0	1284	0.0
engendering	0	1	0.0
kilos	0	9	0.0
unseen	0	2	0.0
braver	0	16	0.0
empowerment	0	1	0.0
millionaire	0	28	0.0
urbanization	0	8	0.0
acts	0	68	0.0
averts	0	3	0.0
fragmentation	0	13	0.0
tabby	0	16	0.0
saki	0	2	0.0
deliciously	0	3	0.0
advisor	0	30	0.0
eating	2	2618	7.633587786259542E-4
meticulous	0	14	0.0
weeks	2	1168	0.0017094017094017094
different	97	3750	0.025214452820379516
overcooking	0	9	0.0
focuses	0	17	0.0
wronged	0	6	0.0
royalty	0	4	0.0
littered	0	1	0.0
engaged	0	171	0.0
roasted	0	55	0.0
toms	0	6	0.0
ovoid	0	1	0.0
highest	2	272	0.0072992700729927005
hurdle	0	2	0.0
regulars	0	5	0.0
elf	0	3	0.0
extermination	0	1	0.0
tubes	0	7	0.0
campaigned	0	1	0.0
sieve	0	2	0.0
baptisms	0	1	0.0
forehand	0	2	0.0
quieter	0	11	0.0
labs	0	8	0.0
bullheaded	0	1	0.0
stow	0	2	0.0
tenacity	0	2	0.0
porters	0	1	0.0
ladders	0	4	0.0
grower	0	1	0.0
resistance	0	15	0.0
considering	0	229	0.0
inaccurate	0	1	0.0
preventive	0	6	0.0
newsletters	0	2	0.0
assuring	0	2	0.0
figures	1	1308	7.639419404125286E-4
abundantly	0	3	0.0
piercing	0	8	0.0
spaniel	0	1	0.0
cope	0	89	0.0
frisk	0	2	0.0
mopes	0	1	0.0
terribly	1	478	0.0020876826722338203
adaptable	0	7	0.0
median	0	6	0.0
macaws	0	4	0.0
yourself	10	2622	0.003799392097264438
initialized	0	1	0.0
moth	0	29	0.0
jerkin	0	2	0.0
clutch	0	1	0.0
staphylococcus	0	1	0.0
wounded	0	13	0.0
capacious	0	3	0.0
pizzas	0	32	0.0
psychotic	0	1	0.0
rating	1	56	0.017543859649122806
seminaries	0	1	0.0
champ	0	2	0.0
connects	0	5	0.0
consequence	0	30	0.0
conserve	0	5	0.0
did	2	11650	1.7164435290078958E-4
whimsy	0	1	0.0
screen	0	181	0.0
gambler	0	3	0.0
trike	0	1	0.0
pedantic	0	1	0.0
ins	0	10	0.0
inopportune	0	2	0.0
bonnet	0	5	0.0
nerdy	0	1	0.0
unite	0	17	0.0
frenetic	0	4	0.0
reminds	0	41	0.0
postponement	0	1	0.0
unintelligent	0	2	0.0
hardest	0	18	0.0
emoted	0	1	0.0
occupies	0	9	0.0
occupy	0	32	0.0
exported	0	3	0.0
ashore	0	4	0.0
attitudes	0	253	0.0
informally	0	2	0.0
skill	0	463	0.0
misters	0	1	0.0
shortfall	0	1	0.0
sprinkling	0	1	0.0
compensates	0	2	0.0
shapes	0	13	0.0
compilers	0	1	0.0
founder	0	32	0.0
thermostat	0	1	0.0
labors	0	3	0.0
reunited	0	6	0.0
criticize	0	11	0.0
eel	0	5	0.0
specs	0	3	0.0
leaped	0	4	0.0
tortilla	0	5	0.0
shoeshines	0	1	0.0
reverend	0	2	0.0
arrogant	0	15	0.0
bunks	0	1	0.0
drainage	0	1	0.0
beeped	0	1	0.0
fixes	1	5	0.16666666666666666
bitterness	0	1	0.0
scribe	0	2	0.0
drivings	0	2	0.0
retraction	0	1	0.0
category	0	49	0.0
bunches	1	5	0.16666666666666666
animating	0	1	0.0
deaf	0	10	0.0
contention	0	2	0.0
blackmail	0	2	0.0
frontier	0	3	0.0
memorization	0	3	0.0
spiteful	0	2	0.0
emir	0	5	0.0
consider	5	1668	0.002988643156007173
interfaces	0	4	0.0
outlining	1	29	0.03333333333333333
joys	0	2	0.0
plaques	0	1	0.0
tidy	2	941	0.0021208907741251328
casualty	0	2	0.0
furthermore	0	636	0.0
opportunity	28	2064	0.01338432122370937
evidenced	0	1	0.0
revelation	0	7	0.0
ceremonious	0	1	0.0
pretty	6	986	0.006048387096774193
haste	0	5	0.0
define	0	99	0.0
banal	0	4	0.0
publishing	0	43	0.0
fearful	0	12	0.0
inlaid	0	5	0.0
rejoice	0	5	0.0
embody	0	6	0.0
protein	0	4	0.0
theatres	1	13	0.07142857142857142
tuxedos	0	1	0.0
cherish	0	10	0.0
shirk	0	2	0.0
braking	0	6	0.0
prepared	4	586	0.006779661016949152
inversions	0	1	0.0
husbandry	0	1	0.0
prosecutor	0	25	0.0
humming	0	1	0.0
engage	0	36	0.0
fashioned	2	236	0.008403361344537815
offender	0	9	0.0
spoiled	0	21	0.0
sever	0	9	0.0
stint	0	2	0.0
electric	0	203	0.0
gulf	0	16	0.0
thrower	0	6	0.0
ticketing	0	4	0.0
bruise	0	5	0.0
defrosting	0	1	0.0
huff	0	1	0.0
orthodox	0	4	0.0
darling	0	137	0.0
prepositions	0	6	0.0
pubic	0	5	0.0
immunity	0	14	0.0
configuration	0	10	0.0
edgy	0	2	0.0
timed	0	3	0.0
forceful	0	3	0.0
soda	0	194	0.0
repeat	0	92	0.0
ford	0	28	0.0
curvy	0	2	0.0
irrelevant	0	4	0.0
polite	1	423	0.0023584905660377358
row	0	563	0.0
classes	4	468	0.00847457627118644
disease	0	105	0.0
wriggle	0	1	0.0
reckon	1	10	0.09090909090909091
machination	0	1	0.0
international	5	1768	0.0028200789622109417
menace	0	4	0.0
immigration	2	29	0.06451612903225806
community	4	277	0.014234875444839857
impolite	3	624	0.004784688995215311
differentiates	0	2	0.0
phlegm	0	1	0.0
instructions	6	815	0.007308160779537149
flashlight	6	434	0.013636363636363636
finalist	0	1	0.0
morphology	0	1	0.0
cornflakes	0	4	0.0
curative	0	1	0.0
prior	0	30	0.0
forgiving	0	1	0.0
blink	0	7	0.0
hospitals	0	69	0.0
mightily	0	1	0.0
recollected	0	1	0.0
inattentive	0	3	0.0
slap	0	2	0.0
cacao	0	1	0.0
diplomatic	0	9	0.0
scorpions	0	12	0.0
encompass	0	1	0.0
savages	0	3	0.0
terrifying	1	296	0.003367003367003367
puree	0	1	0.0
readable	0	1	0.0
girlfriend	8	1282	0.006201550387596899
length	2	159	0.012422360248447204
evolves	0	1	0.0
semen	0	6	0.0
vast	0	37	0.0
sharpen	0	3	0.0
kingdom	0	77	0.0
encountered	0	25	0.0
charger	0	1	0.0
bible	0	65	0.0
sat	0	107	0.0
squids	0	3	0.0
waterproof	0	391	0.0
pronounced	0	11	0.0
mnemonics	0	21	0.0
lax	0	3	0.0
spokesman	0	2	0.0
having	4	4307	9.278589654372535E-4
flaws	0	15	0.0
parakeet	0	1	0.0
bases	0	51	0.0
staffers	0	1	0.0
descriptions	0	21	0.0
antipathetic	0	1	0.0
affiliates	0	3	0.0
granulated	0	1	0.0
vie	0	5	0.0
guilty	0	107	0.0
sweater	70	3121	0.021936696960200563
optometry	0	1	0.0
midwifery	0	2	0.0
yahoo	0	4	0.0
hearings	0	1	0.0
addresses	0	14	0.0
urbanizing	0	1	0.0
felony	0	1	0.0
island	1	838	0.0011918951132300357
ashtray	0	3	0.0
contributed	0	14	0.0
forehead	0	10	0.0
lake	0	302	0.0
dares	0	4	0.0
iron	0	191	0.0
explanation	0	83	0.0
obsessive	0	3	0.0
arrogantly	0	1	0.0
ethical	0	5	0.0
unreasonably	0	1	0.0
gob	0	8	0.0
celebrates	0	4	0.0
shaded	0	1	0.0
cello	0	16	0.0
debris	0	102	0.0
drowned	1	14	0.06666666666666667
incorporation	0	1	0.0
nuggets	0	1	0.0
modeled	0	1	0.0
firms	0	28	0.0
ownership	0	6	0.0
electrify	0	2	0.0
avocados	0	2	0.0
path	0	487	0.0
disc	0	29	0.0
rejoined	0	1	0.0
noisiest	0	1	0.0
grooming	0	2	0.0
fifteen	16	4354	0.0036613272311212816
ream	0	1	0.0
depresses	0	1	0.0
seeding	0	1	0.0
robbery	1	43	0.022727272727272728
mechanic	1	107	0.009259259259259259
computer	3	7003	4.2820439623180134E-4
moneybags	0	1	0.0
calories	0	12	0.0
customers	6	1153	0.005176876617773943
xenophobia	0	1	0.0
toot	0	4	0.0
huge	0	426	0.0
fact	0	1474	0.0
counts	0	38	0.0
chevron	0	2	0.0
framework	0	6	0.0
reprogram	0	1	0.0
sculpture	0	12	0.0
marmalade	0	2	0.0
gamekeeper	0	1	0.0
decency	0	1	0.0
ribbon	0	6	0.0
flavor	1	60	0.01639344262295082
annihilated	0	1	0.0
mooning	0	3	0.0
cobblestone	0	2	0.0
haired	0	3	0.0
flagship	0	1	0.0
unreachable	0	1	0.0
flossing	0	31	0.0
deepening	0	1	0.0
puffin	0	4	0.0
maturity	0	11	0.0
lamentably	0	1	0.0
restriction	0	10	0.0
readiness	0	11	0.0
pinned	0	2	0.0
clockwork	0	4	0.0
denies	0	4	0.0
monarchy	0	3	0.0
preconditions	0	1	0.0
delegate	0	14	0.0
chipping	0	1	0.0
workaday	0	1	0.0
cubs	0	7	0.0
toxins	0	1	0.0
clam	0	8	0.0
philosopher	0	8	0.0
ranks	0	9	0.0
impacting	0	2	0.0
forecasters	0	1	0.0
custom	0	90	0.0
preservation	0	31	0.0
personalized	0	13	0.0
composing	0	5	0.0
unintentional	0	2	0.0
boxer	0	7	0.0
overtime	1	609	0.001639344262295082
philosophers	0	2	0.0
pedigree	0	1	0.0
coolers	0	1	0.0
soul	0	90	0.0
internal	0	141	0.0
reduction	0	30	0.0
sorrows	0	4	0.0
virgin	0	11	0.0
enlightening	0	2	0.0
immaterial	0	1	0.0
stated	0	86	0.0
revolutions	0	1	0.0
snowdrift	0	1	0.0
bras	0	6	0.0
son	7	6613	0.0010574018126888218
eyelids	0	2	0.0
stating	0	13	0.0
deserted	0	9	0.0
assumptions	0	3	0.0
convicted	0	3	0.0
bloodstained	0	1	0.0
specializations	0	5	0.0
called	2	5287	3.781433163168841E-4
dogging	0	1	0.0
denominator	0	1	0.0
mahogany	0	7	0.0
multilingual	0	2	0.0
annual	1	148	0.006711409395973154
thirsty	1	28	0.034482758620689655
advertisements	0	76	0.0
unfairness	0	1	0.0
hospitality	0	24	0.0
critique	0	2	0.0
gossipy	0	6	0.0
swum	0	4	0.0
flour	0	29	0.0
ogres	0	1	0.0
tones	0	13	0.0
footprint	0	6	0.0
enterprises	3	360	0.008264462809917356
berth	0	7	0.0
multimillionaire	0	1	0.0
contented	0	8	0.0
wangle	0	3	0.0
singe	0	8	0.0
persists	0	4	0.0
preferably	2	66	0.029411764705882353
rending	0	1	0.0
pendant	0	5	0.0
elixir	0	3	0.0
stills	0	4	0.0
scrub	0	3	0.0
licensee	0	1	0.0
hates	0	238	0.0
metering	0	1	0.0
master	0	687	0.0
tier	0	4	0.0
stool	0	3	0.0
overwhelming	0	6	0.0
suffocated	0	3	0.0
anesthesiologist	0	2	0.0
shutting	0	2	0.0
dieting	0	1	0.0
psychoanalyst	0	2	0.0
gal	0	2	0.0
wasted	0	59	0.0
diminishing	0	1	0.0
series	0	138	0.0
lark	0	1	0.0
chat	1	166	0.005988023952095809
rescheduled	0	3	0.0
headings	0	13	0.0
instrumental	0	18	0.0
haven	0	142	0.0
guiltiness	0	1	0.0
more	2	21062	9.494872768704899E-5
dart	0	2	0.0
masterpieces	0	5	0.0
foreseen	0	3	0.0
zebras	0	4	0.0
particulars	0	2	0.0
testes	0	1	0.0
hydroelectric	0	6	0.0
decades	0	28	0.0
sharp	0	164	0.0
cramp	0	2	0.0
episode	0	24	0.0
analogs	0	1	0.0
maneuvers	0	1	0.0
dispersed	0	1	0.0
commence	0	1	0.0
purposes	0	52	0.0
wanted	1	1252	7.980845969672786E-4
genuine	0	82	0.0
report	1	1032	9.68054211035818E-4
penultimate	0	3	0.0
niggling	0	1	0.0
surplus	0	3	0.0
trader	0	18	0.0
unsuspecting	0	1	0.0
landmarks	0	5	0.0
gondolier	0	1	0.0
brewery	0	4	0.0
controllers	0	3	0.0
jeopardize	0	2	0.0
injuries	0	78	0.0
nirvana	0	3	0.0
josh	0	991	0.0
eschew	0	1	0.0
burglary	0	12	0.0
faced	0	100	0.0
offices	0	342	0.0
revel	0	3	0.0
rising	0	124	0.0
overextended	0	3	0.0
orphanage	0	16	0.0
supplier	0	72	0.0
conditioning	2	45	0.0425531914893617
abnormally	0	3	0.0
