ori_sentiment,tweet_text
happy,"Excellent exhibition at on Napoleonic era caricature/prints, well worth a look"
nocode,"i am at in London, Greater London"
nocode,In the Mesoamerican gallery at Lord Shield Jaguar &amp; Lady Xoc of Yaxochilan summon spirits.
not-relevant,today shortest day down under-winter solstice *waves*
happy,we love the badge! Here she is visiting Peel Park in 1851
nocode,#artcubed students day #stockleyart #proudteacher
nocode,Remember #Waterloo satiric prints show or explore #IFPDA
happy,This de Hooch 'Courtyard of a House in Delft' us quite simply my favorite painting in Thanks for placing it center stage.
nocode,Termas: Underwater Throne photos taken by Ian Kingsnorth of my recent performance
nocode,* It looks like there is some #ArtisticLicence involved in that sketch of #SummerSolstice #sunrise at #Stonehenge.
nocode,"new exhibition Famous 5 btw, #7sTurns10"
not-relevant,actually the longest day this year will be June 30th when the next leap second will be added at 23:59:60
happy,A grant helped us acquire 'Whistlejacket' in 1997. Learn more: via
not-relevant,London London London
happy,it is amazing! you are always so up to date! The best museum in the world! Thanks!
nocode,#indigenousAustralia moving exh about effect of colonisation &amp; documents the peoples' fight for rights to their 'country'.
nocode,Have you seen the #sand in the #paint? The #Beach at #Trouville 1870 by Claude #Monet
happy,Yum! 😀
nocode,{ } #Korea #China #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics
happy,Of course! Nothing more and nothing less than the eye of Horus! Greetings!
nocode,"u did not respond to my compliments,earlier?"
nocode,for the peninsula wars and the 1st defeat of Napolean.
happy,well deserved. Congrats!
happy,loved the exhibition today! My mum especially loved it! X
happy,task 40821 of Foreign Weapons before starting my real job for the day happy Monday!
not-relevant,All vital and profitable national institutions. Don't let the #Tories sell them off
nocode,User testing and 3D printing
nocode,lenin is favourite painter
happy,I got 10/10 in 'Can you guess the artwork?' #arthistorydegree #wellworthit
nocode,And Rubens' Massacre of the Innocents
nocode,one of the most delicious coffee is ever before tackling the Greek exhibition
not-relevant,#AskTheGallery How much did spend on employing CIS to staff the Rembrandt Exhibition and the Sainsbury Wing?
nocode,This is how a show should be hung. Don't miss Christopher Williams' The Production Line of Happiness
happy,A young friend has drawn us a great pic of inside and out with his new pencil #CastleHill15
disgust|angry,: Culture? Funded by the P.R. budget? DO ME A FAVOUR. I would not go there if you paid me.
nocode,got a painting in London Open at and couple of paintings in Reality at both open mid July
nocode,Artist Larissa Sansour discusses the use of sci-fi in her films 27 June with
angry,#AskTheGallery When will you be re-instating Candy Udwin? Why should the arts be subject to private profit?
happy,Patients of Sharp Ward are enjoying historic views of the city thanks to
nocode,"Rosetta Stone "" . example of what the Napoleonic Wars brought out of Egypt #Waterloo200"
happy,It is also a privilege to have the great in London it is truly wonderful #arttherapy
disgust|angry,Are you encouraging them to violate men is privacy? Assault! This woman is advocating assault!
nocode,The bird cage to represent infancy. The instrument to represent youth . The Armour to represent strength and manhood
happy,Fantastic to be in London today speaking event. Met lovely people from &amp;
not-relevant,"it is a bright but cloudy day. If the sun is behind a cloud, there would not be a lot of shadow, maybe?"
nocode,open source Events CMS could this be what needs? #culturegeek
angry,#askthegallery What do you take more pride in: Hanging classic artwork or hanging your staff out to dry?
not-relevant,"The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland"
nocode,"""Crisis Through the Ages"" topic of our one-day conference. Booking is free but mandatory. Thx!"
happy,"Excited for discussions on the potential, practicalities &amp;challenges of museum archival research #museumarchive event in July"
happy,Thanks to Lucy &amp; co. New Rhythms Through New Eyes going up in the Education studio in prep for Saturday!
happy,Wonderful book from trip to the today. Such a fun way to improve on geography knowledge! #maps
nocode,"i am at in London, Greater London"
happy,In London a beautiful Vermeer #inarttours #masterpieces
disgust,. ignores questions on sponsorship fees received from Shell. No surprises. #Artwash
nocode,CEO N Chandra welcomed 450 guests to the TCS UK reception which featured 400 yrs of #shakespeare magic
happy,"at the #SoFAA dinner listening to the wonderful main speaker, Tim Knox of"
angry,Fantastic standing up for workers #noprivatisation while sits on fence!
happy,Enjoyed a couple of hours in side the British Museum lonelyplanet #summer #NotSoSunny…
happy,"you have incredibly helpful staff here, from security team to support staff in rooms and galleries! #greatservice"
happy,Amazing job team 2 in the bag. Massive thanks to Happy #Waterloo200 peeps!
nocode,. can you attend adjournment debate tomorrow #noprivatisation #reinstatecandy
nocode,/ Exeter Redcoats ready for the coming to pic
nocode,"After his defeat at Waterloo, Napoleon abdicated for the second time via"
nocode,. Art Prize winner Corin Sworn creates a new large-scale installation
happy,"6 years ago today, the greatest museum opened: the #acropolismuseum. #givethemback #elginmarbles #greece"
nocode,Spartan! Do you suppose some knew when to pose?
nocode,BEATRICE GIBSON will present her new film THIS SATURDAY Book now:
happy,Had an excellent lunchtime visit to with this afternoon for the #DefiningBeauty exhibition.
happy,The perfect location to wear #VanessaGounden ... The Great Court #WearableART #Artivism
happy,whole trip free!
nocode,. Reinstate Candy after tribunal success #AskTheGallery
nocode,what is the scope of getting some of the art and ideally complete exhibitions outside London? NW maybe #AskTheGallery
happy,"...and have the Sutton Hoo Anglo-Saxon hoard, including the iconic helmet. Striking up close."
happy,Looking forward to seeing the Australia exhibition at soon. My take on the Ancient Greece exhibit:
not-relevant,that or piss
nocode,Evidence ? correct Christopher Wood and correct time frame ?
not-relevant,#job Development Officer in #Exeter closing date 10 July #museumjobs
happy,Work experience was great
nocode,i am curious to know what is the story behind this unsettling display?
nocode,Frans Hals; We replaced the heavy 70s pastiche with a Dutch 17th century rosewood moulding frame.
happy,Thanks to Tom for helping me study Bronze Age metalwork this week for my #phd. Read about my visit here:
nocode,"My ToI Q&amp;A: W/writer,filmmaker &amp; first woman head of on 'The Improbability of Love':"
not-relevant,the trail has disappeared from that linked page.
nocode,Henry VIII crowned king #onthisday 1509.19th-century portrait after Holbein
happy,"have not seen the garden yet but will soon. i am a fan, that is what I am!! Rhyme of the day"
happy,Visitors like 3D weather. Millionth visitor today!
nocode,Get in the mood for #Pollock &amp; make some Jazzy Drips with the family
nocode,Ancient lives new discoveries
happy|surprise,The most erotic painting in The No! not the Bronzino!-- but--'Leda &amp; the Swan' after Michealangleo
nocode,Apart from the obvious skull? No idea!
sad,"Oh dear, why not Dame Laura Knight? Surely 'The Beach' should be in this list!"
nocode,
nocode,Following on from the uk is newest royal baby posts painting of original Queen Charlotte:
happy,"Ooh, this looks good Jackson Pollock exhibition opens 30th June"
happy,Nothing to do with football this one... its just a tiny bit exciting #Pollock
nocode,TY / M Also follow 2017 Abstract Film Program
happy,#ILoveMuseums as they provide fantastic opportunities to #ExploreYourSubject as a prospective applicant for #university!
nocode,Castle Hill Open Day –
happy,Fantastic performance by Kerry Yong after film as part of evnt on Sat
nocode,Wasn't that the Grand Old Duke of York?
nocode,smooch!
nocode,#ARTiculation speakers are presenting with
happy,"i will be talking about The Greeks in Southern Italy at tomorrow, Rm 73, 1.15pm. Happy memories of #Gravina #archaeology"
happy,One of my favourite artefacts from one of my favourite museums !
happy,HAPPY BIRTHDAY TO MY MAIN MAN sorry 400 YEARS YOUNG TODAY in his great selfie from !
happy,Lovely choice!
happy,"Jackson pollock and Glenn Ligon opening tomorrow at great combo, both beautiful #NotToBeMissed"
nocode,
happy,Its Best thing about photography I guess :
nocode,""" Ancient Egyptians placed amulets onto mummies to harness supernatural powers They have this eye everywhere."
happy,Good to see you yesterday &amp; all the work in progress The is coming together
happy,Looking forward to the #GlennLigon talk at this afternoon :-
happy,Well worth catching before it ends early July #DefiningBeauty
nocode,Come to c it staying with &amp; choose to go on #dazzleferry
happy,"Tomorrow i will have a London #art day, starting , then and afterwards the . A strong dose of art! :-"
nocode,Did Napoleon have to have bandages on his haemorrhoids changed during the battle? Or just a myth? #Waterloo200
happy,"Magnificent, would love to learn more about this hand"
nocode,"Get your child is creative juices flowing at 'Imagination Station Special: Paper Picnic Time', tom areow at 10.30-12, FREE!"
happy,"""A great modern British institution"" great piece from the on the fantastic :"
nocode,"Tomorrow: Gallery children is Commission goes on display, featuring work by Brazilian artist Rivane Neuenschwander"
happy|surprise,gives me the shivers every time I see this #aweinspiring
happy,"A peachy morning at the excellent ""Defining Beauty"" exhibition"
nocode,"May there be Peace in the North. South. East &amp; West. May there be Peace throughout the world. Druid summer solstice, AH Rite"
happy,One of my 5 favourite places for contemporary art ! Great discovery today ! #artinlondon #gallery
happy,Buzzing on WINGIT #LDN RT it is wine o'clock at the National Cafe with oliverpeyton tonight half price...
happy,Great night in Cambridge with the Zugubal dancers from the Torres Strait!
happy,Thank you. Have a lovely weekend x
happy,Liking 's use of Instagram to show behind the scenes &amp; things visitors might miss on a visit. #InstaMuseum
nocode,We made a virtual for our games art students work
happy,Off for a meet about some really exciting stuff for #exeter grey day will be #beautiful #breakfastofkings
happy,I love Museums because they remind us that others before found a way to survive and also Periwigs are great:
happy,#Cambridge will not be the same for my next visits but I look forward to the results!
nocode,"The monumental 'Italian Woman' is by Corot, although he was best known as a landscape pai... via"
nocode,#cfp #conference 'negotiating art. dealers and museums' #london april 2016:
happy,Hidden watercolour treasures go on display at
surprise,turquoise eyes!!!
happy|sad,saw Indigenous Australia exhibition superbly presented but with harrowing vision of colonisation
nocode,Weekend of last chances feat. Modern Heroism: Printmaking and the legacy of Napoleon &amp; Richard Billingham #art
angry,this seems quite clear in the copy. Unfair to take that one word &amp; apply to entire thing.
nocode,why did Napoleon keep using columns against British line? #Waterloo200
not-relevant,#ff
nocode,"Don't miss Material Histories seminar, inc. #Linder &amp; Dawn Ades in conversation"
nocode,Would this be of interest ?
happy,"#IndigenousAustralia at is beautiful, enlightening and thought-provoking. Well worth a visit!"
nocode,"ta, the release we were sent was not clear, but will amend that now"
sad,The place is subtle dance piece performed with AgeUK Defining Beauty exhibition did not really work; bring back the bacchantes?
nocode,PICTURES: #EnidBlyton #exhibition in #Plymouth #Museum | via #devon
nocode,One of Ch. shivaji is original portrait is housed in #MarathiLondon
happy,Ooo we bet this was good #presentfilms
nocode,In London? Missing Cleveland? Then get thee to the for this elite show:
not-relevant,"PPL of CAMBRIDGE/PETERBOROUGH!! Final casting week, do not be shy! Filming July 13th-17th. E claire.gellard RT"
nocode,THE TWEETETTES TIMES is out! Stories via
nocode,"Now Showing: Images Moving Out Onto Space, work from eight artists spanning 50 years"
nocode,"#NG365 Willem duyster is ""Soldiers Fighting Over Booty in a Barn"" c.1623-24 #art"
nocode,A lot of the scholarly establishment will dismiss these as modern ideas inapplicable to the material &gt;
happy,Jackson Pollock press view and some lovely themed spattered cupcakes
happy,"Books, films, Greeks, coffee, curry. Perfect Saturday with"
happy,"Had a brilliantbut tiringtrip to the with Nebula class today,very well behaved great ambassadors for the school"
disgust|angry,Excellent point. Just add the lack of decent medical services and suspect water supplies and the present is fine
nocode,#AskTheGallery Nicholas Penny pls reinstate Candy Unwin who a judge confirmed was sacked for Trade Union activism
nocode,Turner at
nocode,in #Cambridge today? check out Castle Hill Open Day #CastleHill15
happy,Lovely afternoon at the amazing! Thank you for keeping our museums free.
happy,What a great idea THANK YOU Liverpool such a great City with amazing History which I study
happy,Well deserved. Congratulations.
nocode,"I would say this, but you should come and see Christopher Williams before it closes on Sunday."
happy,Spending my Sunday morning roaming the Indigenous Australia exhibition : at
nocode,How is this a mystery when the tweet identifies them as 'ancient Greek bronze greaves from 500 BC'? Genuinely confused...
not-relevant,"Thing to do in London today? Take action to end scam, lie of austerity. #endausteritynow"
nocode,"A glimpse into #tiepolo is inner world: MERCHANTS OF LIGHT, a new historical novel by Marta Maretich."
nocode,"Beatrice Gibson, Sarah Turner &amp; Larissa Sansour present materials that inspire their work Bk now!"
happy,Hadrian! we are off to visit his wall next! w/ &amp; zada_beda thanks to…
nocode,At the looking at the picture by Matan Ben Cnaan. Winner of this year is BP competition
happy,""" Such a good painting"
happy,thanks Diane your presence &amp; contribution very much appreciated by strikers ;-
happy,"So me and went to the Defining Beauty exhibition at the yesterday, and I thought i would tweet some musings."
nocode,"was not that Nap III Paris, I mean?"
happy,Ahah! The place where I spent my Saturdays and Sundays out of my Wokhingham school and made cards....
nocode,Last week of Defining Beauty
not-relevant,Don't forget our AS &amp; A' Level 'Subject Tasters Week' coming this September across Book your FREE place today 01223 332904
nocode,Do you have a burning question for Director Nicholas Penny? now is your chance to ask! #AskTheGallery
nocode,#FathiHassan #theOffering 2007 #photograph #photography #photographycollection…
happy,Gorgeous
nocode,He looks thrilled.
happy,Thank You :-
nocode,"""Every good painter paints what he is."" Jackson #Pollock coming soon"
happy,Completed my week is dose of Ancient Greece 2night at #DefiningBeauty expo. Quite a spectacle and not busy. Worth seeing.
nocode,Tonight 24/06 6.30pm discussion on collage in contemporary art with for our #BrooklynVsLondon exhibition.
happy,#privateview opening of the new Baroque galleries amazing
nocode,Contemporary ad after Christopher Williams.
nocode,i am in. Who do I send my cv to?
nocode,"C'mon, that could be anybody."
happy,"Have you heard about Soundscapes? Hint: it is about paintings, DJs, museums, the &amp; it is pretty cool."
nocode,can u fit in 140characters y learning abt #Waterloo200 is significant? Taken out of curriculum in NJ &amp; i would like that changed!
nocode,Wimbledon starts to today any one for tennis.
disgust|angry,or here .An in house solution proposed to meet flexibility needs. Come on it is time to TALK.
nocode,Listened to Germany: Memories of a Nation podcasts from Many show efforts to grapple with brutal history.
nocode,'He broke it. He broke the lute'
happy,Looking forward to Age Friendly Museums Network tomorrow presenting on &amp; partnership
nocode,"i am at in London, Greater London"
nocode,{ } #Napoleon #China #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics
nocode,Superstition &amp; religion: 4-leafed clover encloses 'T' for Thomas Becket. #pilgrimbadges
nocode,#Win tickets to Jackson #Pollock: Blind Spots at 5 pairs to #giveaway #art #Liverpool #comp
nocode,
happy,"thank you for the RT, following you back, great to see the panelists in action at #DefeatingDepression"
nocode,Checking out the Art Corner in Queen Square this weekend?
nocode,
nocode,"Form/process/context: ""space is a meeting point of histories"" Artist Sarah Turner in conversation w Karen Mirza"
nocode,"Job Desc.: ""3D Models"". Back at today with the African Rock Art team..."
not-relevant,""" we are here with #Bonaparte What about the importance of Napoleon and the Egyptian culture ?"
nocode,"i am at in London, Greater London w/"
nocode,"Cup depicting Odysseus and a rather sad Achilles, via archives"
nocode,Explore the art of Castle Hill this Sat with a tour of the New Hall Art Collection &amp; last chance to visit
happy,Reading on mega-Pollock in the certainly perked up the morning commute!
nocode,I just told &amp; to #DropBP Sponsorship. Join me:
happy,This is one of the rooms Ravine Neuenschwander now well worth a visit u become part of it too?
happy,Fantastic introduction to the re-displayed Baroque galleries today at pre-1900 European Paintings SSN Study Day with
not-relevant,"RT Hi, Check out our crowdfunding campaign by Pauser help us and create new #graffiti #streetart"
not-relevant,"The 2rd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland"
happy,I would love to know the source
happy,can not express gratitude 4 this visit inside our Art History 101 textbk! W/
nocode,Don't miss Christopher Williams' exhibition about photography #britaininsider
nocode,"#sincru is annual #HipHop #Theatre summer #show ""7,295 Silent Steps"" takes place 1st weekend of #July"
nocode,why was it pejorative? Was it a comment about class?
happy,Enjoy! When Van Gogh lived here for a short while he wrote about his walks over the Thames to work and
nocode,Real life Iron #Throne #GameofThrones #GoT
nocode,we are trying to create Fun Palaces across Bath bringing science and arts together. Are you interested?
happy,#london #awesome
happy,much better.
nocode,This morning students have been given some free time to explore cambridge is museums. #ExploreYourSubject #SWOpenDay
nocode,
happy,"Very funny fast talking #MC a great night, beautiful venue"
happy,Cannot believe 3 years in London &amp; it is my first visit to the British Museum! it is massive!
happy,YES! And we are very excited about completing our epic Tippett cycle with you tomorrow evening too!
nocode,#Win a pair of tickets to Jackson #Pollock: Blind Spots at #art #exhibition #Liverpool
nocode,Mirror Image a frieze of monoprints
not-relevant,Hi &amp; Pls can you share our sponsored #Roman road walk with your followers?
nocode,. Blind Spots exploring Jackson pollock is black pourings opens 30 June
happy,"you have a new follower, thank you for favouriting my RT. Really interesting panel #DefeatingDepression"
nocode,#AskTheGallery What would you do to better adapt to the needs of foreign visitors?
not-relevant,Thank You 😘 RT You ARE hopefully one day soon you will have your work at the 😊
nocode,"Tomorrow, history, art &amp; science collide during #FellowFriday with Hope you can join us!"
not-relevant,sexy porn sex with dance and sexual intercours
nocode,"If you have got a spare fiver, have almost reached their redevelopment funding target"
nocode,Discover The Arts with Social Media: NOHO Featured Artist Natalie Ryde #London #Art #Video
nocode,Christopher Williams: The Production Line of Happiness showing till June 21
disgust,"oh you will not get Ed to intervene, he has not with library cuts."
happy,fantastic thank you!
happy,"""Toward Parliament square at dusk"". I hope you all enjoy this painting."
happy,The Dartmouth Museum Daily is out! Stories via
happy,May have bought more stuff from the Mexican bit of the :D
happy|surprise,Saw it London last year and looked for signs of damage but saw none. Conservationists deserve merit
nocode,Apotropaic! RT today is #MysteryObject ancient Greek bronze greaves 500 BC!
nocode,"Hello. If you are interested in Kundalini, Enlightenment, Liberation, etc., check this:"
happy,RT The Touch Diaries trailer! premiere 9th July
nocode,The has an 'Enlightenment' gallery. it is kind of the 'Batman Begins' of the place.
nocode,CEO Daniel Gandesha will be speaking at the money #startup event at on 8th July:
happy,#ChristopherWilliams The Production Line of Happiness on until Sunday. Dynamic &amp; refreshing
happy,Fab. :
nocode,heading to visit mummies and statues.
happy,Dr Sculthorpe provides insightful talk to members about #IndigenousAustralia exhibition
happy,The in Exeter is definitely worth a visit. They have a #Samurai! #ILoveMuseums
happy,Visited the today! Inspiration is everywhere :
happy,F is for Funky Fiddle Leaf but also for the fabulous and
not-relevant,The truth is I had a brain freeze and could not remember your name.
happy,"Brilliant Day, Loved drinking too much coffee with the lovely"
happy,Find great content producers on #Periscope like
happy,Congrats v exciting. Looking forward to the show. Starts 15th July not to miss!
happy,sparkling strings of light adding to the ambience at Kettles Yard this sunny afternoon
happy,Great 2 c #rembrandt is back from loan in Rooms 23 &amp; 24 Missed them so much!
nocode,Crossing the red line. #cambridgeuniversity #iphoneonly #shotoniphone6 #museum …
happy,#Pollock review – this is art as nervous breakdown... and it is majestic via Until 18 October
nocode,Friday off. Christopher Williams #whitechapelgallery 👏🏻
happy,Great visit to the yesterday. Expect photos.......
nocode,"students got to try their hand at curating an exhibition yesterday, check it out"
happy,Great day filming #Roman #gems with Watch this space for the finished video!
not-relevant,"Director Nicholas Penny, why was Candy Udwin sacked for? was it because she is vocal about the tory is plan #AskTheGallery"
nocode,Looks incredibly uncomfortable to wear...👢
nocode,"They did and they will: Coin minted in Amphipolis in #Greece 330 BC depicting Zeus, today in the"
nocode,the glass means fragility and the book are fortification plans says museum text Tizian far superior
happy,"I will be hammering the door down to see that exhibition, fantastic opportunity to see a well curated exhibition"
happy,Looking forward to joining this evening is #DefeatingDepression event at hosted by
happy,. loved the Drawing in Silver and Gold exhibit. Fascinating process and breadth of use thru centuries of #art!
happy,So pleased this was selected and will be at Gallery in July/August #EvolverPrize2015
happy,"Saw #definingbeauty at today and it is just glorious. Seriously, the arse on that exhibition. Wow."
nocode,£13m Cezanne painting will leave cambridge is unless a UK buyer comes forward:
nocode,Coming soon from near
happy,Thank you Caroline Campbell for this aft so glad I came to #London to take you to
nocode,Van Gogh &amp; Monet #London
happy,"BritishMuseum: RT Loved #ancientlives exhibition Brilliant use of technology, amazin…"
happy,for a wonderful summer party
surprise,a death mask??
nocode,Matt Morgan explores the display of light in art from Turner to Eliasson! Later: 8pm #alsofestival
angry,Solidarity #kayaktivists We r fighting &amp; who want 2 privatise 400 workers here #ShellNo #noprivatisation
nocode,I put the and ahead of you; however I fear changes coming to both
happy,Really loved #DefiningBeauty Outstanding exhibit+ worth it for last 2 sculptures alone. Closes 5 July
nocode,Discover the diversity of
nocode,Still time to book for and #newexpressions #fieldvisits #KeithHarrison #PhilipEglin
happy,Really enjoying tweets. Well worth a follow.
happy,Just finished deinstalling Now closing for 2 years redevelopment. Look forward to seeing new space
nocode,why was the wounded eye of Horus used so much?
nocode,#FathersDay My father is Carl Kohler 1919-2006 selfportrait from 1946.
happy,Ace dragon tiles at the
happy,Thanks for preserving #Palmyre
happy,Welcome aboard!
nocode,. curator Laura Smith talking on 2018 show on Virginia Woolf &amp; women artists. #MaterialHistories
nocode,Always start with the Perugino- then try other stuff!
happy,Rather lovely promotional animation:
nocode,What lies beneath: drapery and the suggested form via
nocode,This Dutch horse survived:
happy,Congratulations to our trainee on a fantastic #Baroque redisplay
happy,Loving it! Periscope is broadcasting sideways here though might be just my browser...
nocode,We are still open for another hour! Please come down and visit us. #CastleHill15
happy,love this place :-
nocode,Didn't he also invite a local wit at the forum to publicly ok him? Always liked Vespasian.
nocode,"#AskTheGallery Dear director, i really would like to know...."
nocode,Look out for performing at #CastleHill Open Day this Saturday 20th June! #Dance #BBoying Info:
not-relevant,#FF
nocode,The extension to
nocode,20th June will be transformed into a museum of all things #art
nocode,"Saturday screenings + discussions w/ Beatrice Gibson, Sarah Turner + Larissa Sansour"
nocode,Crocodile mask #IndigeousAustralia exhibition
not-relevant,"The 2rd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland"
happy,USA Armchair Travelers See The Impressionists of National Gallery July 14th!
nocode,"#AskTheGallery Dear director, i really need to know..."
happy,Thank YOU for a lovely evening!
happy,thanks!
happy,she is a beauty. Beauty is so hard to come by these days.
nocode,"Review: Christopher Williams 'The Production Line of Happiness"" til 21.06, text by Becky Sykes"
not-relevant,supplying core colour points and wireless PA system #eventprofs
nocode,"i am at in London, Greater London"
nocode,"Painting of 6-armed deity, Yama-deva, standing on bull, holding sun &amp; moon, China, Tang Dyn. c851-950"
happy,"We are over the moon to present our new website for our local, award winning art gallery #Honiton"
nocode,{ } #Japan #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics
not-relevant,i am following and on
happy,Fantastic closing exhibition providing inspiration in #drawing and #sculpture #New#Rhythms
happy,Great Terry Frost show opened last night. Congrats to and
happy,Fascinating talk on goya is portraits by looking forward to seeing your Goya exhibition in Autumn!
nocode,✊💗
nocode,""" Born in 823: Frankish emperor Charles the Bald, heir to charlemagne is throne"
happy,Monday morning #fieldtrip pt 2: thanks to Mark Godfrey and Must-see exhibition that ends Sunday.
nocode,how about non-digital audiences? 😉
nocode,Join us at Castle Hill Open Day Sat 20 June 12-5pm.we will be in Castle St Methodist Church car park.
nocode,and
nocode,"it is #MolluscMonday at rock #snail #shell from Clyst St Mary, Devon. More here:"
nocode,Watch the grand opening of 'The Edge' #arts #dance #performingarts
happy,"Gold brooch of 'Helios' or sun-god, from the workshop of Castellani, Italy, c.1860s"
nocode,James Richards' Soundscape installation w/ Francis bacon is art. I hear touches of P. Glass &amp;S. Reich
nocode,Your painting of a guy getting taken away by a big black eagle what is the story behind it ? #AskTheGallery
nocode,Incredible that new father AfterMarcellus Laroon II John Smith the mezzotinter 1680/1743
not-relevant,Harry Eyres in Newsweek says director prefers in-house option he must now return to talks with us
nocode,{ } #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics
nocode,Innovation: The emperor is New Clothes? Have a read of our discussion during the day
happy,nice parallel! Thanks.
happy,"Spectacular! @ Fitzwilliam Museum in Cambridge, Cambridgeshire"
nocode,"rt"" A pair of ancient Greek bronze greaves from 500 BC!"
nocode,"advance notice: Museums as Method: Collections, Research, Universities conference Mar '16"
nocode,"No dancing, the hair is pulled over the face when mourning."
happy,My two favourite things!!
happy,"Indigenous Australia: enduring civilisation. So good, no words!"
nocode,Join us next week for an eye-opening workshop on anthropomorphism in art: via
nocode,Call for Papers: On the relationship between art dealers and museums. Conference by
