sentiment,tweet_text
joy,The perfect location to wear VanessaGounden The Great Court WearableART Artivism
joy,whole trip free
joy,and have the Sutton Hoo AngloSaxon hoard including the iconic helmet Striking up close
joy,Looking forward to seeing the Australia exhibition at soon My take on the Ancient Greece exhibit
joy,Work experience was great
joy,Thanks to Tom for helping me study Bronze Age metalwork this week for my phd Read about my visit here
joy,havent seen the garden yet but will soon Im a fan thats what I am Rhyme of the day
joy,Visitors like 3D weather Millionth visitor today
sadness,Oh dear why not Dame Laura Knight Surely The Beach should be in this list
joy,Ooh this looks good Jackson Pollock exhibition opens 30th June
joy,Nothing to do with football this one its just a tiny bit exciting Pollock
joy,ILoveMuseums as they provide fantastic opportunities to ExploreYourSubject as a prospective applicant for university
joy,Fantastic performance by Kerry Yong after film as part of evnt on Sat
joy,Ill be talking about The Greeks in Southern Italy at tomorrow Rm 73 115pm Happy memories of Gravina archaeology
joy,One of my favourite artefacts from one of my favourite museums
joy,HAPPY BIRTHDAY TO MY MAIN MAN sorry 400 YEARS YOUNG TODAY in his great selfie from
joy,Jackson pollock and Glenn Ligon opening tomorrow at great combo both beautiful NotToBeMissed
joy,Its Best thing about photography I guess Embarrassed or blushing
joy,Good to see you yesterday amp all the work in progress The is coming together
joy,Looking forward to the GlennLigon talk at this afternoon
joy,Well worth catching before it ends early July DefiningBeauty
joy,Tomorrow Ill have a London art day starting then and afterwards the A strong dose of art
joy,Magnificent would love to learn more about this hand
joy,A great modern British institution great piece from the on the fantastic
joy,A peachy morning at the excellent Defining Beauty exhibition
joy,One of my 5 favourite places for contemporary art Great discovery today artinlondon gallery
joy,Buzzing on WINGIT LDN Its wine oclock at the National Cafe with oliverpeyton tonight half price
joy,Great night in Cambridge with the Zugubal dancers from the Torres Strait
joy,Thank you Have a lovely weekend x
joy,Liking s use of Instagram to show behind the scenes amp things visitors might miss on a visit InstaMuseum
joy,Off for a meet about some really exciting stuff for exeter grey day will be beautiful breakfastofkings
joy,I love Museums because they remind us that others before found a way to survive and also Periwigs are great Embarrassed or blushing
joy,Cambridge will not be the same for my next visits but I look forward to the results
joy,Hidden watercolour treasures go on display at
anger,this seems quite clear in the copy Unfair to take that one word amp apply to entire thing
joy,IndigenousAustralia at is beautiful enlightening and thoughtprovoking Well worth a visit
sadness,The Places subtle dance piece performed with AgeUK Defining Beauty exhibition didnt really work bring back the bacchantes
joy,Ooo we bet this was good presentfilms
joy,Jackson Pollock press view and some lovely themed spattered cupcakes
joy,Books films Greeks coffee curry Perfect Saturday with
joy,Had a brilliantbut tiringtrip to the with Nebula class todayvery well behaved great ambassadors for the school
joy,Lovely afternoon at the amazing Thank you for keeping our museums free
joy,What a great idea THANK YOU Liverpool such a great City with amazing History which I study
joy,Well deserved Congratulations
joy,Spending my Sunday morning roaming the Indigenous Australia exhibition at
joy,Hadrian Were off to visit his wall next w amp zadabeda thanks to…
joy,Such a good painting
joy,thanks Diane your presence amp contribution very much appreciated by strikers
joy,So me and went to the Defining Beauty exhibition at the yesterday and I thought Id tweet some musings
joy,Ahah The place where I spent my Saturdays and Sundays out of my Wokhingham school and made cards
joy,Completed my weeks dose of Ancient Greece 2night at DefiningBeauty expo Quite a spectacle and not busy Worth seeing
joy,privateview opening of the new Baroque galleries amazing
joy,Have you heard about Soundscapes Hint its about paintings DJs museums the amp its pretty cool
joy,Looking forward to Age Friendly Museums Network tomorrow presenting on amp partnership
joy,thank you for the following you back great to see the panelists in action at DefeatingDepression
joy,Reading on megaPollock in the certainly perked up the morning commute
joy,This is one of the rooms Ravine Neuenschwander now well worth a visit u become part of it too
joy,Fantastic introduction to the redisplayed Baroque galleries today at pre1900 European Paintings SSN Study Day with
joy,I would love to know the source
joy,cant express gratitude 4 this visit inside our Art History 101 textbk W
joy,Enjoy When Van Gogh lived here for a short while he wrote about his walks over the Thames to work and
joy,Very funny fast talking MC a great night beautiful venue
joy,Cannot believe 3 years in London amp its my first visit to the British Museum Its massive
joy,YES And were very excited about completing our epic Tippett cycle with you tomorrow evening too
joy,you have a new follower thank you for favouriting my Really interesting panel DefeatingDepression
disgust,oh you wont get Ed to intervene he hasnt with library cuts
joy,fantastic thank you
joy,Toward Parliament square at dusk I hope you all enjoy this painting
joy,The Dartmouth Museum Daily is out Stories via
joy,May have bought more stuff from the Mexican bit of the Laughing big grin or laugh with glasses
joy,The Touch Diaries trailer premiere 9th July
joy,ChristopherWilliams The Production Line of Happiness on until Sunday Dynamic amp refreshing
joy,Fab Embarrassed or blushing
joy,Dr Sculthorpe provides insightful talk to members about IndigenousAustralia exhibition
joy,The in Exeter is definitely worth a visit They have a Samurai ILoveMuseums
joy,Visited the today Inspiration is everywhere
joy,F is for Funky Fiddle Leaf but also for the fabulous and
joy,Brilliant Day Loved drinking too much coffee with the lovely
joy,Find great content producers on Periscope like
joy,Congrats v exciting Looking forward to the show Starts 15th July not to miss
joy,sparkling strings of light adding to the ambience at Kettles Yard this sunny afternoon
joy,Great 2 c Rembrandts back from loan in Rooms 23 amp 24 Missed them so much
joy,Pollock review – this is art as nervous breakdown and its majestic via Until 18 October
joy,Great visit to the yesterday Expect photos
joy,Great day filming Roman gems with Watch this space for the finished video
joy,I will be hammering the door down to see that exhibition fantastic opportunity to see a well curated exhibition
joy,Looking forward to joining this evenings DefeatingDepression event at hosted by
joy,loved the Drawing in Silver and Gold exhibit Fascinating process and breadth of use thru centuries of art
joy,So pleased this was selected and will be at Gallery in JulyAugust EvolverPrize2015
joy,Saw definingbeauty at today and it is just glorious Seriously the arse on that exhibition Wow
joy,Thank you Caroline Campbell for this aft so glad I came to London to take you to
joy,BritishMuseum Loved ancientlives exhibition Brilliant use of technology amazin…
joy,for a wonderful summer party
surprise,a death mask
anger,Solidarity kayaktivists We r fighting amp who want 2 privatise 400 workers here ShellNo noprivatisation
joy,Really loved DefiningBeauty Outstanding exhibit worth it for last 2 sculptures alone Closes 5 July
joy,Really enjoying tweets Well worth a follow
joy,Just finished deinstalling Now closing for 2 years redevelopment Look forward to seeing new space
joy,Ace dragon tiles at the
joy,Thanks for preserving Palmyre
joy,Rather lovely promotional animation
joy,Congratulations to our trainee on a fantastic Baroque redisplay
joy,Loving it Periscope is broadcasting sideways here though might be just my browser
joy,love this place
joy,USA Armchair Travelers See The Impressionists of National Gallery July 14th
joy,Thank YOU for a lovely evening
joy,Shes a beauty Beauty is so hard to come by these days
joy,We are over the moon to present our new website for our local award winning art gallery Honiton
joy,Fantastic closing exhibition providing inspiration in drawing and sculpture NewRhythms
joy,Great Terry Frost show opened last night Congrats to and
joy,Fascinating talk on Goyas portraits by looking forward to seeing your Goya exhibition in Autumn
joy,Monday morning fieldtrip pt 2 thanks to Mark Godfrey and Mustsee exhibition that ends Sunday
joy,Gold brooch of Helios or sungod from the workshop of Castellani Italy c1860s
joy,nice parallel Thanks
joy,Spectacular Fitzwilliam Museum in Cambridge Cambridgeshire
joy,My two favourite things
joy,Indigenous Australia enduring civilisation So good no words
joy,Years 3 amp 4 having a fantastic time at the mummies aztec history education romans
joy,Great to see the The Guardians Exhbition of the week is our Jackson Pollock show at
joy,An exciting announcement soon excited
joy,Great talk Weds night 7pm what will look like after its redevelopment
sadness,ARTFREEDOM Visited the gallery but unable to see the impressionist paintings belonging to collectionWhen up
joy,Sunflowers compliments our NorthbankInBloom perfectly summer
joy,Ooh fab just down the road from work so thats at least one lunch hour sorted
joy,Oh Whistle jacket is my daughters favourite picture in she has her own route around it amp hes last
joy,They are extremely beautiful Thank you very much for sharing
joy,If you havent checked out TARA the TRUST FOR AFRICAN ROCK ART you should TARA have teamed up w
joy,Lovely discussing art mentalhealth and mindfulness with Rachel from tonight MAGwellbeing sharing
joy,the defining beauty exhibition at was so overwhelmingly stunning today it ends next week so PLEASE make it a priority go
joy,Greatly enjoyed the DefiningBeauty exhibition at the
joy,Christopher Williams Last weekend to see the show which is excellent and should…
joy,Getting excited about telling aboriginal tales amp playing didgeridoo during tonights sleepover
joy,Great stuff Ill be there As Soon As Possible 0
joy,Out with Y7 at the Weve learnt about ancient Cyrus amp now enjoying the Greek amp Roman galleries
joy,A little blue man A souvenir who has been there from the start
joy,Yummy lunch now to check out waddesdon and DefiningBeauty at selfauthorisedsabbatical
joy,This looks great so hard to decide which day to go to
joy,A pleasureEnjoying the catalogue immenselyThanks
joy,urges visitors to enjoy the sheer pleasure of colour here please do
joy,Love history Visit today Love history amp RealAle Visit open since 1826
joy,thank you for following me back Great to meet you learning about DefeatingDepression
joy,The best activities has the TATE
joy,Thanks to our great dance tutors amp all that joined the taster sessions amp flashmob practice today
joy,The has kindly loaned the beautiful Ædwens brooch to us for this new exhibition AngloSaxon Viking
joy,Two very different but equally beautiful events
joy,Seriously proud of our curator for being selected in this years Whitechapel opening
joy,We were v honoured to be a small part of a unique short film by artist with other whale
joy,Had plenty of thought creating mind blowing art to behold today with amp Mindart
joy,Dont miss wonders of the ancient world DefiningBeauty show ★★★★
anger,Director N Penny favours inhouse solution Come back to talks then got Alternative
joy,AskTheGallery As a director what is the main objective you would like to achieve How would you achieve it Thanks
sadness,Goodbye see you in 225 years
joy,Happy Fathers Day amp Solstice Guided tours are at 1130 230 amp 400 expect Fathers and Suns
joy,Last chance to see LAbased ChristopherWilliams who deconstructs and demystifies photography
joy,Really enjoying insightful day of screeningsevents artists Larissa Sansour Beatrice GibsonampSarah Turner
joy,Loving the Jackson Pollock inspired cupcakes pressview today
joy,Looking forward to this archive exhibition on the Kibbo Kift Kindred 19201932 Oct 2015
joy,all resolved the link works now thank you very much
joy,Wow awesome Vie excellent news Keep up the great work
joy,seeing how many last minute visits I can fit in before the closure and fabulous redevelopment
joy,Great event to kick start Airmic2015 at Thanks to our guests
anger,Solidarity from USDAW C133 to on Day 39 of strike against privatisation ReinsateCandy
joy,Great sound installation by James Richard incl Frances Bacon degreeshow
joy,Harbour Cottages is sailing off to a lovely new home
joy,Great amp Exciting news for We look forward to our next visit Cornwall
joy,My highlight of DefiningBeauty at the was this personified vine bff of Bacchus
joy,Fantastic day incl LondonPride lunch at Wahaca DefiningBeauty amp paddling in Hyde Park Now nice glass of Rose and Kanye
joy,Thank you looking forward to it Embarrassed or blushing
joy,lovely picture that
sadness,Massive queues at gates of today for security bag searches Sad to see but necessary
joy,Wonderful to see today valuation History Waterloo1815
joy,Looking forward to tomorrow eve for Greek Art Defining Beauty Msg us for tix
joy,agree Lovely place to workvolunteer Amazing domestic architectural spaces amp art I want to visit every wk
anger,Bad times at the National Gallery Stop the privatisation of services at the via
sadness,Wish you could extend the exhibition loudlycryingface I will only be in London in August
joy,Beautiful Guido Reni I also love his pupil Cagnacci The Death of Cleopatra
joy,Saw one of these in The Cloisters in New York magnificent work
joy,Loving the Samba Band DiscoveryDay
joy,Photography Today is out Stories via
joy,Thanks Alex Great to hear from you Will pass that on
joy,Yes that is why is a treasure
anger,AskTheGallery We are boycotting the National Gallery until you reinstate Candy Unwin and stop privatisation
joy,Great pic SHCTravel
surprise,Wow he was a very old 32
joy,Cant wait for this its going to be BIG yesjim
sadness,Found this yesterday desperately needs more info on the exhibit though Pillar of Emperor Ashoka
joy,Just landed on my desk dazzleferry looking great
joy,You are more than welcome great to work with another local business CosmicUK
joy,Thanks to doing an amazing job explaining paintings to people with visual impairment…
surprise,OMG I thought she was asleep upstairs
joy,Amazing smilingfacewithhearteyes artistpalette
joy,AskTheGallery Pete and Dud have a few questions The Leonardo cartoon is a hoot
joy,Absolutely loved DefiningBeauty at So many treasures plus my peerless friend Roll on Shakespeare Roadtrip
joy,Nursery students getting very messy at today Loads of fun
joy,A very intresting insight into ancient Egypt exhibition Ancient Lives 8mummies
joy,New Blog Finally made it to this week cyclone sparkles kettlesyard pebbles interiors kettlesyard
joy,Not my current mood Ive just had a glorious morning in the Print Room with Durer amp Rembrandt amp this
joy,Congratulations to our very own on receiving such a glowing report from itsliverpool
joy,Drawing twice in one week Feeling creative
anger,Stop the privatisation of services at the Sign the petition now via
joy,thank you for sharing via
joy,Jackson Pollock Blind Spots is from 30 June 18 October
joy,Really pleased to be part of CastleHill15 Come see the Cold War bunker amp the historic artefacts from Cambs we store there
joy,I was introduced to the wonderful work of Canaletto on my 1st visit to your amazing gallery his paintings are breathtaking
sadness,and will again austerity
joy,Im on a train on my way south for a fun filled few days woo hoo
joy,Finally made it and well worth it Britishmuseum Greek sculpture
joy,Simon myself amp our New Knight Piano destined for the Edge Practice Rooms Thank you Kath amp Simon Arnold
joy,Thanks to the wonderful artists who made us this fantastic lantern artseducation DiscoveryDay
joy,We are thrilled to have Neil MacGregor here from the talking about Germany Memories of a Nation Sponsor
joy,Cool putting 30000 years 25000 digital images of African rock art online
joy,One of the most beautiful Places in London
joy,Our book Alfred Wallis Cornish Primitive Painter has 100 fabulous paintings
joy,Cant wait to see Jackson Pollock Blind Spots w Sending all best wishes for the opening
joy,LoveWins from the
joy,here for the second day in a row because you can never finish looking at the exhibits at
joy,Off to for definingbeauty wanted to go for ages finishes next week
joy,Summer at the Museums Gets Ready for Take Off via
joy,Great article about the wonderful
joy,One of my best London memories thank you grinningface
joy,I used this portrait to explain to staff about symbolism and art of knowing your client The clues are all there Love it
anger,Strikers at sponsored protest against privatisation kayaktivists ShellNo
joy,obviously Ill come home next month for it Yay
anger,I wont be seeing the Goya After 50 years of pictures NGL on my pariah list until Candy reinstated
joy,Enchanting mythologically inspired Renaissance jewellery WoW I love the mermaid riding a seahorse lt3
joy,Members Preview of JacksonPollock BlindSpots yesterday at TateLiverpool FANTASTIC exhibition congratulations
joy,amp dancers have arrived Glad to have you in residence till Touch Diraies premier 9th July
joy,Visited the SocialFabric exhibit today at So much culture and history in one room herb MegaInspiration
joy,My kids have special names for Mike the Knight Museum Dinosaur Museum amp Museum of Cold Places LoveMuseums Cambridge
joy,Theyre so cute
surprise,Gosh periscope is definitely on trend High profile people using it and I have not even tried it yet
joy,Breathtaking display but nothing makes me swoon like the Barberini Faun DefiningBeauty
joy,I forget the correct hashtag but was about how the could move towards a better future in the digital age Was cool
joy,The a perfect haven on a rainy London Sunday
anger,Blog post AsktheGallery how not to engage with an angry audience brushes questions aside
joy,Day 1 of filming today I will be visiting and many more places vlog day1
joy,Great update Its now featured on on
joy,Exhibition sounds fab photographs indigenous Siberia Mongolia sensory relational knowledge
joy,yes please Saw his show years ago
joy,donottouch not the real one promise
joy,thanks Bobby Im heading to London in a couple of weeks Ill take a look ELC
surprise,Omg he looks totally like Al Pacino
joy,We hope that Y12 history of art pupils enjoy their visit to today
joy,Thank you very much
joy,I picture it waiting to be rescued from an ancient atticthank you
anger,I just told amp to DropBP Sponsorship Join me
joy,thank you for a fascinating scope
joy,Pretty cool curator up right now at the Polar Museum in Cambridge pun semiintended
joy,Ive won two free tickets to the private viewing of the Jackson Pollock exhibition cant wait smilingfacewithsmilingeyes
joy,Whos going to the Jackson Pollock PV tonight Great piece on why he gave up painting
joy,Its a great day to AskTheGallery with both amp opening their Twitter doors for live questionsgt
anger,We wont stop til dumps BP Fill in a feedback form when youre there amp watch this space
joy,All I can say is WOW Your groundbreaking 8mummies exhibition is fantastic
joy,Really enjoyed the GlennLigon talk earlier today His exhibition is truly stimulating
joy,these are so beautiful GaudierBrzeska
joy,A great exhibit is the Lewis ChessmenTerrific artistry want to pick up a replica amp learn the game
joy,students are a joy to be spending a day with stockleyart
surprise,Is he holding an orange Someone had better watch out
joy,Supercool You seriously rock Laughing big grin or laugh with glasses
sadness,It would have been great to see that material approached using queer theory
joy,Blind Spots Pollock black paintings sounds fascinating hope I can make the journey north
joy,a much welcomed change
anger,AskTheGallery Why do you appear to support privatisation Why dont you value your staff more and support them
joy,The Ratzingeriana is out Stories via
joy,Thanks for lovely review
joy,collection in excellent company thanks to all involved
joy,ooh sounds good
joy,In the garden yes But not in the gallery How will I restrain myself from patting Tides 1946
sadness,w amp zadabeda feeling like 21st Century is underperforming amp not sure…
joy,I look forward to congratulating you in person
joy,One of my favourite paintings
joy,painting inprogress GerardDavid oil so much Thursday fun
joy,Thank you John
joy,Had a personal tour no less
joy,Thanks for an inspiring day warm welcome
joy,A ‘sparkling show of Turner Singer Sargent Cézanne watercolours Cambridge
joy,We should share this with DAN BAIRD GOTHIC ARTIST this drawing is by artist SALVATOR ROSA born 1615 ETCHING
joy,What a beauty Baroque
anger,ATTN Museum of stolen property Hand back our culture SOSBLAKAUSTRALIA NOconsent
joy,never heard of it next time im in uk will happy to visit Embarrassed or blushing
joy,great to hear her talk about the event I definitely left with a feeling of madness materialhistories
joy,So pleased our fav artist Richard Long wins award incredible body of work in Time and Space
joy,Great afternoon at DefiningBeauty exhibition with and Embarrassed or blushing
joy,Great news Ive been taping the series and listening to BBC4 as well fascinating and informative many thanks
surprise,So much teeth problems un ancient Egypt grinningfacewithsmilingeyes
joy,This is a real treat full of inspiration from the Curious Beasts
joy,Thrilled to listen to erudite Neil MacGregor from talking about Germany
joy,Thanks good article BertheMorisots dau JulieManets diary re her family
joy,Also enjoyed James Richards speakerbombarding Francis Bacon with soundscape
joy,Will someone take me to see the mummies at the please please please foldedhands mediumlightskintone
joy,Engaging work from at photography art wellcometrust
joy,Being good at hunting pays off King kisses Tristram as a reward pride Pride2015 PrideinLondon
joy,This is one of my favourite paintings at the National Gallery I know where its hung Beautiful
joy,that was a marvelous broadcast on Napoleon just now Great use of this new service
joy,thank you for following me back Well done for gathering such an interesting panel for DefeatingDepression
joy,The exquisite Waddesdon Bequest is absolutely exceptional Not to be missed amp its free museumhour
joy,Had a wonderful time with Thank you for having me
joy,The LigonPollock exhibition that opened today is one of the best in ages Glenn Ligon also seems such a nice guy pollock
joy,I LOVE The National Gallery
joy,Delicious Dorset crab with avocado and gazpacho the beautiful with gailsmithflowers
joy,Looking forward to our public engagement event DefeatDepression this evening
joy,Greatest car park attendant this country has ever seen
joy,Early morning viewing of Defining Beauty at quite the inspiration for the rest of the day What a complete treat
joy,Enjoying the afternoon at artheals
joy,look forward to visiting this week art Cambridge
joy,Frames can be works of art on their own Visit our free SansovinoFrames exhibition http via
joy,Im introducing Director Neil MacGregorGermanyMemories of a Nation at cheltlitfest tomorrow Come
joy,DefiningBeauty finally visited the exhibition before it closed next week Well worth the trip to London A brilliant time
joy,If you havent seen the Christopher Williams show it finishes this Sunday Go Really go GO
joy,Sad but amazing and exciting things will be happening to
joy,Portraiture is so fascinatinglove all these hidden meanings Thanks for the info
joy,Weekend getting better amp better GrantSimonRogers taking DailyGuidedTour Entertaining amp Engaging with his group
joy,thank you for the following you back great to see represented at DefeatingDepression
joy,A rare delight to be in the when it is so quiet and the light of a summers evening is so splendid
joy,yes i met her We were tlkg abt the amazing number of visitors they got for
joy,Great Baramundi fish with Clive Loveless Aboriginal art having a moment with show
joy,Looking forward to soundscapes hear the paintings see the sounds how intriguingly enticing
joy,St Ives Cornwall News is out Stories via
joy,That is a fascinating bit of art history Thanks I LOVE Albrecht Durers art Gloria PooleRNartist Missouri
anger,AskTheGallery noprivatisation ReinstateCandy
joy,Search for your Treasured Possession a museum with more treasures than you could imagine Japanesedolls carpstreamer performingarts moai books postalhorn tramcar trophy
joy,thanks Like you say you have to have a go
joy,Spectacular gems and Renaisance jewellery at the new Waddesdon Bequest gallery Go admire
joy,Starting my sisters hen do was an excellent idea V friendly security guards
joy,I Love The National Gallery Beautiful
joy,Im not sadly at a session in run by about older people in museums Embarrassed or blushing
joy,In London today visiting Obligatory Great Court shot
joy,Wow great to see it Hope to get new app up soon
joy,Exquisite works by painter Paul Rubens presented by
joy,What a bustling windr blowing in this amzing painting Your senses almost feel the sea air paint
joy,I am now a proud member of if I could only work put how to book a ticket as a member 0
joy,Thank you The first show saw 178 paintings being displayed Several of them are known today
joy,A real mustsee Defining Beauty The Body in Ancient Greek Art London art
joy,Incredible jewels at the s new gallery
anger,BobandRoberta I am angry more artists that have a profile are not speaking up foundationcourses
joy,Glowing 5 stars for Jackson Pollock review – this is art as nervous breakdown and its majestic
joy,Thats a cool statistic Well done
joy,So tired after sleepover No seats on train from London to Nottingham either Didgeridoo mans dreamtime tales were great
anger,BobandRoberta I am angry more artists that have a profile are not speaking up foundationcourses
sadness,shame about the idiots who post rude comments throughout
joy,Great insight into BarbaraHepworth show amp the exhibitions exploring her art amp StIves
joy,What better way to get creative inspiration than to go to the Museum sparkles
joy,LOVE Bombergs JuJitsu ‘the new life should find its expression in a new art
joy,stylish ceramics from a very talented artist anthonytheakston pelicanjug ceramics
anger,AskTheGallery Dr P wouldnt you like to leave with a noble gesture Stop privatisation ReinstateCandy support union
joy,thats fabulous thanks Embarrassed or blushing
joy,Fabulous day with Greek beauty Australia Napoleonic propaganda amp so much more
joy,What a delicate delight for the eyes this is art
joy,Fab Indigenous Australia exhibition do visit before it closes
joy,That was fascinating Thank you for posting
joy,Fascinating mtg at to meet with curators amp mgmt to discuss closer working links with schools amp museum resources history
joy,Went to the Indigenous Australians exhibition this evening fascinating and fabulous not too many dots
joy,Ancient roman wedding ring from the See the clasped hands just like in the novel Summer of Fire
joy,one of my favorites also
joy,It makes my heart sing to see the Elgin marbles at the inspiration art …
joy,Had a great tour of the with now at enjoying The Five service
joy,Thank you so much for your amazing Defining Beauty exhibition Its an aesthetic feast
joy,Because today wasnt perfect enough gelato affogato
joy,how wonderfully unpopulated
joy,Lovely day for DiscoveryDay thanks all artseducation
joy,Heres me trying a spot of life drawing at fabulous in Cambridge
joy,Art museums can open up a whole new world to our children via
joy,thanks a tonne I also loved the podcast Neil MacG did on it intriguing to say the least that a faery tale wasreal
joy,Fascinating thanks What an odd place to exile anyone to
joy,Ive missed it too will have to look for it next time
joy,So excited Less than a week until the JacksonPollock exhibition starts at cantwait artistpalette
joy,Looking forward to Amelia Smith speaking in CDA innovation showcase cdavalue
joy,The defining beauty exhibition was wonderful looking at the body in Greek art like being at home
joy,Gloomy weather getting you down umbrellawithraindrops ️ disappointedface Go to for their last day before 2 yr refurb instant feel good fun
joy,Absolutely amazing space and venue for ShakespeareanTCS summer drinks party
joy,then its a must to take the time to take it all in enjoythemoment
joy,Art update Ready for the new guests hope they like them ElisabethClarke poster
joy,Fascinating Thanks for posting this
joy,View not bad from café either
joy,Summertime in Cambridge Running flying sitting around and singing
joy,Inspiring architecture of the Saw the Rosetta Stone amp many cool treasures…
joy,THANK YOU SO MUCH sparklingheart X
joy,Great day so far CastleHill15
joy,so good to see the film I missed them rolling down the hill in real time materialhistories
joy,Spent the morning learning about 8mummies Fascinating and wellpresented a right balance of objects info and interaction
joy,Jackson Pollock Blind Spots opens on 30 June Cant wait art Liverpool
joy,Europa seems quite happy to be abducted by the bull Zeus Embarrassed or blushing
joy,JUST REALIZED I WILL BE ABLE TO SEE THE 8mummies EXHIBITION AT THE I AM SO HAPPY
joy,Working meeting at gt what a great start to the day
joy,such an interesting article about cabinets of curiosities blueheart memo paperclip
sadness,Crumbs with Dudley and posting Henry VIII feel a bit threatened by my Museum tweets as a Catholic today Embarrassed or blushing
joy,Take AWalkontheWildSide today with a visit to the art gallery FREE admission prints from the and so much more VisitKent
joy,Wellcome to Instagram Just in time for InstaMuseum tomorrow Laughing big grin or laugh with glasses
joy,Cambridgebound to fulfill my lifelong dream of seeing the And maybe a punt travel England cambridge
joy,Looks interesting upcoming Archaeology of Childhood 2016 exhibition at histchild twitterstorians
joy,All the best to Camden Family Learning for todays event
joy,The Barbara Hepworth studios are a must if you visit
joy,Fantastic opening night for Sir Terry Frost Wonderful curation by
joy,Really enjoyed the exhibition today Now want to find out more
joy,Thank you for posting this its amazing I have shared on social media
joy,But she wouldnt mind Her St Ives garden is one of my favourite places
anger,strikers raise £1000 on protest reinstateCandy
joy,I will World Premiere was in Jan at hopefully another screening soon
joy,Clandestine Pics Old Compton St Soho
joy,Find great content producers on Periscope like
anger,very upset with your invigilators Very rude arrogant when enforcing the no drinking rule
joy,BingeThinking 3 exhibitions in 1 day DefiningBeauty indigenousAustralia ancientLives breathtaking
joy,Wondrous day out in Liverpool with amp Mindart Peter Blakes Razzle Dazzle Ferry amp Brilliant
joy,hahaha they are still seriously beautiful and in my head they smell so strong I can smell them from here smilingfacewithhearteyes xx
joy,Great to see on the panel Circuit2015 today Collectives
joy,I took this picture while I was in the archive Coolest sea monster ever
