text,tweet_text,lemma_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score,anger,disgust,joy,sadness,surprise,fear,esn_sentiment,esn_sentiment_count
These are the leaders we need in America. Promote peace and solidarity! #BlackLivesMatter ,"['these', 'are', 'the', 'leaders', 'we', 'need', 'in', 'america', 'promote', 'peace', 'and', 'solidarity', 'black', 'lives']","['these', 'be', ""the'"", 'leader', ""we'"", 'need', 'in', 'america', 'promote', 'peace', 'and', 'solidarity', 'black', 'life']",trust,3.0,1.9300000000000002,inspired,10.0,2.0053616900483777,0.0,0.0,6.0,1.0,0.0,0.0,joy,6.0
#june2020 #dcprotest #dcphotography #riot #georgefloyd #justiceforgeorgefloyd #justiceforahmaud #protest #f12 #nationscapital #blacklivesmatter #breakin #looting #trump #ujustgotjuiced @The White House https://www.instagram.com/p/CA5iEMmhJ9q/?igshid=wrvj7gytdff1,"['june2020', 'dcprotest', 'dcphotography', 'riot', 'georgefloyd', 'justiceforgeorgefloyd', 'justiceforahmaud', 'protest', 'f', '12', 'nationscapital', 'blacklivesmatter', 'breakin', 'looting', 'trump', 'ujustgotjuiced', 'white', 'house']","['june', '2020', 'dcprotest', 'dcphotography', 'riot', 'georgefloyd', ""justiceforgeorgefloyd'"", 'justiceforahmaud', 'protest', 'for', '12', 'nationscapital', 'blacklivesmatter', 'breakin', 'looting', 'trump', 'ujustgotjuiced', 'white', 'house']",anger,1.0,0.7879999999999999,angry,7.0,1.2425959160857982,0.0,0.0,1.0,0.0,0.0,0.0,joy,1.0
I love the uprise but let’s keep it a philly wasn’t protesting! y’all were straight stealing and to each there own but please don’t say y’all was doing it in the name of GEORGE FLOYD y’all wasn’t Foh! ( half of y’all don’t knw his name or story),"['i', 'love', 'the', 'uprise', 'but', 'let', 'is', 'keep', 'it', 'a', 'philly', 'was', 'not', 'protesting', 'you', 'all', 'were', 'straight', 'stealing', 'and', 'to', 'each', 'there', 'own', 'but', 'please', 'do', 'not', 'say', 'you', 'all', 'was', 'doing', 'it', 'in', 'the', 'name', 'of', 'george', 'floyd', 'you', 'all', 'was', 'not', 'foh', 'half', 'of', 'you', 'all', 'do', 'not', 'knw', 'his', 'name', 'or', 'story']","['i', 'love', ""the'"", 'uprise', 'but', 'let', 'be', 'keep', 'it', ""a'"", 'philly', 'be', 'not', 'protest', 'you', 'all', 'be', 'straight', 'steal', 'and', ""to'"", 'each', 'there', 'own', 'but', 'please', ""do'"", 'not', 'say', 'you', 'all', 'be', 'do', 'it', 'in', ""the'"", 'name', 'of', 'george', 'floyd', 'you', 'all', 'be', 'not', 'foh', 'half', 'of', 'you', 'all', 'do', 'not', 'knw', 'he', 'name', 'or', 'story']",fear,2.0,1.0,inspired,18.0,3.5253819256491385,0.0,0.0,14.0,1.0,0.0,0.0,joy,14.0
#june2020 #dcprotest #dcphotography #riot #georgefloyd #justiceforgeorgefloyd #justiceforahmaud #protest #f12 #nationscapital #blacklivesmatter #breakin #looting #trump #teargas #smoke @The White House https://www.instagram.com/p/CA5ibwCBhc3/?igshid=1tdr7z5m3me2i,"['june2020', 'dcprotest', 'dcphotography', 'riot', 'georgefloyd', 'justiceforgeorgefloyd', 'justiceforahmaud', 'protest', 'f', '12', 'nationscapital', 'blacklivesmatter', 'breakin', 'looting', 'trump', 'teargas', 'smoke', 'white', 'house']","['june', '2020', 'dcprotest', 'dcphotography', 'riot', 'georgefloyd', ""justiceforgeorgefloyd'"", 'justiceforahmaud', 'protest', 'f', '12', 'nationscapital', 'blacklivesmatter', 'breakin', 'looting', 'trump', 'tearga', 'smoke', 'white', 'house']",anger,1.0,0.7879999999999999,angry,9.0,1.5584814783413565,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Shot in the face #june2020 #dcprotest #dcphotography #riot #georgefloyd #justiceforgeorgefloyd #justiceforahmaud #protest #f12 #nationscapital #blacklivesmatter #breakin #looting #trump #teargas #smoke @The White… https://www.instagram.com/p/CA5ihFSBOBB/?igshid=1emsxqw7uj2j7,"['shot', 'in', 'the', 'face', 'june', '2020', 'dcprotest', 'dcphotography', 'riot', 'georgefloyd', 'justiceforgeorgefloyd', 'justiceforahmaud', 'protest', 'f', '12', 'nationscapital', 'blacklivesmatter', 'breakin', 'looting', 'trump', 'teargas', 'smoke', 'white']","['shot', 'in', ""the'"", 'face', 'june', '2020', 'dcprotest', 'dcphotography', 'riot', 'georgefloyd', ""justiceforgeorgefloyd'"", 'justiceforahmaud', 'protest', 'f', '12', 'nationscapital', 'blacklivesmatter', 'breakin', 'looting', 'trump', 'tearga', 'smoke', 'white']",fear,2.0,1.5,angry,10.0,1.6944437213333279,0.0,0.0,1.0,0.0,0.0,0.0,joy,1.0
#BlackLivesMatter #NorfolkProtest,"['black', 'lives', 'matter', 'norfolk', 'protest']","['black', 'life', 'matter', 'norfolk', 'protest']",trust,1.0,0.47700000000000004,inspired,6.0,0.9992701358543856,0.0,0.0,2.0,0.0,0.0,0.0,joy,2.0
"For White House, all it took was a black man to keep it white & a white man to turn it black. #GeorgeFloyd #BlackLivesMatter #anonymus","['for', 'white', 'house', 'all', 'it', 'took', 'was', 'a', 'black', 'man', 'to', 'keep', 'it', 'white', '&', 'a', 'white', 'man', 'to', 'turn', 'it', 'black', 'george', 'floyd', 'black', 'lives', 'matter', 'anonymus']","['for', 'white', 'house', 'all', 'it', 'take', 'be', 'a', 'black', 'man', ""to'"", 'keep', 'it', 'white', '&', ""a'"", 'white', 'man', ""to'"", 'turn', 'it', 'black', 'george', 'floyd', 'black', 'life', 'matter', 'anonymus']",trust,2.0,0.821,inspired,14.0,2.269529990453421,0.0,0.0,7.0,0.0,0.0,0.0,joy,7.0
"Do not run, if you run they might follow” .. going to bed to gunshots, helicopters, and sirens. Like he says in the video, until we can understand that Black Lives Matter, we cannot understand that All Lives Matter, it’s not at all a middle finger to life in general it is","['do', 'not', 'run', 'if', 'you', 'run', 'they', 'might', 'follow', 'going', 'to', 'bed', 'to', 'gunshots', 'helicopters', 'and', 'sirens', 'like', 'he', 'says', 'in', 'the', 'video', 'until', 'we', 'can', 'understand', 'that', 'black', 'lives', 'matter', 'we', 'can', 'not', 'understand', 'that', 'all', 'lives', 'matter', 'it', 'is', 'not', 'at', 'all', 'a', 'middle', 'finger', 'to', 'life', 'in', 'general', 'it', 'is']","[""do'"", 'not', 'run', 'if', 'you', 'run', 'they', 'might', 'follow', 'go', ""to'"", 'bed', ""to'"", 'gunshot', 'helicopter', 'and', 'siren', 'like', 'he', 'say', 'in', ""the'"", 'video', 'until', ""we'"", 'can', 'understand', 'that', 'black', 'life', 'matter', ""we'"", 'can', 'not', 'understand', 'that', 'all', 'life', 'matter', 'it', 'be', 'not', 'at', 'all', 'a', 'middle', 'finger', ""to'"", 'life', 'in', 'general', 'it', 'be']",trust,4.0,1.8130000000000002,inspired,24.0,3.609347575293563,0.0,0.0,11.0,1.0,2.0,1.0,joy,11.0
All of this was over $20! A counterfeit $20 bill! @sarasidnerCNN @CNN #GeorgeFloyd #MurderedByPolice #injustice #protests2020 #mondaythoughts,"['all', 'of', 'this', 'was', 'over', '20', 'a', 'counterfeit', '20', 'bill', 'george', 'floyd', 'murdered', 'by', 'police', 'injustice', 'protests', '2020', 'mondaythoughts']","['all', 'of', 'this', 'be', 'over', '20', ""a'"", 'counterfeit', '20', 'bill', 'george', 'floyd', 'murder', 'by', 'police', 'injustice', 'protest', '2020', 'mondaythought']",anger,2.0,1.397,angry,10.0,2.0185103532148077,1.0,1.0,3.0,1.0,0.0,2.0,joy,3.0
@wattsStix So much respect for everything you do for our community fam. #BlackLivesMatter #EVERYBODYRISE.,"['so', 'much', 'respect', 'for', 'everything', 'you', 'do', 'for', 'our', 'community', 'fam', 'black', 'lives', 'matter', 'everybodyrise']","[""'so'"", 'much', 'respect', 'for', 'everything', 'you', ""do'"", 'for', ""our'"", 'community', 'fam', 'black', 'life', 'matter', 'everybodyrise']",trust,2.0,1.227,inspired,9.0,1.9601203703487915,0.0,0.0,5.0,0.0,0.0,0.0,joy,5.0
#flagburning #june2020 #dcprotest #dcphotography #riot #georgefloyd #justiceforgeorgefloyd #justiceforahmaud #protest #f12 #nationscapital #blacklivesmatter #breakin #looting #trump #teargas #smoke @The White House https://www.instagram.com/p/CA5i5lhh3pU/?igshid=164hkcphujako,"['flagburning', 'june2020', 'dcprotest', 'dcphotography', 'riot', 'georgefloyd', 'justiceforgeorgefloyd', 'justiceforahmaud', 'protest', 'f', '12', 'nationscapital', 'blacklivesmatter', 'breakin', 'looting', 'trump', 'teargas', 'smoke', 'white', 'house']","['flagburning', 'june2020', 'dcprotest', 'dcphotography', 'riot', 'georgefloyd', ""justiceforgeorgefloyd'"", 'justiceforahmaud', 'protest', 'f', '12', 'nationscapital', 'blacklivesmatter', 'breakin', 'looting', 'trump', 'tearga', 'smoke', 'white', 'house']",anger,1.0,0.7879999999999999,angry,8.0,1.4122336357365053,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Two missing kids #missingkids #june2020 #dcprotest #dcphotography #riot #georgefloyd #justiceforgeorgefloyd #justiceforahmaud #protest #f12 #nationscapital #blacklivesmatter #breakin #looting #trump #teargas #smoke @… https://www.instagram.com/p/CA5jFmEhHNk/?igshid=l9n7vg1wmmmt,"['two', 'missing', 'kids', 'missingkids', 'june2020', 'dcprotest', 'dcphotography', 'riot', 'georgefloyd', 'justiceforgeorgefloyd', 'justiceforahmaud', 'protest', 'f', '12', 'nationscapital', 'blacklivesmatter', 'breakin', 'looting', 'trump', 'teargas', 'smoke']","['two', ""'"", 'missing', 'kid', 'missingkid', 'june2020', 'dcprotest', 'dcphotography', 'riot', 'georgefloyd', ""justiceforgeorgefloyd'"", 'justiceforahmaud', 'protest', 'f', '12', 'nationscapital', 'blacklivesmatter', 'breakin', 'looting', 'trump', 'tearga', 'smoke']",fear,2.0,1.2399999999999998,annoyed,10.0,1.5396818823005214,0.0,0.0,1.0,0.0,0.0,0.0,joy,1.0
No justice. No peace. #BlackLivesMatter,"['no', 'justice', 'no', 'peace', 'black', 'lives', 'matter']","[""no'"", 'justice', ""no'"", 'peace', 'black', 'life', 'matter']",trust,3.0,1.79,inspired,6.0,1.1372263884696445,0.0,0.0,4.0,0.0,0.0,0.0,joy,4.0
"@WatchMixer all earnings this month from stream will be going to @TrevorProject and to #BlackLivesMatter movement 50 50. #charitymonth engage. We will be going live, Loud and proud around 530pm est http://mixer.com/lordofenvy . Know the crazy house stands with you","['all', 'earnings', 'this', 'month', 'from', 'stream', 'will', 'be', 'going', 'to', 'and', 'to', 'black', 'lives', 'matter', 'movement', '50', '50', 'charitymonth', 'engage', 'we', 'will', 'be', 'going', 'live', 'loud', 'and', 'proud', 'around', '530', 'pm', 'est', 'know', 'the', 'crazy', 'house', 'stands', 'with', 'you']","[""all'"", 'earning', 'this', 'month', 'from', 'stream', 'will', ""be'"", 'go', ""to'"", 'and', ""to'"", 'black', 'life', 'matter', 'movement', '50', '50', 'charitymonth', 'engage', ""we'"", 'will', ""be'"", 'go', 'live', 'loud', 'and', 'proud', 'around', '530', 'pm', ""'est"", 'know', ""the'"", 'crazy', 'house', 'stand', 'with', 'you']",joy,3.0,1.548,inspired,23.0,4.26653637743269,0.0,0.0,13.0,2.0,2.0,0.0,joy,13.0
After Trump has stroked the flames of racism & has still not spoken out against the killing of George Floyd. Do not tell me voting in Nov. is still picking the better of the two evils. The only evil is Donald Trump.,"['after', 'trump', 'has', 'stroked', 'the', 'flames', 'of', 'racism', '&', 'has', 'still', 'not', 'spoken', 'out', 'against', 'the', 'killing', 'of', 'george', 'floyd', 'do', 'not', 'tell', 'me', 'voting', 'in', 'nov.', 'is', 'still', 'picking', 'the', 'better', 'of', 'the', 'two', 'evils', 'the', 'only', 'evil', 'is', 'donald', 'trump']","['after', 'trump', 'have', 'stroke', ""the'"", 'flame', 'of', 'racism', '&', 'have', 'still', 'not', 'speak', 'out', 'against', ""the'"", 'killing', 'of', 'george', 'floyd', ""do'"", 'not', 'tell', ""me'"", 'voting', 'in', 'nov.', 'be', 'still', 'pick', ""the'"", 'better', 'of', ""the'"", ""two'"", 'evil', ""the'"", 'only', 'evil', 'be', 'donald', 'trump']",fear,3.0,2.3949999999999996,inspired,21.0,3.3353556100216952,0.0,0.0,11.0,2.0,1.0,1.0,joy,11.0
"F*€k !2 #baltimore #maryland #blacklivesmatter #georgefloyd @Baltimore, Maryland https://www.instagram.com/p/CA5jfXpp01L/?igshid=18l6khosg5eoy","['f*€k', '2', 'baltimore', 'maryland', 'blacklivesmatter', 'georgefloyd', 'maryland']","[""'f"", '€k', '2', 'baltimore', 'maryland', 'blacklivesmatter', 'georgefloyd', 'maryland']",,0.0,0.0,afraid,2.0,0.39163202543157005,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
People of color are in pain and action needs to happen. #BlackLivesMatter,"['people', 'of', 'color', 'are', 'in', 'pain', 'and', 'action', 'needs', 'to', 'happen', 'black', 'lives', 'matter']","['people', 'of', 'color', 'be', 'in', 'pain', 'and', 'action', 'need', ""to'"", 'happen', 'black', 'life', 'matter']",sadness,2.0,1.0,inspired,11.0,2.2268410400229928,0.0,0.0,5.0,2.0,0.0,0.0,joy,5.0
Former President Barack Obama puts out guidelines to 'get to work' amid George Floyd protests https://www.yahoo.com/gma/former-president-barack-obama-puts-guidelines-amid-george-144700132--abc-news-topstories.html?soc_src=community&amp;soc_trk=tw via @Yahoo. @realDonaldTrump THIS IS WHAT A REAL PRESIDENT IS. LETS GET THE CLOWN OUT OF THE WHITE HOUSE! #Biden2020,"['former', 'president', 'barack', 'obama', 'puts', 'out', 'guidelines', 'to', 'get', 'to', 'work', 'amid', 'george', 'floyd', 'protests', 'via', 'this', 'is', 'what', 'a', 'real', 'president', 'is', 'lets', 'get', 'the', 'clown', 'out', 'of', 'the', 'white', 'house', 'biden2020']","['former', 'president', 'barack', 'obama', 'put', ""out'"", 'guideline', ""to'"", 'get', ""to'"", 'work', 'amid', 'george', 'floyd', 'protest', 'via', 'this', 'be', 'what', ""a'"", 'real', 'president', 'be', 'let', 'get', ""the'"", 'clown', 'out', 'of', ""the'"", 'white', 'house', 'biden2020']",trust,3.0,1.4379999999999997,amused,22.0,3.3083155565441045,0.0,0.0,7.0,0.0,1.0,0.0,joy,7.0
#PrideMonth #BlackLivesMatter #protests2020 #JusticeForGeorgeFloyd,"['pride', 'month', 'black', 'lives', 'matter', 'protests2020', 'justice', 'for', 'george', 'floyd']","['pride', 'month', 'black', 'life', 'matter', 'protest', '2020', 'justice', 'for', 'george', 'floyd']",trust,2.0,1.188,annoyed,10.0,1.5834222721508102,0.0,0.0,4.0,0.0,0.0,0.0,joy,4.0
Hollywood didn't kill George Floyd. Either did antifa. Stop trying to deflect blame. Trump IS Hollywood.,"['hollywood', 'did', 'not', 'kill', 'george', 'floyd', 'either', 'did', 'antifa', 'stop', 'trying', 'to', 'deflect', 'blame', 'trump', 'is', 'hollywood']","['hollywood', 'do', 'not', 'kill', 'george', 'floyd', 'either', 'do', 'antifa', 'stop', 'try', ""to'"", 'deflect', 'blame', 'trump', 'be', 'hollywood']",fear,1.0,0.9620000000000001,amused,11.0,1.8867818509927345,0.0,0.0,4.0,2.0,1.0,0.0,joy,4.0
I’m not going to sit here and judge how people are grieving the loss of so many lives to police brutality. #blm #GeorgeFloyd,"['i', 'am', 'not', 'going', 'to', 'sit', 'here', 'and', 'judge', 'how', 'people', 'are', 'grieving', 'the', 'loss', 'of', 'so', 'many', 'lives', 'to', 'police', 'brutality', 'blm', 'george', 'floyd']","[""'i"", 'be', 'not', 'go', ""to'"", 'sit', 'here', 'and', 'judge', 'how', 'people', 'be', 'grieve', ""the'"", 'loss', 'of', ""so'"", 'many', 'life', ""to'"", 'police', 'brutality', 'blm', 'george', 'floyd']",sadness,3.0,2.4539999999999997,sad,15.0,2.32057101737648,0.0,0.0,8.0,2.0,1.0,1.0,joy,8.0
November 2020 is gonna one of the biggest Months in US History!!!!! Make a Difference.....Be apart of the solution and not the Problem. #BlackLivesMatter ,"['november', '2020', 'is', 'gon', 'na', 'one', 'of', 'the', 'biggest', 'months', 'in', 'us', 'history', 'make', 'a', 'difference', 'be', 'apart', 'of', 'the', 'solution', 'and', 'not', 'the', 'problem', 'black', 'lives', 'matter']","['november', '2020', 'be', 'go', ""na'"", 'one', 'of', ""the'"", 'biggest', 'month', 'in', 'we', 'history', 'make', ""a'"", 'difference', ""be'"", 'apart', 'of', ""the'"", 'solution', 'and', 'not', ""the'"", 'problem', 'black', 'life', 'matter']",trust,2.0,0.766,inspired,19.0,3.2113015930758424,0.0,0.0,8.0,2.0,1.0,1.0,joy,8.0
#nocaptionneeded #BlackLivesMatter #Anonymous #autism #ice #hispanics #SocialDistanacing #QuarantineLife,"['nocaptionneeded', 'black', 'lives', 'matter', 'anonymous', 'autism', 'ice', 'hispanics', 'social', 'distanacing', 'quarantine', 'life']","['nocaptionneed', 'black', 'life', 'matter', 'anonymous', 'autism', 'ice', 'hispanic', 'social', 'distanacing', 'quarantine', 'life']",trust,2.0,0.75,amused,11.0,1.8205995938567756,0.0,0.0,3.0,0.0,0.0,0.0,joy,3.0
