Correction	ErrorFrequency	Errors
experiments	1	[experimentalize]
eighty	1	[eithty]
usually	42	[usualy, usully, ususlly, ususlly, usualy, ususlly, usuall, uaually, usurally, usuarlly, ususlly, useally, ususally, usurally, usally, ususally, ususally, usally, ususally, ususally, usuallly, ususlly, usuallys, ususally, ususlly, usualy, ususllay, usualy, ussally, ususlly, usuall, usully, ususlly, usully, ususlly, usualy, uauslly, usualy, uaually, usualy, uauslly, uauslly, uauslly, usully, usaully, ussually, usuary]
grew	1	[growed]
conversation	1	[coversation]
mention	1	[metion]
grey	14	[grew, gray, gre, gery, gery, grew, gew, gary, graw, gray, gery, gray, gray, gery, gray]
tripped	1	[triped]
ignore	2	[ingore, agnore]
pity	1	[pitty]
enjoyed	2	[enjoied, enjoied]
happier	1	[happir]
tone	1	[toun]
consumerism	1	[consumersism]
purple	6	[pruple, purle, porple, purle, purpel, puple]
invisible	1	[unvisible]
jazz	3	[jaz, jozz, jazs]
fruits	10	[fruids, fruite, fruite, friuts, fuirts, furits, frults, friuts, friuts, friuts]
excel	3	[excle, excle, exel]
enjoy	4	[enjou, enjon, enjony, enfjoy]
join	6	[[[joine, joint, jion, joing, jioning, jon]
solar	1	[sorlar]
taking	9	[takig, takeing, takeing, takeing, takeing, takng, takeing, takeing, takeing]
tasted	3	[taster, taseted, teastded]
beginner	1	[beginer]
broke	1	[broked]
farmers	4	[famers, formers, famers, fammer]
new	1	[now]
red	8	[rea, re, rad, rek, rad, rewd, rad, ren]
days	2	[dyas, das]
accurately	1	[acurately]
library	4	[liabrary, liabrary, lirary, lirary, liberary]
shorts	5	[short, shortts, short, short, shores]
having	15	[haveing, have, haveing, baving, haveing, haveing, haveing, haveing, haveing, haning, haveing, haveing, haveing, haveing, haveing]
snooker	1	[soonker]
advice	6	[advises, adivice, adivce, addvice, adivce, advise]
tastes	2	[tasts, tests]
resources	3	[rescources, resourses, resouces]
appalling	1	[appailling]
noisier	1	[noiser]
designing	1	[desining]
change	6	[chane, chang, chenge, chang, chang, chage]
exception	1	[expection]
took	6	[taked, toke, taked, toke, taked, taked]
spoken	1	[sopoken]
housekeeper	1	[housekeeping]
consumer	2	[cousumer, cosumer]
expenses	1	[expensed]
pretended	1	[pretent]
software's	1	[softwares]
qualification	3	[qualificantion, qualitification, qulification, qulification, qulification]
march	4	[marth, mach, match, marth]
personnel	2	[personnal, personnal, personel]
medical	2	[madical, madical]
height	2	[hight, hight]
basic	1	[bacis]
reputation	2	[raputation, repution]
composition	1	[comppsition]
grassland	1	[grasssland]
coughing	1	[couging]
karaoke	2	[kareokey, kalaok]
station	3	[statin, sation, [[staion, staion]
watch	26	[waching, wacth, wacht, wath, wurth, wacth, wach, wacth, wacth, wacth, wacth, wath, wacth, wtach, wacth, wahch, watck, wach, wach, whatch, wacth, wacth, wacth, wacth, wacth, wacth]
luck	2	[luch, lock]
yesterday	11	[yestaday, yestuday, yestoday, yestaday, tyesterday, yeaterday, yesteday, yesteday, yesturday, yestersay, yestoday]
far	1	[fay]
double	1	[[[doubl]
preferred	19	[prefered, prefered, prefererred, prefered, prefered, prefered, prefered, prefered, prefered, preffered, preferd, prefered, prefered, prefered, prefered, prefered, prefered, prefered, prefered]
much	5	[moch, muc, mucht, mch, mush]
country	10	[coutry, coutry, councty, contry, countril, countrie, contry, contry, coutry, counry, contury]
necessities	3	[necessarities, necessarites, nesseralies]
involved	4	[incolved, involoved, invovled, involced]
tremble	1	[tramble]
often	46	[offten, offten, offen, ofen, offen, offen, ofen, offen, offen, offen, ofen, ofen, offten, offten, ofen, ofen, offen, ofetn, ofen, ofen, ofter, offten, ofen, ofen, offen, offen, offen, offen, ofter, offen, offen, offen, offen, offten, offen, offen, ofen, ofen, ofter, ofen, ofren, offten, offten, ofen, ofen, aften, offen, opten, ofen, ofter, oftern, ofen, ofen]
healthier	1	[heathier]
wears	1	[wearing]
opinions	6	[oppinions, opions, oponion, oppions, opnions, opnions]
make	4	[amke, mark, mae, meke]
room	6	[romm, hoon, romm, roon, roon, roon]
smelled	1	[smeels]
sweater	14	[sweatea, swater, sweather, seater, sweeter, sweather, sweather, sweather, steater, sweaker, seater, sweather, sweather, sweather, swerter]
connect	1	[conncet]
horse	2	[house, hors]
tried	1	[ttied]
organize	3	[orgnize, orgnize, origine]
through	12	[throught, though, thhriugh, throgh, though, throught, throught, throug, throngh, throuh, thougt, throught]
education	3	[enducation, eduation, enducation]
complaints	1	[complaits]
disturb	4	[distrub, disterb, disturbe, diturb]
business	59	[bussiness, bussines, buisness, bisiness, bussines, buisness, biscuess, bussiness, bussiness, busibess, bussiness, bussiness, businees, busniess, bussiness, buissness, busenes, bussiness, bussines, bussines, busniess, bussines, bussiness, besiness, bussiness, bussiness, bussiness, busuness, busyness, buisness, bussiness, buiness, businese, bussiness, bisness, bussiness, bussiness, bisiness, busniss, bussiness, bussiness, bussiness, businiess, bussniness, businless, bussiness, bussiness, bussiness, buiness, busineesed, bussiness, bueniess, bussiness, bussiness, busniess, bussiness, bussiness, busniess, busniess, bussines]
trainer	1	[tainer]
possible	11	[possibe, passible, posibile, posible, posible, possiple, possiple, poosible, possbile, posible, apossible]
following	5	[fllowing, followingly, the traveling  company named  youth travel service of china .the [[followwing, folllowing, flowing]
flute	1	[flut]
especially	18	[especialy, espectilly, expecially, espesially, espically, specialy, expecially, espcially, especailly, esepecially, expecially, especialy, espiacally, ecpeaciall, especilly, especiaally, expecially, specially]
rational	1	[reeational]
tries	1	[trys]
conformity	1	[comformity]
trained	2	[trainned, treened]
garments	1	[gvements]
concerts	1	[concers]
mail	1	[main]
assigned	1	[assaigned]
laboratory	2	[labotery, labratory]
colleague	5	[colleaque, collegue, collague, colleage, colleage]
finished	7	[finshed, finshed, furnished, finshied, finshed, fnishide, finshied]
gray	4	[pray, gary, dray, gary]
heavier	2	[havier, hevier, havier]
evacuation	2	[evaluation, evacuvation]
inorganic	1	[inoganic]
main	7	[maim, mian, mian, mian, maine, mai, mai]
tomorrow's	1	[tomorror's]
hello	39	[holle, hellow, hellow, hellow, hellow, holle, hellow, hlloo, hellp, halle, holl, holle, holle, helo, holle, hllo, hallo, hellow, holle, hallo, holle, holle, holle, hellp, holle, helle, heoll, helle, hellow, holle, hlello, halla, helllo, holle, hallo, holle, heloo, holle, holle]
advantage	1	[adventage]
which	11	[wichi, wihch, swhich, wich, whick, whitch, wich, whice, whicch, witch, whihc]
ran	2	[run, run]
relations	1	[realions]
female	18	[femal, femal, femal, femal, famel, fmale, felmale, famale, femal, famale, famale, famale, famale, efmale, famale, femal, femal, fale, famle, famale]
headache	3	[headacke, headcahe, headach]
peace	1	[pease]
inside	2	[insde, in side]
exhaust	1	[exhauste]
brown	21	[bown, broen, brow, browen, brwon, brow, browm, browm, blown, blown, brouwn, brow, blown, buown, bround, blown, brow, i have big [[browd, blown, bronwn, broen, blown, browen]
prominent	1	[prominet]
assessment	2	[assesment, accessment]
fainting	1	[faiting]
deposit	3	[depoit, dopsite, deposite, depoit, depoit]
honey	1	[heney]
help	18	[hlep, holp, helo, hlep, hlep, hely, heip, hlep, hlep, hlep, hope, helping, hlep, hepl, healp, heple, hlp, hlep, helps]
village	8	[villige, vallage, villege, villiage, villlage, vellage, viliage, villiage]
wholesale	1	[holesale]
sewer	1	[seawer]
recently	2	[resently, recentlly]
empty	1	[empety, empet, empety]
report	3	[reporte, repot, reprot]
mechanical	4	[machanical, machenical, mechinical, mechenical, mechnical]
influenced	1	[influeced]
capability	1	[capobilty]
unluckily	1	[unlucky]
support	1	[surpport]
volleyball	13	[volleybll, vollyball, vollyball, vollayball, vollyball, vollyball, velloyball, volleybay, vollayball, volleyrball, vollewball, voilyball, vollball]
searching	2	[seaching, seatching]
menu	7	[meun, manu, meun, meau, menue, memu, meanu]
recommendation	1	[recommedation]
job	25	[jop, joh, jop, jod, jod, jb, jop, jop, jop, jop, jop, jop, jop, jod, jop, jub, jot, jub, jub, jib, joy, jop, jod, jot, jop, jop, iob, jod, jub, jod]
health	2	[healty, healh]
hamburger	3	[hamberg, humburger, hambuger]
belts	3	[blets, pelts, bels]
cornerstone	1	[conerstone]
sandwiches	28	[sanweiches, sandswitches, sandviches, sanwiches, saudwiches, sangwiches, sandwines, sandwishs, sandwishes, sandwishs, sand wiches, snadwiches, sandwishes, sandwichs, sanwiches, sanwiches, sandwitches, sandwithes, asndwiches, sandwices, sandrichs, sanwiches, sandwichs, sandwichs, sandwichs, sandwides, sandwichjes, sandviches, sandviches]
vacation	20	[vocation, vocation, vocation, vocations, vocation, vocation, vocation, vocation, vication, vocation, vocation, vacatin, vaction, vication, vocation, vocation, vocation, vocation, vocation, vocations, vavation]
dentistry	1	[denty]
interpreter	2	[interperter, interpretor]
avenue	6	[avenus, ave, auenue, avn, averue, ave]
cardboard	2	[carboard, carboard]
descendants	1	[desendants]
western	1	[westen]
television	1	[televison]
waiver	1	[weiver]
retired	1	[retird]
bored	1	[borning]
easily	1	[easely, easely]
thought	4	[thouhgt, thougt, thouhgt, tought]
road	7	[rd, rd, roud, raod, rd, load, rod]
space	1	[spacet]
freezing	1	[freezen]
build	9	[buid, bulid, bulid, bulid, bulid, bulid, bulid, bulid, bulid]
decision	2	[decisoin, desicion]
villain	1	[villian]
mountains	8	[moutains, maintains, montians, montians, monutions, montains, mantains, mountians]
riding	1	[rida]
saxophone	7	[saxphone, saxphone, saxphone, saxphone, saxphone, saxfhone, soxaphone, saxphone]
publicity	1	[publicty]
construction	3	[contructions, contruction, coustruction]
built	3	[bulit, bulit, bulit]
helpless	1	[helphess]
athlete	1	[athelete]
crowded	2	[croweded, crowed]
medication	1	[madication]
water	14	[wate, wayer, watre, walte, walter, warter, watet, watre, warter, waer, weater, warter, watre, warter]
held	2	[holded, hold]
marketing	28	[markiting, markiting, market ing, maketing, marking, markting, markineting, markerting, markting, markting, marketign, marking, maketing, maketing, maketing, marekting, markeing, markting, markering, marking, maketing, markting, markting, marketings, marketting, markting, markeing, marketting, marcketing, marking, markting, markeing, matketing]
officials	1	[offical]
pollution	1	[polution]
movie	9	[moive, moive, moive, moive, moive, moive, moive, moive, moive, moive, move, moive]
helps	1	[help]
suggestions	5	[suggestons, suggustions, seggestions, suggesstions, suggections]
mansions	1	[masions]
diploma	2	[dispolma, diplomar]
fourth	14	[fouth, fouth, fouth, fouth, forth, forth, fouth, foutrh, forth, fouth, fouth, forth, fouth, fouth, fouth]
sending	10	[sendding, seding, seding, senting, senging, senting, sendding, sanding, seeting, sanding]
vomiting	3	[vomting, vomitting, vomitting]
boyfriend	17	[boyfried, boyfried, boyfreind, boyfreind, boy friend, boyfrind, boyffriend, boyfirend, boyfirend, boy friend, boy friend, boyfreid, bf, boyfirend, boyfreind, boyfreind, boyfiend, boy friend]
worried	3	[worrid, worrid, worryde]
club	2	[culb, clube]
improvement	7	[improvenment, improvment, improvent, improvent, improvent, improvemnt, improvemet]
guitar	32	[gita, guiter, guita, guita, guita, guitatr, guita, guita, gitar, guita, guiter, guriter, guita, guita, gurtia, gata, guita, guita, guitta, guiter, guita, gutir, guita, guita, guita, guita, guita, guita, guita, guita, gitar, gaitar]
square	2	[suqre, squre]
strengthen	2	[strenghen, strenthen]
telephone	2	[telephoe, telephaone]
nose	4	[nourse, noes, noose, nouse]
hike	1	[hik]
pencils	12	[pencrls, penclis, penicls, pencls, penclis, penciles, penicls, penciles, penclis, penclis, penciles, penclis]
truly	7	[truely, truely, turely, tuly, truely, truely, turely]
apply	1	[appy]
manufacturing	17	[manfacturing, manufactuary, manufactruing, manafacturing, manufaturing, manufactuning, manufactuing, manufacuring, manufacturying, manufaturing, manufactory, manufactory, manufactory, manafacturing, manufacuring, manufactureing, manufactoring]
attractively	1	[attactively]
single	1	[singal]
oriental	1	[orinental]
mess	1	[mees]
furniture	2	[furnitures, furnitures]
where	1	[wo]
every	31	[evrey, ever, evry, eyery, evry, erery, erery, erery, eveyr, ever, evry, erery, vevry, evey, very, ever, erery, erery, evry, enery, erery, evey, evrey, evey, evry, ever, evry, very, evry, evering, evry, erery, evey]
eight	11	[eingh, eighth, eighth, eihgt, eihgt, eihgt, enght, einght, eitht, einght, elght, eingt]
poisonous	1	[poisnous]
almost	3	[almostly, alomost, alomst]
sisters	1	[sisiters]
stunned	1	[stuned]
surveillance	1	[suiveillance]
experiment	1	[expriment]
wonder	2	[wond, wander]
writer	2	[wirter, writter]
grandma	1	[grama]
flexibility	2	[flexbility, felexibility]
younger	7	[youny, youger, yonger, remenber my [[yonger, yound, youger, youger]
painted	1	[paintd]
clothes	28	[cluthes, cloths, colthes, cloth, cloths, clouths, cloths, clothers, clocthes, cloths, colothes, cloths, clother, colthers, closthes, cloths, cloths, colther, clouths, clotes, cloths, clothse, clotheses, clouthes, chothes, colthes, clothers, chothes, blothes]
contract	2	[contact, contact]
easier	1	[easiler]
consumers	1	[comstomer]
farmer's	1	[famer's]
embedded	1	[imbedded]
rows	1	[ro ws]
exciting	39	[excting, exciteting, exiciting, excting, exceting, excting, excting, excating, excitin g, exacting, exicting, excithing, exceting, exiciting, exceting, excisting, exiciting, excting, axciting, exerciting, excitting, ecixiting, excisting, ecciting, exceting, excitingl, exsiting, exiciting, excting, exicting, excting, excting, excting, exicting, exceting, excing, excting, execiting, exicting]
arrangement	1	[arragement]
salespeople	1	[salepeople]
apple	2	[appe, appli]
crushed	2	[curshed, crashed]
dress	12	[drees, drees, jdress, drees, drees, drss, derss, drees, drees, drss, daess, drees, drees]
landlord's	1	[landload's]
chairman	1	[chairmen]
chess	1	[chees]
security	1	[secrecity]
disease	1	[desease]
shaking	1	[sharking]
enduring	1	[enduing]
requirements	14	[requienments, requirments, requirments, requirments, requirments, requirment, requiements, requiremnets, requiements, qruirenmens, requriements, requirmens, requriements, requirments]
investment	1	[investmeng]
curtains	8	[coutains, cutains, curtons, contains, coutains, curtians, cuetains, cartains]
prosperous	1	[prosperity]
below	3	[blow, bellow, bellow]
develop	2	[devalop, develope]
vandalizing	1	[vanladizing]
lonely	5	[lonly, lonly, lonly, lonly, longly]
relevant	12	[relevent, relevent, relevent, relevent, relevent, revelant, revevant, revelant, reievant, relevent, relevent, relevent, relecent]
major	6	[mayor, majory, majory, marjor, majoy, maior, majoy]
drug	1	[drup]
therapist	1	[atherapist]
dive	1	[dvire]
into	1	[ino]
regrettable	1	[regretable]
problem	4	[ploblem, promblem, proble, proplem]
offer	1	[offier]
hippos	2	[hoppoes, happos]
cheering	1	[cherring]
instrument	6	[insturment, intrument, intrument, intrument, intrument, instrmend, insrument]
bottle	5	[bollte, bpttle, botal, botal, bottel, botle]
daily	3	[dayly, dafly, darily]
entertainment	1	[entertaiment]
grammar	1	[mrammay]
schedule	3	[schdule, schedual, shedule]
remedy	1	[remdy]
cultivate	1	[cultivat]
tigers	1	[tiggers]
things	10	[thingd, thins, thngs, sth, thinks, tihings, thinks, thins, tings, sings]
spread	2	[spreaded, be [[spreaded]
forbidden	3	[forbidon, forbiddin, fobidden, fobidden]
sugar	2	[suger, suger]
thirteen	8	[thieteen, thriteen, thiteen, andthirteen, fhirteen, thirten, thriteen, thieteen]
estate	2	[estated, eastate]
technique	1	[technic]
professionals	1	[profesonals]
limited	1	[limites]
feeds	1	[feeks]
discussion	1	[discution]
appear	1	[appeard]
understand	6	[uderstanding, understant, understanded, stand, understnd, understang]
clinic	2	[linic, clinnic]
maintain	2	[mantain, maintainence]
everyday	29	[everday, everday, everday, erveryday, everday, everday, eveyday, everday, evryday, veryday, everday, evry day, vevryday, everday, everday, erery day, everday, everday, everday, erery day, everday, everyay, everday, everday, veryday, veryday, erery day, everday, evryday, everday, everydays, veryday, evey day, everday]
its	1	[it's]
production	3	[proudction, prouction, prodution]
temperature	37	[tempreture, tempreture, temperatur, temperatuer, temperture, tempreture, temperture, temprature, tempeture, temepreture, tempreture, tempture, temperatue, tempuiture, tempreture, temperture, temperatue, temperatur, temperture, tempture, tempreture, tempeture, tempurature, temperture, temperaue, temprture, temperture, tempreture, tempuratrue, temperuter, tempreture, temperture, tempreture, temperture, termperture, tempereture, temperatrue, tempreture, tempeture]
gourd	1	[gound]
feedback	2	[feedbacks, feedbacks]
although	13	[althrough, althrough, altough, althought, althought, alothugh, althogh, alothogh, [[althogh, althought, authough, alought, athough, allthough]
basically	1	[basicly]
yeah	1	[yeal]
communicate	14	[coummnicate, communiation, commjunicate, communinate, communicte, comunicate, communitcated, comunicate, communinate, comunicate, comunicate, communite, communcatied, comunicate, comunicate]
drink	14	[drinke, driink, dring, dirking, drinking, dink, dirnk, drinks, dring, drind, dink, dirnk, dinks, dink]
it'll	2	[tt'll, it'ii]
year	4	[years, yeay, yeari, yeas]
throat	5	[thoat, throut, thraot, thoat, throut]
tattoo	1	[cattoo]
worldwide	1	[with [[wordwide]
secondly	6	[sencondly, secindly, sencondly, sencondly, scondly, secordly]
sour	2	[sorce, saucer]
terribly	5	[terriblly, terrbly, terrielly, terrible, tribly]
laugh	1	[laught]
selling	1	[salling]
relatively	1	[reletevely]
sitcoms	4	[sitcomes, sticomes, sticomes, sitoms, sicoms, sitcomes, sitcomes, sictoms]
goodbye	18	[goodbey, goodbey, goodbey, goodbey, goodbey, good bye, good bye, goodbay, goodbey, goodby, doodbye, goodbey, goodbey, goodby, goodbyb, goodbay, good bye, goodbey]
suggest	2	[suggerst, suggent]
soup	1	[suop]
structures	1	[stuctures]
system	2	[systen, systerm]
thirty	78	[thrity, thiry, thity, thiry, thity, thiry, thiry, thiry, thrity, therty, therty, therty, threety, thiry, thiry, thiry, thrity, thiry, thrity, tirty, tirty, tirty, thrity, thrity, thirt, thirt, thirdy, thiry, thirhty, thiry, tirty, thiry, thrity, thrity, thirth, thiry, thiyty, thiry, twirty, thiry, thrity, threty, thrity, thity, thiry, thrty, tirty, thourty, thrty, thrity, thiety, thiry, thrity, thiety, thirtenn, theirty, thirth, thiry, tirty, thiety, tirty, tirty, thity, tirty, thrity, thrity, thirtfy, thiety, thrity, thrity, thirt, thrity, thiry, thiry, thrity, thirey, thity, thrity, thrity, thirt, thiry, thiry, tirty, tirty, thrity, thiry, thrity]
overcoat	1	[overcoad]
terrible	8	[terrbly, torribl, terrble, tirrible, teerible, terriable, terrble, terribel]
denim	1	[demin]
cheap	8	[cheep, cheep, cheat, cheep, cheep, sheap, cheep, cheeap, cheep]
grandparents	2	[grandparets, grandprand]
deadline	1	[dealine]
dreaming	1	[dreming]
machinery	3	[machinary, machinary, manchinery]
rug	2	[ruge, rag]
glasses	7	[glassess, galsses, glesses, glaaaes, glesses, classes, glusses]
minimum	12	[minium, minium, minmum, minium, minimun, minimun, minumum, minimun, mimimum, lower the delivery [[minimun, minimun, minium, minimun]
expensive	3	[expencive, expesive, expansive]
run	2	[ren, ren]
likelihood	1	[likehood]
laundry	40	[launsry, laundary, laundary, loundry, launday, loundry, launday, draundry, launndry, laundy, laudary, laungry, laudry, launday, lundry, landry, lanudry, launary, lanudry, launday, launday, launday, launday, launday, launday, laudry, laaundry, lundry, launday, laudry, laundary, laundy, launry, lanudry, lundry, landry, laundy, laudry, laundary, laundyr, laindry]
graduation	3	[gruaduation, gratuation, graduction]
adventure	1	[advanture]
strike	10	[stike, stike, stirke, strick, srike, strick, strick, stike, strick, strick, strick, skrike, strick]
life	2	[lift, live]
significant	1	[significative]
truth	1	[turth]
graduate	6	[granduate, gradulate, gratuated, gruduat, gradute, gradugate]
worked	4	[warked, woked, worke, worded]
written	8	[writting, writen, writen, writen, witten, writen, writen, writen]
ancestors	1	[ancester]
worker	2	[woker, weeker]
chickens	4	[chickenes, chickenes, chickenes, chickenes]
procedure	2	[prosedure, procedue]
sensitive	1	[sestive]
citizen	1	[citzen]
franchise	1	[franchiee]
teacher's	1	[teather's]
delayed	1	[dalayed]
documents	1	[docuumes]
trust	1	[[[turst]
snowy	5	[sonwy, sonwy, snowny, smowy, sonwy]
graduating	2	[graduaing, gradation]
learning	13	[learnning, leane, learing, learing, learing, learing, leaming, leanring, leaning, learnning, lenaring, leaving, learing]
young	11	[yoong, youny, youngh, yong, yonng, yong, yong, yong, yong, yuong, yong, yong]
medium	1	[small&amp]
snows	1	[snoes]
works	3	[workes, wroks, workes]
basket	1	[bosket, bosket]
printed	1	[piranted]
gardening	16	[gardenning, gardoning, garding, garding, gardenning, gardenning, grdening, gandening, garderning, gardering, gargening, gradening, grdening, gradening, gargening, gardning]
chart	1	[chrat]
upstairs	1	[upstair]
garden	4	[gargern, gardern, gardon, gardon]
quickly	9	[quikly, qunickly, fastly, quikly, quikly, qucikly, quicly, quicky, quckly]
reflect	1	[refelct]
world	6	[worl, worlds, word, wold, word, worldwild]
elementary	9	[elemantary, elemantary, elemendary, elemantary, elemetary, elemimtary, elementry, elementry, elemetary]
baggage	3	[baggages, baggages, baggages, baggages]
granny	4	[garnny, ganny, grannny, grnny]
reflected	1	[reflacted]
become	4	[becomes, becomeing, bacome, becom]
fairy	1	[fariy]
escaped	2	[scaped, espaced]
flues	1	[flus]
must	4	[muss, wust, mast, msut]
descriptions	2	[discriptions, describtion]
parting	1	[partting]
loser	1	[looser]
decades	1	[decedes]
fairs	1	[afair]
friends	66	[frends, frienfs, frinends, freinds, freinds, freinds, frend's, firends, firends, frinds, frinds, frenids, firends, frends, freinds, firends, freind, firends, frieds, friendes, firends, frieds, firend, friendys, freinds, firends, freinds, frends, froends, frends, frinds, frinds, frends, frends, freinds, friendas, frinds, frinds, frends, frieds, frends, frends, frieds, firends, firends, firends, frieds, friedns, freends, frends, fried, frieds, frineds, frends, freind, fridens, friengs, frends, friedns, frience, ferinds, frieds, frends, frenids, firend, frieds, frends]
practical	2	[practial, pratical]
considering	2	[considerating, considersing]
care	1	[cark]
province	25	[provinc, provice, provice, provnce, prince, provicne, proince, provice, provice, prevince, prevince, provice, provice, provicne, provice, provins, provice, provence, provence, provence, provice, proveince, provoince, provience, provice, provice]
rescued	3	[recused, resued, recured]
china	22	[chia, chine, chain, chian, chian, chinaes, chian, chian, chine, chinal, chian, chin, chian, chian, chian, chinai, chian, chine, cnina, chine, chain, chinn]
unhappy	1	[unappy]
scary	6	[scaraly, sacary, scray, scaried, scare, scare, scarry]
orange	17	[oran, orang, ornge, orang, orangre, oranger, orangen, orangen, orang, oranger, orang, orang, oriange, oranger, oranger, orang, oranger, oranger, oranger]
mouth	2	[mouse, mother]
housewife	4	[housewifery, hourswife, hoursewife, hosewife]
youth	1	[younth]
places	2	[palces, plances]
upgrade	3	[upgade, ungrade, upgrad]
skydiving	1	[skydring]
tourist	2	[touris, touist]
eggs	3	[egges, aggs, eegs]
ceiling	1	[ceilling]
email	18	[emil, emil, emile, emall, e-amil, emial, e-mali, emsil, ameil, emali, emill, emial, eamail, emil, emial, emial, eamil, emai]
desirable	1	[disreliable]
several	11	[severl, severval, serveral, sevral, serveral, sevral, severall, severl, sereral, serveral, serval]
freely	1	[freedomly]
shabby	5	[shaby, shaby, shaby, shaby, shaddy]
scarf	5	[scraf, scraf, carfe, scorf, scraf]
teacher	68	[teather, teatcher, tearch, teather, teather, teache, teather, teather, teather, teather, theacer, tezcher, tacher, teacther, techear, teather, teachar, theach, teacheer, teather, teather, teather, techer, techer, techer, theacher, teather, theacher, theacher, techer, teather, teather, tercher, teasher, tacher, teachter, techer, be with you what  [[teaher, techer, techer, teather, teather, teather, teather, teacter, tearcher, teather, teachers, teaher, teather, tether, techer, teather, teather, therever, techer, teacther, techer, teacerh, teachea, teather, techer, teather, teaher, teather, teather, teachar, teather, teather, tecaher, tcacher, teather, teachel, theacher]
cartons	1	[carturns]
teaches	4	[teachs, teachs, teachs, teachs]
early	4	[eary, ealy, earily, earily]
quarter	2	[quater, quater, quater]
attempt	1	[attent]
legal	1	[lengal]
famous	11	[famouse, famouse, fomous, famouse, famouse, foumas, famouse, famouse, famouse, famouse, famoue]
surrounded	1	[sourrounded]
socks	1	[stocks]
swimming	59	[swiming, swiming, swiming, swiming, swimning, swining, wimming, swiming, swiming, swiming, swiming, swiming, swiminng, swiming, siwmmig, swiming, swiming, swiming, swinning, swiming, swiming, swming, swiming, simming, swmming, swimmng, simming, swiming, swiming, swiming, swiming, swiming, swiming, swinmming, swinming, swinning, swinmming, swiming, soimming, smimming, swiming, swiming, swiming, swming, swiming, swimm, swiming, swinning, simming, swiming, swiming, swiming, swiming, swiming, swiming, swimmg, [[swiming, swiming, swinning, swiming, swiming, swiming, swiming, swiming]
leaving	1	[leaveing]
child	2	[childre, chiled]
continuously	2	[comtinuously, conteriously]
performance	5	[perfomance, performence, perfornmance, performence, performence]
dirty	3	[derty, diety, drty]
grateful	4	[gratefu, gratefull, greatful, greatful]
administrative	1	[administractive]
multiple	1	[multiole]
unfriendly	4	[unfriedly, unfriendy, unfirendly, unfriendlly]
