Correction	ErrorFrequency	Errors
purple	6	[purle, purpule, puple, purpul, puple, perple]
invisible	1	[invsible]
fruits	2	[frurts, fruites]
consultant	1	[onsultant]
suffer	1	[saffer]
astounded	1	[astoned]
excel	6	[exel, exel, exel, exel, exell, exele]
enjoy	5	[enjoi, enjoing, emjoy, injoy, enioy]
tasted	1	[tasr]
taking	3	[taiking, tacking, tacking]
broke	1	[brouke]
osteopathy	1	[osteopaty]
analyze	5	[analize, analize, analyse, analize, analize]
new	1	[nw]
including	2	[icluding, incliding]
red	4	[rad, rad, rad, rad, rad]
library	1	[libary]
guest	1	[gest]
shorts	3	[shot, short, short]
having	3	[haveing, haveing, havihg]
novels	1	[novells]
groom	1	[groome, groome]
advice	5	[advide, advices, advi?e, advace, advace, advi?e]
appalling	1	[appaling]
resources	3	[recourses, recources, resourses, resourses]
basis	1	[bases]
designing	8	[desing, desining, desining, desing, desing, desighing, desing, desing, desiging]
change	3	[chan?e, chage, charge]
exception	1	[exeption]
took	5	[tool, tool, tok, tooks, taked]
housekeeper	2	[houskeeper, housowner]
capital	3	[capitale, capiital, capiltal, capiltal]
expenses	9	[expences, expences, expences, expences, expences, expences, expences, expences, expences]
march	5	[marth, marth, much, mart, mach, mars]
personnel	1	[personnal]
medical	1	[medecin]
height	2	[hight, hight]
strengthening	1	[strenghening]
estimated	1	[estamated]
description	1	[decrepit]
technological	1	[tecnological]
affectionate	1	[affectional]
processing	1	[prossesing]
goalkeeper	1	[goalkepper]
station	1	[steishen.]
watch	16	[whatch, warces, wach, wath, wath, wach, wath, whatch, watsch, wach, wath, wath, warch, warch, watsh, wastch, whatch, watching]
luck	2	[luke, look, look]
yesterday	10	[yeasterday, yesteray, yeasterday, yesterda, yeasterday, yestarday, yerstayday, yestarday, yestarday, yestarday]
canvas	1	[canva]
belongs	1	[belonges]
label	2	[lable, lable]
display	3	[desplay, dispaly, displace]
preferred	5	[prefered, prefered, prefered, prefered, prefered]
borrow	1	[borroe]
much	9	[match, mach, mach, match, mach, mach, mauch, mach, mush]
mislead	1	[meslead]
country	9	[contry, contry, cantry, counry, coutry, cantry, coutry, contry, contry, coountry]
necessities	1	[necesities]
roof	1	[foor]
speech	1	[spech]
particularly	1	[particulary]
often	11	[offen, ?ften, offteh, offen, oftet, offen, offen, offen, otfen, offenly, offen]
active	1	[activ]
behavioral	1	[behaviorial]
recruiting	1	[recruting]
make	4	[mak, take, meke, nake]
raw	1	[row]
sweater	14	[sweatr, sweter, switer, switer, sweter, sweter, sveater, switer, sweter, switer, switer, switer, swiater, sweter]
horse	1	[hourse]
occasion	1	[ocassion, ocassion]
tried	11	[tryed, tied, tryed, tride, tryed, tryed, tryed, tryed, tride, tryed, tryed, tryed]
conveniences	2	[conveniecies, conviniences]
organize	4	[onganize, organaize, organaize, orginize]
through	7	[throught, throw, throw, throught, trought, throught, throught, throught, trough]
education	4	[edication, educaton, aducation, edukation]
palms	1	[plams]
business	78	[bussines, bussines, bussiness, buisness, buisness, buisness, bussines, buisness, buisness, buisness, bussines, busness, buisiness, bussines, bussines, bisness, bisiness, bisness, buisness, busuness, bysiness, busines, bissnes, buisness, bisness, busines, busness, busines, busines, businness, buisness, bisness, bussines, bussines, bussines, businees, buisness, bussines, buisness, bisness, bisenues, bussiness, bussiness, bisness, bisiness, bussines, busines, bussines, bisnes, bussnes, busines, bussines, bissnes, buisness, bisiness, bisiness, buiseness, bussines, bisness, bisiness, buisness, buseness, bisiness, bussines, bisness, busses, bisnes, bussines, bussines, bussiness, bussines, bissenes, busness, buiness, bussines, bussines, buisness, bussines, busines, buissnes, busines, busines, businnes, a [[bussines, bussines]
generous	1	[jenerous]
trainer	2	[treainer, treainer, treiner]
completely	2	[completly, complitely]
following	1	[followinf]
possible	4	[possibble, posible, posible, posible]
flute	1	[fluet]
especially	16	[espessialy, especialy, especailly, especialy, espesially, especialy, espesially, espesially, especcially, especailly, ecpecially, espetially, acpecially, especialy, esspecially, especialy]
cottage	2	[cottege, cottege]
treasure	1	[tresure]
tries	2	[try, tryes]
classic	2	[classik, classik]
colleague	5	[collegue, colleaque, collegua, colegue, collegue]
finished	4	[fiished, finnished, finisched, finisched, finiched]
equal	1	[equil]
destiny	1	[desteny]
gray	1	[drey]
heavier	14	[havier, heaver, havier, havier, havier, havier, havier, heaver, havier, havy, havier, havier, havier, havier]
evacuation	4	[avacuation, avacuation, avacuation, avacuation]
main	5	[maine, mane, mein, mean, maine]
hello	48	[hallo, hellow, ?ello, hallo, hellow, hellow, hellou, hallo, hillo, helloy, helloy, helo, hallo, hel, helloy, helo, hellow, helloy, hallo, hallo, helloy, hellow, hellow, hellow, helloy, helo, hellow, hellow, heiio, helo, hallo, hellow, helloy, hellow, hallo, hellow, hallow, hallo, hellow, hellow, hallo, helloy, hallo, hellow, hallo, hallo, helly, hellow, hellou, hullo]
moved	1	[mooved]
surgeon	2	[sergeon, surgion]
expected	1	[excepted]
which	41	[wich, whitch, wich, wich, wich, wich, wich, wich, witch, wich, wich, witch, wich, wich, wich, wich, wich, whish, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, for example [[wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, wich, witch]
charisma	1	[harisma]
ran	1	[runed]
headache	3	[hedache, headach, headacke]
female	2	[famale, feamel]
freeze	1	[freez, freez]
peace	1	[pease]
brown	28	[brawn, brawn, bwown, braun, broun, browen, browen, browen, broun, broun, brawn, brawn, broun, braun, broun, broun, broun, broun, brawn, brawn, brawn, brawn, broun, broun, browv, braun, brow, brawn, broun, braun, braun, broun, broun, broun, browm, broun, broun, broun, brawn, brawn, brawn]
suspicious	1	[suspictios]
fainting	1	[faiting, faiting]
impressed	2	[impresed, impessed]
jobs	1	[jods]
diverse	1	[diversed]
cycling	2	[cyclig, cyclig, cyclyng]
kiwis	1	[kivis]
rock	2	[rosk, rok, rok]
phobias	1	[probias, probias]
slogan	1	[slofan, slofan]
addendum's	1	[addendums]
help	13	[halp, lelp, halp, halp, hepls, hepl, halp, halp, hepl, halp, helm, halp, hepls]
mystical	1	[mistical]
festivals	1	[festifal]
wholesale	1	[wholesaie]
recently	1	[recentely]
dint	1	[dont]
influenced	1	[indlunced]
consequences	2	[consecquences, concequences]
shrimps	1	[shremps]
support	1	[suport]
volleyball	17	[volleyboll, wolleyball, voleyball, voleyball, voleyball, valeyball, vollyball, valleyball, voleyball, voleyball, voleyball, volleball, voleyboll, voleyball, voleyball, voleybol, voleyball, voleyball]
searching	3	[serching, seaching, seaching]
menu	2	[meny, meny]
recommendation	3	[recomendation, recomendation, recomendation]
job	15	[jop, jobe, jod, gob, yob, jod, gob, jop, jb, jop, jop, jobe, gob, fob, jod]
aerobics	1	[aerobiks]
phantom	1	[phanthom]
health	4	[helth, helth, thealth, helth]
shoulders	1	[shouldes]
belts	2	[balt, belfs]
rose	1	[rised]
subsidy	1	[subsity]
category	1	[cathegory]
sandwiches	13	[sendwiches, sandviches, sendwiches, sandwitches, sandwitches, sanswiches, sandiwches, sadwiches, sandwihes, sandwices, sandwishes, sandviches, sandwithes]
vacation	8	[vocation, vacacion, vocation, vakation, vocation, vacantion, vacaition, vacaition, vocation]
assortment	3	[assortiment, assortiment, assortiment]
avenue	7	[avenu, avenu, ave, avenu, avenu, ave, ave, avenu]
western	1	[westren]
inconvenient	3	[unconvenient, inconvinient, unconvinient]
pupils	1	[pupiels]
waiver	2	[wiever, waver]
television	1	[televison]
technician	1	[tachnical]
bored	1	[borring]
easily	1	[easely]
thought	5	[though, thouth, thougt, fought, thougt]
tablecloths	1	[tableclothes]
road	7	[roud, rood, rd., rd, roud, rd, rd]
space	1	[spase]
build	4	[bild, built, [[built, [[built]
express	1	[expess]
decision	12	[desigion, desision, decission, decicion, desigion, dessicion, desigion, decition, decition, desicion, desision, dicision, dicision, decesion]
banker	1	[bankir]
anonymous	1	[anonimous]
mountains	2	[mountins, mountants]
riding	2	[reding, raiding]
destroyed	2	[distroyed, destroed]
saxophone	2	[saxophon, saxofone]
adjust	1	[ajust]
construction	2	[constraction, constraction]
trading	1	[tradinq]
leaflets	1	[liflets]
athlete	1	[athlet]
crowded	2	[crouded, crouded]
water	8	[watter, wather, whater, watter, wother, wates, wather, wather]
concentration	1	[conccentration]
marketing	8	[markating, markiting, markening, marceting, markenting, martering, marketiong, marketiong, markiting, markiting, marketings]
vintage	1	[uintage]
officials	1	[officals]
enormous	1	[enormus]
movie	1	[moovie]
unknown	1	[unnown]
psychologist	4	[psychology, psichologist, psychologyst, psihologist]
fourth	9	[forth, foutrth, fouthr, fouth, forth, forth, forth, four, fouth]
diploma	3	[diplima, diplom, diplom, diplom]
cigar	1	[cigaret, cigaret]
vomiting	5	[voting, vomting, vomitting, vomoting, vomoting, voming]
boyfriend	7	[boy-friend, boafriend, boyftiend, boyfrend, boyfreind, boybfriend, boyfrind]
improvement	3	[impruvement, improvment, improvment]
alien	1	[allien]
guitar	13	[gitar, quitar, gitar, gitar, gitar, gitar, gitar, gitar, gitare, giutar, quitar, guiter, gutar, gutar, quitar, gutar]
square	2	[squre, squere]
fliers	2	[flyers, flyers]
nose	1	[nous]
telephone	6	[telefon, telefon, telefoun, telefone, telefon, telephon]
warning	1	[worning]
pencils	27	[pensils, pensils, pensils, pensils, pensils, pensils, pensils, pensils, pensils, pensils, pensil, pensils, pensils, pensils, pensils, pensils, pensils, pensils, pensils, pensils, pensils, pensilsa, pensils, pensils, penscils, pensils, pensils]
polite	1	[polait]
apply	8	[applay, applay, applly, apple, apple, aplly, aplly, applay, aply]
manufacturing	4	[manufacting, manufactoring, anufacturing, manufaturing]
disappears	1	[desappears]
impressionists	1	[impreessionists]
synthetic	3	[syntetic, syntetic, sunthetic]
entered	1	[intered]
contains	1	[containts]
mess	1	[mees]
where	2	[whear, wher]
every	13	[eavery, avery, avery, tvery, avery, avery, evety, everu, enery, avery, ewry, avery, avery]
furniture	2	[furnitures, furnitire]
eight	13	[eghte, eght, eght, eigth, eigth, eaght, ehgt, eighte, eigth, eiht, eigh, eigth, eght]
almost	1	[almoust]
panicked	1	[paniced]
postpone	1	[postpon]
gentle	1	[gentel]
muscles	1	[muckles]
analyzed	1	[analized]
focused	1	[focussed, focussed]
none	1	[noone, noone]
number's	4	[namber's, namber's, namber, namber's]
slicing	1	[slising]
younger	1	[youner]
scanner	1	[scuner]
hire	3	[hier, hir, hier]
analyst	1	[analist]
crocheting	1	[crochting]
clothes	31	[clothers, clotes, clothers, clothers, clothers, close, clouthes, clouthes, clothers, clothers, clouther, clouther, clothers, clotheses, closes, clothers, clothers, clothers, clothers, clothers, clothers, clothers, clothers, clouthes, clothers, clothers, clothers, clothers, clothers, clothers, clothers, clouses, clothers, cloth, clothers]
starters	3	[startes, startes, startes]
damage	1	[dammage]
psychotherapy	1	[psychotheraphy]
here	3	[hier, hier, heir]
equestrian	1	[equistrian]
rows	4	[raws, raws, raws, raw]
exciting	34	[exiting, exiting, exiting, exiting, exiting, exiting, exiciting, exiting, esciting, exiting, exiting, exiting, exiciting, exiting, exiting, excosting, exiting, exaiting, exiting, exiting, exiting, exiting, ex?iting, exating, exiting, excetting, exaiting, ixciting, exeiting, exicieted, exicieted, exiting, exiting, excitng, excitings, exicting]
economist	2	[aconomist, ekonomist]
console	1	[consol]
arrangement	2	[arragement, arrangements]
corporate	1	[orporate]
dress	5	[drees, drees, dreess, drass, drress]
crushed	2	[crused, cruched]
apple	2	[appel, appel]
theatre	2	[teatre, theather]
drastic	1	[drastical]
chess	7	[chesses, chees, chees, shess, shess, chees, chees, chesse]
security	2	[secirity, seciurity]
everyone's	1	[everyones]
females	1	[femal]
disease	3	[desease, desease, des ease, disiase]
requirements	16	[requirments, requiments, requirments, requirments, requierements, requiremens, requrements, requrements, reqierements, reguirements, requirments, requirments, requirments, requirments, requirments, requirments, reguirements, requiments]
curtains	4	[curtants, curtens, courtains, curtans]
alibi	1	[alabai]
skirts	1	[are all [[scirts]
allows	1	[alows]
gorgeous	1	[gorgeus]
develop	3	[develope, develope, develope, develope]
relevant	6	[relevang, a relevan, relevent, revelant, relevent, revelant]
vandalizing	2	[vandalizind, vandalazing]
answering	1	[answearing]
troubleshooting	1	[trobleshooting]
backgammon	1	[backgammons]
dive	1	[drive]
problem	2	[problen, roblem]
hippos	1	[hipos]
instrument	3	[instruvent, [[instrumente, instrumete]
interface	1	[intarface]
bottle	14	[boutle, bootle, bottl, bootle, bootle, botal, botle, bootle, bottel, bottlr, boattle, botlie, botle, botle, bootle]
daily	1	[dayly]
entertainment	2	[entartainment, entertaiment]
amazon	1	[amozon]
grammar	2	[grammatics, gramma]
balanced	2	[balenced, balancied]
schedule	5	[shedule, shedule, schedul, shedule, shedule]
remedy	3	[ramedy, remedie, remediy]
looked	1	[loked]
accidentally	1	[accidently]
scientific	3	[scintific, scietific, scintific]
things	8	[thinds, thinks, fhings, fings, thinks, thins, thinghs, thigs]
spread	4	[spreaded, spead, spreaded, spreaded, spreaded]
overtime	1	[over time]
advance	1	[advans]
estate	2	[eastate, eastate, astate]
sugar	2	[suger, suger]
thirteen	8	[therteen, therteen, fhreeteen, theteen, thriteen, thirteeen, thithteen, thriten]
practiced	1	[practic]
technique	1	[technoque]
limited	1	[limeted]
discussion	1	[duscussion]
understand	10	[undestand, undestand, understend, understend, undestand, understend, undestand, andestand, understant, undestand, anderstend]
appear	1	[apper]
treatment	1	[treatmeant]
everyday	3	[every day, every day, every day, every day]
production	1	[prodaction, prodaction]
teachers	1	[teacheurs, teacheurs]
temperature	4	[temprerature, temperatupa, temprerature, temprerature, temperuture]
feedback	2	[feedbacks, feetback]
exactly	2	[exa?tly, excactly]
although	4	[[[allthough, althougt, althought, althoung]
grandfathers	1	[granfathers]
communicate	6	[communiczte, coommunicate, comunicate, comunicate, comunicate, comminicate]
appealing	1	[appaling]
drink	6	[rink, dring, dreank's, dring, drinking, dring]
designers	1	[disigners]
movements	1	[movemets]
it'll	3	[it'ii, it'ii, it ll]
year	4	[eyar, ear, yaer, jear]
throat	6	[sroat, throut, thoat, troat, troat, froat, thoat]
tattoo	2	[tatoo, tatoo]
secondly	2	[secondaly, second]
terribly	2	[terebly, terribli]
sitcoms	1	[sitcomes]
goodbye	67	[goodby, goodbay, goodbay, goodbay, goodbuy, goodbay, good bye, goodbay, goodbuy, good bye, good bye, goodbuy, good buy, goodbay, goodbuy, goodbay, goodbay, googbay, goodbae, good buy, good bye, goodbay, good bye, [[goodb, good by, goodbyu, goodbay, goodbay, good by, good bye, good by, goodbuy, good by, good bye, good bay, goodbay, goodby, goodbay, good buy, goob bye, goodbay, goodby, godbye, good bye, good bay, goodby, goodbey, goodbae, good bye, good bye, goodbay, good bye, good bye, googbye, good bay, goodbay, good bye, goodbay, good-bay, goodbyu, cood bye, goodbay, good bye, goobye, goodbuy, good bay, good by, cood bye, good bye, goodbue, good bye, good bye, good bye]
under	1	[ander]
styles	1	[stile]
suggest	1	[sugges]
soup	4	[soap, soupe, sup, sop]
teams	1	[teems]
system	7	[sistem, sistem, sistem, sistem, sistem, sistem, sistem, sistem]
thirty	60	[therty, thrity, tirthy, thity, theerty, therty-, trirty, trety, trirty, therty, therty, thrity, thrity, thrity, thiry, threety, threety, threety, hirthy, thertee, thertee, thity, rtirty, therty, therty, thrity, therty, therty, trirty, trirty, therty, fhirty, thiry, thity, therty, thirtyn, thity, therty, therty, thirti, thety, thity, thorty, therty, therty, therty, therti, tirthy, thety, therty, twihty, thithy, thirtee, thifty, therty, therty, threety, fhirty, fhirty, therty, tirty, fhrity, therty, therty, therty, therty, therty, thirtee, thity, thity]
travels	2	[trevels, trevels]
terrible	3	[tarrable, tarrible, terible]
pregnant	1	[pregnan, pregnan]
documentary	1	[documentary's]
cheap	4	[cheep, chip, cheep, cheape]
rye	1	[ray]
buddy	1	[boddy]
machinery	1	[maschinary]
rug	1	[run]
glasses	3	[glases, glasees, glassies]
malicious	1	[malicios]
advise	1	[advice]
expensive	14	[expencive, expencive, expencive, expencive, expencive, experensive, expencive, exspensive, expencive, expencive, expencive, expencive, exspencive, expencive]
run	1	[ran]
rum	1	[rom, rom]
laundry	20	[luandry, loundry, laudry, landry, landry, layndry, loundry, laundary, laudry, loundry, laundary, laungry, loundry, laudry, loundry, loundry, loundry, loundy, loundry, laudnry]
cucumber	1	[cocumber]
strike	2	[strake, the [[strick]
adventure	1	[adveture]
life	2	[live, live]
sore	3	[soar, sole, core]
significant	2	[significance, sifnificant]
truth	1	[thruth]
graduate	4	[graduation, gratuete, gruduate, graguate]
worked	1	[woked]
written	1	[writen]
worker	1	[woker]
banisters	1	[hanisters]
bridges	2	[bridgs, briges]
candidates	1	[condidates]
citizen	3	[sitizen, sitizen, sitizen]
chips	1	[cheeps]
documents	1	[dokuments]
contrary	1	[contrarry]
snowy	3	[snowly, snowly, snowly]
learning	5	[lern, leaning, lern, learne, lerning]
young	7	[youg, yuong, yang, yong, yarng, yang, yong]
medium	1	[meddium, meddium]
works	4	[workes, woks, workes, workes]
narrow	1	[nerrow]
assignment	1	[assighnment]
epidemics	1	[epidemia]
printed	2	[print, printe]
gardening	9	[gardenning, gardenning, gardeningin, garderning, gardenning, gardenning, dardening, dardening, gardering, gardeninng]
congratulate	2	[congretulate, congratulat]
stays	1	[stayes]
equally	1	[equqlly]
quickly	3	[[[quikly, quicly, qui?kly]
world	5	[wolrd, word, worl, word's, word]
elementary	1	[elemetary]
arise	1	[araise]
baggage	1	[laggage, bagagge]
granny	5	[grannt, grammy, grenny, greany, grammy]
become	2	[bekome, becomme, becoome, becom]
musk	1	[musik]
emergency	1	[emergence]
you'll	3	[you 'll, you 'll, you 'll, u'll]
scientist	1	[scientistic]
flues	2	[flus, flus]
must	3	[mast, musted, muts]
friends	70	[frends, frends, frends, frends, frands, frands, frieands, freinds, freands, frends, frends, frends, freinds, my all [[frinds, frends, frends, i and my [[friens, frends, freands, frends, frends, frends, frends, freands, frends, frends, freands, frends, frends, freands, friens, friebds, frends, frends, frinds, frends, frends, frends, frends, frends, frends, freands, freands, ftiends, friens, frends, frends, frends, frends, freinds, freinds, freinds, frends, frends, freinds, freinds, frends, frends, freinds, frends, frends, freands, frindes, frends, frends, frends, frends, frends, freands, freinds, frends, frends, friedns, frinds, frinds, frends, friens, frends, frends, freinds, freund, freinds, frends]
grandchildren	1	[grandchilds]
nostalgic	1	[nostalgie]
repetitive	1	[repetative]
demand	1	[demande, demande]
scary	1	[scrary]
unhappy	2	[uphappy, uhhappy]
agreed	1	[argeed]
orange	9	[ogange, orang, orang, orang, orang, orrange, orrange, orang, orang, orande]
mouth	2	[mounth, mauth]
housewife	4	[housewive, housewive, houswife, houswife]
forest	2	[forset, foreast]
places	2	[plases, plases]
collaborate	1	[collobarate]
explains	2	[exlamation, exlamation, expalane]
tourist	1	[turist]
eggs	1	[aggs]
ceiling	1	[seiling]
email	2	[i-mail, i-mail]
shabby	1	[shubby]
teacher	18	[techer, cheacher, theacher, teether, theacher, techer, teache, thacher, thacher, theacher, techer, theache, teaher, techer, teatcher, tiacher, teahcer, teacer, thicher, teahcer]
visa	3	[viza, visum, viza]
scarf	2	[skarf, skarf]
medal	1	[madal]
early	1	[erly, erly]
quarter	2	[quater, quater, quater, quater]
engagement	1	[angagement]
famous	5	[famouse, famouse, famouse, famouse, famouse, famouse]
mouse	1	[mause]
walking	2	[walkig, wallking]
communist	1	[komunist]
socks	3	[socs, sokses, soks]
swimming	31	[swiming, swiming, swiming, swiming, swiming, sweeming, swiming, swiming, swiming, swiming, swiming, swiming, swiming, swiming, swiming, swmming, swiming, swiming, swiming, swiming, swimm, sweming, swiming, swimmimg, swiming, sweeming, swimmind, swiming, swiming, swiming, svimming, swimm, swiming]
cats	1	[kets]
child	2	[chirld, childe]
indirect	6	[inderect, inderect, inderect, inderect, inderect, undirect]
accessory	1	[acsessorise]
performance	8	[perfomance, perfomance, perfomance, perfomance, perfomanse, perfomance, perfomance, perfomance, perfomance, perfomans]
pigs	1	[porks, porks, porks]
dirty	6	[durty, durty, durty, durty, durty, durty, durty, dirtty, durty]
unusual	2	[unsual, anusfull]
grateful	5	[greatful, gradfull, greatful, greatful, greatful, graitful]
accidental	1	[accidential]
question	1	[quastion, quastion]
placed	2	[plased, plased]
unfriendly	4	[unfrendly, unfiedly, unfriedenly, infriendly]
granite	1	[granit]
yours	6	[your, your's, yors, your, your, yourth]
law's	1	[low’s]
advantages	2	[adventages, andvantages]
forecast	1	[forcast]
strength	3	[strenth, strenght, strongth]
community	1	[comunity]
engineer	26	[ingenier, enginier, enginer, engeneer, engeneer, engeneer, engenier, engeneer, engeneer, engeneer, engeneer, engenner, engeneer, engeneer, engeneer, engeener, ingener, engeneer, engeneer, engeneer, enginner, engeneer, ingener, engeener, ingineer, engeener, ingineer]
helped	1	[helpped]
soon	3	[sun, soos, soom]
appointment	1	[appointmet]
entrepreneur	1	[etrepreneur]
personally	1	[personaly]
representative	4	[representativ, representive, representive, representive]
charge	1	[chage]
seven	3	[sewen, sewen, sevenes, sevenhe]
microbes	1	[mycrobs]
foreigners	1	[foreighners]
sons	3	[suns, suns, san]
device	1	[devise]
watermelon	1	[watermalon]
historical	2	[histirical, historial]
high	10	[higt, higt, hight, hi, hight, hight, hight, hight, hight, hight, hign]
universities	1	[universitieas]
gloomy	1	[glommy]
very	26	[vary, wery, veru, veru, wery, veru, wery, veery, wery, wery, verry, vry, wery, vrey, vrey, vary, wery, wery, vey, wery, vaty, wery, wery, veri, wery, veery, wery, wery, veri]
rectangular	1	[reqtangular]
birth	1	[bith]
lacks	1	[lucks]
instructed	1	[instracted, instracted]
everything	4	[every things, everyting, everythig, everythin, everythin, everyting]
feels	1	[fells]
towards	1	[torwards]
zero	1	[ziro]
feather	1	[fether]
outgoing	1	[outqoing]
draw	1	[was he [[drow]
pins	3	[pils, ping, ping, pills]
apologize	4	[appology, appologize, appologize, appologize, appologize]
certificate	5	[sertificate, cetrificate, sertificate, sertificate, sertificat]
teamwork	2	[teamjob, teamworking]
stock	1	[stoch]
can't	7	[cann't, cann't, cant, cant, cann't, cann't, cant, cfn't, cann't]
typing	1	[taping]
pink	4	[ping, ping, pinc, pinc, pinck]
yourself	35	[yoursesf, youself, youself, youself, youself, yourseif, yuorself, youself, youself, youself, youself, youself, youself, youself, youself, youself, youself, youself, youself, yorself, youself, youself, youself, youself, youself, youself, youself, youself, youself, yorself, youself, youself, yorself, yourseif, youself, yuorself]
industry	4	[indusrty, industy, indastry, indusry]
working	11	[workind, woking, woking, workin, warking, wolk, workind, woked, woking, workin, woking]
wiser	1	[wisly]
continuous	3	[continiously, continious, continuos]
disadvantages	1	[misadvantages]
singing	4	[sihg, sining, sining, sining]
tasteless	1	[untasty]
raspberry	8	[ruspberry, rasberry, rasberry, rasberry, rasberry, rapsberry, rasberry, rasberry, ruspberry, rasberry]
again	4	[agane, adain, agein, agane]
josh	1	[jash, jash]
celebrities	3	[celebraties, selebrities, selebrities, celebreties]
overseas	1	[aworseas]
like	19	[likey, lake, laike, like's, licke, lake, lke, lake, lake, loke, lake, lake, lake, lake, lake, lake, like's, like's, ike, lik, lake, loke, loke]
teeth	9	[tith, teath, teef, teeh, theeth, theth, thees, teeths, theeth]
not	2	[no, nod]
many	7	[meny, mny, mane, meny, meny, meny, meny]
lifts	1	[lifs]
visual	1	[visial]
happened	9	[happend, happend, happend, happed, happend, happend, happend, happend, happend]
haven't	4	[have'nt, haven', did't, havn't]
thrillers	1	[trillers]
grown	1	[growed]
now	1	[nau]
start	2	[stat, star]
qualities	1	[qualites]
myself	2	[myselfe, myselfe, miself]
saving	1	[saiving]
conclusion	1	[colnclusion]
saw	3	[sow, sow, so]
