ori_sentiment,tweet_text,sentiment
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it!""",sadness
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year 2000. An illustration showed a frog between two pieces of bread.,disgust
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves.,joy
fear,"When I could not find my 2 year old daughter. I ran and looked for her everywhere and could not find her. I finally found her, she had gone to bed to sleep",fear
anger,When friends try to put me down or hurt me.,anger
sadness,Marriage crises. Boredom.,sadness
disgust,When someone makes advances that one does not want.,disgust
joy,When I passed the first examination that I had to repeat.,joy
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.,fear
anger,When my boyfriend went away for a month long holiday without me.,anger
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat; my boyfriend went to Greece for a holiday for a month.,sadness
disgust,When a dog is left whining outside a shop.,disgust
joy,The day I was told that I had been accepted as a student of economics.,joy
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people.",fear
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i.e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used .",anger
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future.,sadness
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen; they seemed to be enjoying themselves.,disgust
joy,When I found out that I had passed the last two exams by a margin of three marks.,joy
fear,When my father was ill and was waiting for the results of his tests.,fear
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me.,anger
sadness,When I failed an exam.,sadness
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago.,joy
fear,When I found out that my father had lung cancer and they did not know how long he would live.,fear
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had.",anger
sadness,When I did not get the salary increase that I had been expecting and understood how little one is work was appreciated.,sadness
disgust,When I was weeding the garden I found a lizard in my hand.,disgust
joy,"New year is eve 1983/1984, I met my girlfriend. We stood on the steps outside her parents home and I kissed her for the first time.",joy
fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue. I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go. The situation ended happily since there were no consequences.",fear
anger,The editor changed the heading of an article that I had written. He considered the heading to be derogatory towards the person I had written about.,anger
sadness,"A close acquaintance of the family died of lung cancer. Although it was expected, I still felt depressed.",sadness
disgust,"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers. The car was so badly damaged that they could not get the bodies out at the scene of the accident.",disgust
joy,When I got the loan for my studies.,joy
fear,I met intoxicated people with dubious intentions in a back alley one Wednesday night.,fear
anger,On the T.V I saw a news feature on South Africa. A policeman attacked a group of black people with a whip.,anger
sadness,The thought of having to read a boring book of 400 pages in English.,sadness
disgust,Grovelling people.,disgust
disgust,"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners.",disgust
joy,When my sister after a history of one abortion and one stillbirth gave birth to a perfectly healty boy.,joy
fear,"When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover.",fear
anger,"We were starting a student project, and the teacher we talked to was very negative and not very helpful.",anger
sadness,"When my boyfriend openly let me down, preferring another girl.",sadness
disgust,"I felt some disgust for my boyfriend for a time, after he had left me.",disgust
joy,"Unexpected visit by a close friend, whom I had not seen for half a year.",joy
fear,"I wandered by mistake into the safety zone of a shooting range, and was shot at.",fear
anger,Being treated unfairly.,anger
sadness,Breaking up with a girl.,sadness
disgust,Nothing.,disgust
joy,"When I was accepted as a student at the college, not having thought it possible.",joy
fear,"When I was the first to arrive at the scene after an accident, and found that a close school friend had been killed.",fear
anger,"I was accused of having done something, which I had not and got very angry.",anger
sadness,When my grandmother died.,sadness
disgust,Not applicable.,disgust
joy,"A couple of years ago during the summer holiday, I was fishing at a lake with my husband. Suddenly it started raining while the sun was still shining. I experienced a feeling of joy, happiness and fulfillment. the whole nature was full of music.",joy
fear,"I was alone at home, in bed reading a womens' magazine in which there were storiees of paranormal experiences. My leg was itching and I stretched my hand to scratch and I felt another strange hand. later I realized that it was the corner of the blanket",fear
anger,"I went to a lecture and once again it had been cancelled, this was the second time. One had a negative attitude towards the lecturer.",anger
sadness,"I heard that a former superior of mine had died, I was later at home home reading about it in the newspaper and I thought of our interaction and how it was no longer possible. The limited scope of human life is sad.",sadness
disgust,"In the tram there was a fat, sickly looking woman in front of me who was asking for directions in a thick voice. When she got up to go a disgusting smell of urine came from her. I felt that I would choke.",disgust
joy,"I had a summer job in Sweden, and my boyfriend came to meet me on my birthday.",joy
fear,"I went to practice in Sweden during summer, and I was afraid that I would not do well.",fear
anger,"In the holiday cottage of our association, two of my pals came to wake me up early one morning by bringing a radio played at the highest volume into my room it was the morning service at its loudest.",anger
sadness,My grandmother died suddenly last summer.,sadness
disgust,"My superior at the summer job swindled customers as much as he could, and once put me in a difficult situation after which I could not but detest him.",disgust
joy,"I was told quite unexpectedly that one wanted me to become the vice-chairman of our student organisation. I was really surprised and joy was the first emotion I felt, though behind it there was worry how shall I succeed ?",joy
fear,"Our tutorial group was soon to be divided, and we got a list of names of freshmen, out of which five were to be in my group. We read the names and then each group went its own way to a seminar room. I wondered how I would cope with the new situation and if I would succeed as a group leader.",fear
anger,"We were in a disco and the evening was not at all pleasant. Despite my not knowing why, I was angry with my companion. I let him feel my bad humour as I can not hide my feelings.",anger
sadness,"My grandmother died, and my mother called me one sunday morning in the Autumn. The way my mother told me about it, I hated her at that moment. She sounded as if she had been waiting for the death of my grandmother. I had lost a person close to me. I felt guilty too as I had been bad to my grandmother of late. I had not remained calm when she no longer understood everything so well.",sadness
disgust,"At the underground station, a drunkard came to speak to me. He tried to ask me something but I did not answer so he began to speak about me with his companion. I detested this dirty growling man.",disgust
joy,"Last night I had a chat with a fellow student. I had known her for about half a year, and for the first time we were speaking ""the same language""- meaning an inspiring discussion and encounter.",joy
anger,"I sometimes quarrel with my mother because she blames me, though I have not in any way been connected to some events.",anger
sadness,"After hearing about the death of my grandfather. First I could not believe it, but later I wept and felt the situation was hopeless. I felt lonely and wanted to be consolated.",sadness
disgust,"In the evening, while I was watching TV, my little brother came in and started eating food he had brought from the kitchen while I was trying to concentrate on the program.",disgust
joy,"I met a dear friend of mine after a long time. I expressed my feelings in our own usual way, by mutual scolding and abusing with complete understanding and by touching, patting and taking the hand of the other person, etc...",joy
fear,"I felt fear of the purest kind after a car accident. The incident and images of horror kept coming back to my mind. I wondered what could have happened to my sister, my friend and me, though nothing very serious actually happened.",fear
anger,"Two boys whom I know were telling me, in an indecent manner, how they had teased a young and shy girl I know. They had despised her conviction, scorned and touched her. I got very angry and did not try to conceal it and gave it back to them.",anger
sadness,"My sweetheart left me, or rather we decided to break it off by mutual consent. The consequences were unrestrained weeping, feelings of loneliness, hopelessness and disconsolation. I felt that I should find a friend, to talk to joyfully and to forget.",sadness
disgust,"Out of sheer curiosity, I went to see a pornographic movie in Copenhagen. The room was full of men, who panted and masturbated. Very disgusting.",disgust
joy,When I won a tennis match.,joy
fear,When my dog ran out on thin ice last spring.,fear
anger,When my tennis match was interrupted because a kid cycled right into the court.,anger
joy,Celebrations on the graduation day with the orchestra playing in the garden I am a part of this orchestra.,joy
fear,Risk of being involved in a fight after a party.,fear
anger,"I had a very heavy work load and two colleagues, whom I have nothing against, disturbed me by ""terror ringing"", i.e continously interrupting me by telephoning.",anger
sadness,After an exam which I failed.,sadness
joy,When I met an old schhol friend school love.,joy
fear,"When I was cycling to school, I nearly got knocked down by a car which overtook me too closely did not give me any swerving space.",fear
anger,"When I was deputy manager during the Summer, certain deputies took liberties, more than what was normal.",anger
sadness,"When I realized that my girlfriend, whom I like, and I were going to separate.",sadness
disgust,Dog dirt which thaws in the spring.,disgust
joy,Passed the last exam.,joy
fear,Was nearly knocked down by a car.,fear
anger,I reached the bus stop and realized that I had forgotten my bus pass.,anger
sadness,My current work load is too much. The feeling comes back from time to time.,sadness
joy,When my one year old son gives me a spontaneous kiss.,joy
fear,When someone close to me is travelling by car and is delayed.,fear
anger,When someone does something wrong which affects me negatively.,anger
sadness,When I think about my parents getting old.,sadness
joy,"An ex-colleague asked me if I was interested in working in their accounts bureau. They needed ""clever people"" and he had ""immediately thought of me.""",joy
fear,I was driving and a deer suddenly appeared in front of the car when there was a lot of traffic behind me.,fear
anger,I saw a report on T.V news on apartheid in South Africa.,anger
joy,When my girlfriend became pregnant.,joy
fear,When I nearly collided with another car.,fear
anger,The time when someone let the air out of the tyres of my cycle.,anger
sadness,When I read a lot and did not remember anything.,sadness
sadness,Long illness.,sadness
joy,When I passed an exam.,joy
fear,"When I was travelling by tram, I tripped and fell against the door. I thought that I was going to fall out.",fear
anger,When I missed the tram after having run for it.,anger
sadness,The inability to read a book at college.,sadness
disgust,If a guy one is not interested in makes advances.,disgust
joy,I worked at a lawyer is office during Summer and I got a very good reference from him.,joy
fear,I had been watching a triller a dark night in the country and I had to go the outside toilet on my own.,fear
anger,"When I am accused of something I have not done, I get unbelievably angry.",anger
sadness,"When I began to read a thick book, which I had a limited time to read. Also when I have a lot of work to do and I can not keep up.",sadness
disgust,Someone vomited on the street.,disgust
joy,When I was finally qualified for my profession.,joy
fear,Someone attacked me with a knife.,fear
anger,Someone drove into my car and then denied that it had happened.,anger
sadness,When I was told that my friend is wife had cancer.,sadness
disgust,When I saw a dog which had been knocked down by a car.,disgust
joy,I stopped working had a boring job.,joy
fear,"I was going home by car late one night when it was cold, dark and windy. I became rather panicky on the way to my house.",fear
anger,Quarrel in the family.,anger
sadness,When I am alone in a room with no contact with anyone loneliness drains me.,sadness
disgust,When I was on holiday someone vomited in front of me.,disgust
joy,When I get a hug from someone I love.,joy
fear,I was driving very fast on a small road and I met an oncoming car in a right handed bend. The other driver was on his own side of the road and I had to skid out of it to avoid a collision. It was dark.,fear
anger,My car had been towed away by the traffic police because it had been wrongly parked. However the sign had been put up only after I had already parked.,anger
sadness,After an operation I had to stay in bed for a long time.,sadness
disgust,I was forced to stay in the canteen and eat the food that I had not asked for but got it anyway.,disgust
joy,When I won an unexpected sum of money.,joy
fear,My 2 year old daughter disappeared in a moment of inattention; I was responsible for her.,fear
anger,A colleague asked me for some advice and as he did not have enough confidence in me he asked a third person.,anger
sadness,"I wanted to be pregnant and did not succeed, so I was depressed at every menstruation.",sadness
disgust,"In a warm bus full of people, someone vomited and the whole bus stank.",disgust
joy,When I was at a party I met an old friend from an adult education course. We had not met for 2 years but had both thought a lot about each other. A wonderful experience.,joy
fear,"When I was cycling through the park late one night, two people jumped out of the woods and tried to stop me. There were shouting something at the same time.",fear
anger,When close relatives tried to dissuade me from studying Psychology because of its low status.,anger
sadness,I had a long discussion on politics with an acquaintance. He was more knowledgeable than me and I failed to explain my point of view and was misunderstood so I felt depressed and left.,sadness
disgust,When I read a newspaper article on a young girl who had been raped and assaulted one night by several men when she was unconscious.,disgust
joy,When I recently got an appartment in central Gottenburg.,joy
fear,When I saw a large spider crawling up the wall.,fear
anger,My employer took too many aspirins for a bad back and also drank an enormous amount of spirit. This was dangerous and he did not understand that he had done anything wrong.,anger
sadness,"When I left New York, and all my family and my friends behind me.",sadness
disgust,When I slept with a guy because my best friend wanted me to. He had never had intercourse with anyone and had a terrible complex about it.,disgust
joy,When my son returned from mountaineering healthy in body and soul.,joy
fear,When one meets new people with whom one is forced to collaborate with.,fear
anger,The sports fishermen who catch gulls instead of fish with their hooks. It is often a mistake but it makes me angry.,anger
sadness,I feel sad about an event I can not influence.,sadness
disgust,"When a member of the family complains about the food that is served, it disgusts me.",disgust
joy,When I was informed that I had been accepted as a student of Psychology.,joy
fear,When I was in a little fishing boat and we ran into hard weather in the open sea.,fear
anger,When I found out that the guy I was dating at a particular time had a steady relationship going on with someone else for a long time.,anger
sadness,I felt sad and depressed when I heard that our cat had died.,sadness
disgust,"When I was working as a nurse in a mental hospital, a patient ate up the contents of another patient is spitoon.",disgust
joy,When I was acceptted as a student of psychology.,joy
fear,When my son has a pain in his leg for no apparent reason.,fear
anger,"When, after a week at school, a teacher sent a note home saying that my son was inattentive and unable to do his lessons.",anger
sadness,When I thought that it was going to be impossible for me to start studying due to wrong information from the student advisor.,sadness
disgust,"At a certain person is lack of cleanliness, at home and personally.",disgust
joy,When my son was born.,joy
fear,When I nearly drowned in icy water wearing ice skates. It was difficult to get out.,fear
anger,When I was pointed out as a problem child in primary school and my mother took the teacher is point of view.,anger
sadness,When I was accused of neglecting work for the wrong reasons.,sadness
disgust,"My parents attitude towards each other when they should become reconciled, despite my father is long-time addiction.",disgust
joy,"When after 10 months of national service I was ""downgraded"" and did not have to do the remaining 5 months.",joy
fear,When I was reprimanded by the manager of the hotel where I worked during Autumn 1984.,fear
anger,When my parents drove me to a nearby place and went home immediately instead of waiting a few hours. They could have easily waited.,anger
sadness,When my ex-girlfriend and I discovered that there was a certain risk of her being pregnant.,sadness
disgust,When I was about to clean the draining board and saw it looked underneath the sink I live in a students hostel.,disgust
joy,When my older sister told us that she was thinking of joining the rest of the family for the winter sports holiday.,joy
fear,Slept in a chapel and in the middle of the night I realized that there was someeone else in the chapel. I never discovered who it was and why he was there.,fear
anger,"When we were in high school a few guys sometimes provoked a friend of mine. They called her a pig and then grunted. This irritated most of the girls. Once, one of the girls got angry at my friend and said something nasty and this made me terribly angry.",anger
sadness,I talked to my boyfriend on the phone when I was in high spirits and had a lot to tell him. I had been looking forward to this conversation and he did not listen to me to the extent that I had anticipated.,sadness
disgust,A mother who shouts at her child for nothing.,disgust
joy,When I got through the first day here at the department.,joy
fear,When I was cycling past a parked car someone opened the door and nearly pushed me off my bike and into the traffic.,fear
anger,When my boyfriend sat up half the night playing computer games with a friend.,anger
sadness,When I had to leave my mother and my sister after a week is visit.,sadness
disgust,When I saw a big spider from very close.,disgust
joy,When i was asked to be a child is godmother.,joy
fear,On the way down a ski slope which was difficult and steep.,fear
anger,When my mother interfered in my life.,anger
sadness,When I was left alone one week-end without being prepared for it.,sadness
disgust,The first time that I saw a surgeon cut off a leg and put it in a black rubbish bag.,disgust
joy,When my husband suddenly came to see me at my new job and brought some flowers and cake with him.,joy
fear,When I was nearly attackad by a man who had been chasing me.,fear
anger,"When my father asked me if I was a communist, at the same time he made it clear that I should no longer see myself as his daughter.",anger
sadness,"When I applied for a job which I thought I had a good chance of getting, I was not even granted an interview and did not get the job.",sadness
disgust,T.V features showing the violation of defenceless people.,disgust
joy,When we were able to afford a new sofa a leather one which cost SEK 20000. I had waited for it for 2-3 years.,joy
fear,Vertigo standing on a ladder and painting the house.,fear
anger,When my boss enrolled in a course to satisfy his own ends to trample on his associates. I have the misfortune to have one of my superiors in my course.,anger
sadness,When I argue with my mother about the way she treats her two children differently.,sadness
disgust,Spit and vomit.,disgust
joy,"When I recently managed to get my first consulting assignment ""myself"" i.e on my own initiative.",joy
fear,I was within a hair is breadth of knocking down a drunkard who suddenly ran into the street. The fear came later when I realized what could have happened.,fear
anger,"When my friend, as usual, forgot the tickets at home for a performance. We missed it.",anger
sadness,"The elections of 1982 and 1985. The thought of what a social democrat and communist majority could achieve, especially ""worker share"" funds and its extension.",sadness
disgust,"A study visit to a chicken factory : the butchery, the smell, the environment and the noise.",disgust
joy,When I was appointed to position of trust in a group set up to change the working environment.,joy
fear,I was alone in a cottage I often stay in. I was woken up by a rustling sound in the middle of the night.,fear
anger,"When I tried to explain to a plumber, face to face, that the toilet was broken and he did not believe it it had been mended ten times.",anger
sadness,When the result of a project work was treated nonchalantly intead of being criticized by the teacher.,sadness
disgust,When programmes on violence or pornography are shown on T.V.,disgust
joy,After my girl and I talked things over our relationship changed and became positive. A diificult time turned into pleasant one.,joy
fear,When we could not land our plane and we knew that the fuel was running out. Bad weather had already frightened us.,fear
anger,When I read about reagan is tactical decision concerning the South African boycott.,anger
sadness,When my half brother became seriously ill with cancer and died later.,sadness
disgust,A film were a woman was attacked and raped. One did not see the worst but it had the desired effect very strong.,disgust
joy,"When I was offered a high position of trust, which I later accepted.",joy
fear,I had the window open and the door was shut so that the kitten would not go out. My partner came in and started talking about something and I forgot about the window and suddenly I saw the kitten hanging from the window frame. I was rigid with fright till I got hold of her.,fear
anger,Some noisy guests arrived at the hotel. I had been slightly irritated earlier. At night when I was trying to sleep they were having a party so I went and yelled at them. I wanted to sleep as I had to get up early the next day.,anger
sadness,When I was told that I had not been successful in getting the job I had been expecting. I was sure that I was sufficiently qualified.,sadness
disgust,When my cat vomited and a worm came out which was still alive. I was forced to wipe it up.,disgust
joy,"Cycling in the spring sunshine gives me such delight. Happiness is to be healthy, my wonderful finance. Simply being here on earth.",joy
fear,"When my relationship with my family is very poor I often fear being excluded from the group, a fear which is stronger in situations when an argument is on hand.",fear
anger,"Recently when my sister, who is four years younger than me and very spoiled, shouted at my mother for no apparent reason . The heart-broken expression on my mother is face made me feel very angry.",anger
sadness,"When I watched the T.V programme called ""The living planet"" and saw the far reaching environmental destruction caused by man.",sadness
disgust,"Disgust is a feeling that I have never experienced with peoplie but , on the other hand, it has been with repulsive animals, i;e snakes on T.V.",disgust
joy,"On a boat trip to Denmark, 14 of us had a lot of fun and we spent SEK 10 each on one armed bandits and against all odds we won the jackpot of SEK 1000.",joy
fear,"A rainy day, I was cycling downhill and a car door suddenly opened and while trying to avoid it the back wheels of my bike got caught in the tram tracks. I somersaulted but had no injuries.",fear
anger,On the way home from Marstrand I was driving behind my father is car. Another car tried to push in front of my father and he was forced to swerve and he thus collided the car with a pillar. The other car drove off without even seeing what had happened.,anger
sadness,My girlfriend who had spent 6 months abroad broke off our relationship by letter.,sadness
disgust,At the police centre a man between 40-50 was brought in. He was very drunk and in all likelihood had not slept indoors for a long time and had relieved himself in his trousers.,disgust
joy,When I was at the end-of-term party last week and had fun was happy and sang and drank only soft drinks. It is possible to have a good time without alcohol.,joy
fear,Last Summer I was walking along the beach in a bikini and an awful man came cycling after me. He was shouting and I ran as fast as my legs could carry me.,fear
anger,In a course I thought that I deserved good marks but I only got ordinary marks with no justification as to why I was given these marks.,anger
sadness,When I crashed my car and it had to be scrapped then. It was my fault and I feel depressed as I miss the car.,sadness
disgust,"I had some sort of a stomach virus last week and I vomited in college in the morning, then in the cake shop, three times during the trip home and again when I got home.",disgust
joy,When I felt that my love was returned.,joy
fear,When I was convinced that someonne had broken into my flat and I woke up and heard sounds that frightened me.,fear
anger,"When it became clear that a man had used many people sexually and psychologically, despite the fact that many people looked up to him. I understood that one could not trust him and I was forced to hide this for a while.",anger
sadness,When I feel helpless after having tried to help someone without any result.,sadness
disgust,When I think now about the way my father behaved when filing a divorce.,disgust
joy,When I recently got a very positive answer from a clinic telling me that they would willingly assist and collect data for me for a clinical pilot study.,joy
fear,Every time I meet a certain dog that has once bitten me.,fear
anger,When after a lot of provocation my child threw a plate on the floor.,anger
sadness,When I realized that I could not communicate properly with my closest friend.,sadness
disgust,When I tried to explain to my child as to why there were magazines wiith naked girls on them at the kiosk.,disgust
joy,"When I began dansing, the teacher came and told me that I was very good and would soon get into the ballet academy.",joy
fear,"A late Saturday night I found myself locked in the central underground station of Stockholm with a group of 50 hard rockers who were drunk and equipped with various kinds of chains, etc.",fear
anger,"When I was forced to call the telephone company about a bill concerning a disconnected phone belonging to my landlord. The bill was four months overdue and in the meanwhile he had been using my phone, he seemed to have no intention of having his own phone reconnected.",anger
sadness,Whenever I read or think about the way people treat animals and nature.,sadness
disgust,When I saw a T.V programme on animals in the film world mistreated and used.,disgust
joy,When my 6 month old son is happy and well.,joy
fear,A four year girl ran away from her father straight in front of my car. I was forced to use the emergency brakes.,fear
anger,After an examine I had been satisfied with.,anger
sadness,When a colleague failed to contact me at the arranged time.,sadness
disgust,When I read racist slogans on the walls.,disgust
joy,When I gave birth to a healthy boy.,joy
fear,When my husband and I spent a night by ourselves in a house which was in an area on the outskirts of a large town with which we were not familiar. We heard strange noises outside the house and the house had glass walls so the whole thing was even more frightening.,fear
anger,Jealous of my husband is old girlfriend. We met her with her husband and there was a lot of reminiscing.,anger
sadness,When my daughter had problems with her friends and I could see her predicament from the window. She was given a the cold shoulder.,sadness
disgust,"When I was an auxiliary nurse at the hospital and I had to change the nappies, for the first time, of a very old and sick woman.",disgust
joy,When my husband and I decided to take a few days holiday after a particularly trying period.,joy
fear,Before a hospital visit prior to a D&C under anasthesia for an expected miscarriage.,fear
anger,Exchange of points of view with my sister on a family matter.,anger
sadness,Treatment to become pregnant with a negative result.,sadness
disgust,"When I woke up one morning and went to the kitchen I discovered that our dog had diarrhoea. There were small ""piles"" all over the floor and the smell was choking.",disgust
joy,When I gave birth to a child and saw that it was normal when it was put against my breast.,joy
fear,During labour when the foetal sounds became faint and there was a big alert for a forceps delivery.,fear
anger,"At a cash desk where I had gone to buy 16 rolls of kitchen paper at a reduced price. After queuing with screaming children; it turned out that I had taken two 8 roll packets instead of the one 16 roll packet to which the rebate applied. The assistant said ""You will have to get it another time.""",anger
sadness,When I first heard that Tage Dannielsson had died.,sadness
disgust,The lift of Stockholm central station stank of vomit and urine.,disgust
joy,The high school entrance exam.,joy
fear,"A gang of screaming and drunk youths ""captured"" a tram.",fear
anger,An unjust refree decision at a sports event when I was the team leader.,anger
sadness,When my girlfriend left me.,sadness
disgust,I was dominated by a certain person and even though I knew it I could not change my own reactions.,disgust
joy,"Yesterday, when the final whistle blew at the final match between OIS and IFK and it was certain that OIS had won the Swedish title.",joy
fear,I was teaching someone to drive and when we were about to crash I was scared.,fear
anger,A drummer who had borrowed my drums destroyed both the drumskin and the sticks. He did not repair them nor did he tell me about it.,anger
sadness,When my dad gives priority to my kid brother is band and his other activities. We both play in different bands and rehearse in my parents garage.,sadness
disgust,A friend unjustly put the blame on me to relieve his conscience and also spread lies for the same purpose.,disgust
joy,"When I dived among sharks and the brightly coloured fish on the outer reef of Tvavni, Fidgi.",joy
fear,"When I missed crashing, by a hair is breadth, into a man who came out 20 metres ahead of me when I was driving at 110km/h.",fear
anger,When I told off a computer teacher who did not want to teach me beacause of prejudice.,anger
sadness,When I could not do anything because of a bad back.,sadness
disgust,When I discovered that the house we had hired in Tonga was full of cockroaches.,disgust
joy,When I passed the driving test three weeks ago and got my licence.,joy
fear,When the car I was driving skidded on an icy road and landed in a ditch with one side against a rock.,fear
joy,When I met friends I had not seen for the last 2-4 years.,joy
fear,When a guy chased me when I was out jogging.,fear
anger,When the morning newspaper has not arrived.,anger
joy,"I feel unbelievably happy about the relationship between my boyfriend and me, it is a reoccurring feeling.",joy
fear,A reoccurring fear that something will happen to my relatives.,fear
anger,"When I argue with my boyfriend, I feel as though he feels superior to me.",anger
sadness,When I failed an exam last Summer. I had worked very hard for it and I was very disappointed thinking that it was hopeless to continue at college. I did overreact.,sadness
joy,I was very happy when I got an attractive Summer job.,joy
joy,The birth of my child.,joy
fear,"When I have to leave the baby in the carriage and go shopping, I fear that something will happen to the baby.",fear
anger,When during Winter the water pipes froze and we did not have any water for two days.,anger
sadness,I did not quite succeed in breast feeding my baby.,sadness
disgust,The smell of garlic in rush-hour bus.,disgust
joy,"During the Christmas holidays, I met some of my old friends, after not having seen them for six months.",joy
fear,"We were driving a car of a friend of mine when we turned in the wrong direction towards an unknown district, and nearly drove down a precipice.",fear
anger,When our religion teacher presented shocking sectarian thoughts and doom is day as official teaching.,anger
sadness,"My grandfather died, when I was an exchange student in the USA.",sadness
