sentiment,text,other,tweet_text
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard;  I was very scared till I managed to get him back onboard.",,"on the way back from denmark with a friend on a small yatch, there was a storm and my friend was blown overboard; i was very scared till i managed to get him back onboard."
anger,I locked myself out.,,i locked myself out.
sadness,I missed the last tram home and had to walk in the pouring rain.,,i missed the last tram home and had to walk in the pouring rain.
disgust,I found some worms in the food and I had obviously eaten some.,,i found some worms in the food and i had obviously eaten some.
shame,"My friend was so intoxicated that the police came and took him  away, and they later contacted his parents.",,"my friend was so intoxicated that the police came and took him away, and they later contacted his parents."
guilt,I hapened to overhear something which I was not meant to hear.,,i hapened to overhear something which i was not meant to hear.
joy,When I won a trip to Greece in a competition.,,when i won a trip to greece in a competition.
fear,When I am out in the dark and a suspicious looking character comes towards me.,,when i am out in the dark and a suspicious looking character comes towards me.
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me.",,"at work, when an elderly man complained unjustifiably about me and distrusted me."
sadness,When I had not understood anything after a lecture.,,when i had not understood anything after a lecture.
disgust,When an alcoholic stood dribbling over a food counter.,,when an alcoholic stood dribbling over a food counter.
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening.,,when my friend and i were discussing the good looks of a guy we realized that he had been listening.
guilt,When I complained about a colleague to the manager and he told her that someone had complained; this colleague came to me believing that I liked her.,,when i complained about a colleague to the manager and he told her that someone had complained; this colleague came to me believing that i liked her.
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends.,,at a friend is birthday party with some of my closest friends. it was all very pleasant and one could say that i was happy to have such good friends.
fear,On the way home one Friday night in the heavy rain the car acquaplanned.  I lost contact with the road surface for a few seconds.,,on the way home one friday night in the heavy rain the car acquaplanned. i lost contact with the road surface for a few seconds.
anger,Mad at my dad.,,mad at my dad.
sadness,A case of unrequited love.,,a case of unrequited love.
disgust,A bad smelling cucumber.,,a bad smelling cucumber.
shame,Nearly caught masturbating.,,nearly caught masturbating.
guilt,I do not help out enough at home.,,i do not help out enough at home.
joy,I felt very happy when I won the football pools.,,i felt very happy when i won the football pools.
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash.,,when i flew from athens to copenhagen after a holiday. the plane was caught in a storm and it began to shake and i thouhght that we were going to crash.
anger,When someone stole my bike.,,when someone stole my bike.
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it!""",,"when i saw the list of books to read for an acccouting course, i thought "" oh god how will i ever manaage it!"""
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year 2000. An illustration showed a frog between two pieces of bread.,,it was when i read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year 2000. an illustration showed a frog between two pieces of bread.
shame,When I dropped a bottle in the state liquor store and everyboby started laughing.,,when i dropped a bottle in the state liquor store and everyboby started laughing.
guilt,"When I was young - 14, I pinched from a store and was caught.  The store then contacted my parents.",,"when i was young 14, i pinched from a store and was caught. the store then contacted my parents."
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned.  It works out well and we enjoy ourselves.,,when the whole family gets together for a one week holiday. everybody feels free and the trip is well planned. it works out well and we enjoy ourselves.
fear,"When I could not find my 2 year old daughter.  I ran and looked  for her everywhere and could not find her.  (I finally found her, she had gone to bed to sleep)",,"when i could not find my 2 year old daughter. i ran and looked for her everywhere and could not find her. i finally found her, she had gone to bed to sleep confusion"
anger,When friends try to put me down or hurt me.  ,,when friends try to put me down or hurt me.
sadness,Marriage crises.  Boredom.,,marriage crises. boredom.
disgust,When someone makes advances that one does not want.,,when someone makes advances that one does not want.
shame,The discovery that one has only thought of oneself.,,the discovery that one has only thought of oneself.
guilt,When I spanked a child in anger and later regretted it terribly.,,when i spanked a child in anger and later regretted it terribly.
joy,When I passed the first examination that I had to repeat.,,when i passed the first examination that i had to repeat.
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.,,when i drove to stockholm for the first time and drove off the stora hissingen road at the wrong exit.
anger,When my boyfriend went away for a month long holiday without me.,,when my boyfriend went away for a month long holiday without me.
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat; my boyfriend went to Greece for a holiday for a month.,,last year when i worked during the summer holidays and studied at the same time for an examination i had to repeat; my boyfriend went to greece for a holiday for a month.
disgust,When a dog is left whining outside a shop.,,when a dog is left whining outside a shop.
shame,When I promised to help a friend over a weekend and did not keep the promise.,,when i promised to help a friend over a weekend and did not keep the promise.
guilt,When I realized that I had three more examinations to take.,,when i realized that i had three more examinations to take.
joy,The day I was told that I had been accepted as a student of economics.,,the day i was told that i had been accepted as a student of economics.
fear,"While taking a short cut through the Vasa park, I was surrounded  by three people who tried to steal my money.  I was scared and was saved only by the appearance of other people.",,"while taking a short cut through the vasa park, i was surrounded by three people who tried to steal my money. i was scared and was saved only by the appearance of other people."
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i.e non Swedish speaking.  My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used .",,"at a restaurant i observed how the gypsies tried to get money by cheating the foreigners i.e non swedish speaking. my anger had nothing to do with hatred against foreigners, but it was an expression of the anger i feel when i see people being used ."
sadness,At the begining of a new course one is afraid of encountering problems one can not manage.  Thoughts revolve around failing the subject and the consequences it would have for the future.,,at the begining of a new course one is afraid of encountering problems one can not manage. thoughts revolve around failing the subject and the consequences it would have for the future.
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol.  They terrified him with the thought of arrest by driving close behind him on a pedestrian street.  My disgust was directed at the gestures and the facial expressions of the policemen; they seemed to be enjoying themselves.,,while walking in town i noticed how the police harrassed a man who was under the influence of alcohol. they terrified him with the thought of arrest by driving close behind him on a pedestrian street. my disgust was directed at the gestures and the facial expressions of the policemen; they seemed to be enjoying themselves.
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier.",,"when my boyfriend revealed that he knew that i had discovered things of an important nature about him, i felt ashamed as i had not mentioned it earlier."
guilt,"When I am dishonest to a friend to whom I am very close.  I
feel guilty because I know that he gives a different version of
the truth and I have not corrected these mistakes, and he is
aware that I know that they are wrong.",,"when i am dishonest to a friend to whom i am very close. ifeel guilty because i know that he gives a different version ofthe truth and i have not corrected these mistakes, and he isaware that i know that they are wrong."
joy,"When I found out that I had passed the last two exams by a
margin of three marks.",,when i found out that i had passed the last two exams by amargin of three marks.
fear,When my father was ill and was waiting for the results of his tests.,,when my father was ill and was waiting for the results of his tests.
anger,"When I got caught in the pouring rain last Thursday and did not
have a raincoat on me.",,when i got caught in the pouring rain last thursday and did nothave a raincoat on me.
sadness,When I failed an exam.,,when i failed an exam.
shame,"When I had not prepared my contribution to the group as
thoroughly as the other members, with the result that the
overall result was poor.",,"when i had not prepared my contribution to the group asthoroughly as the other members, with the result that theoverall result was poor."
guilt,"When my father and I worked on the house just after he had
recovered from illness, I was rather lazy.  This meant that he
had to work hard and was not very well later.",,"when my father and i worked on the house just after he hadrecovered from illness, i was rather lazy. this meant that hehad to work hard and was not very well later."
joy,"When I gave birth to my son and saw that he was alive and that I
had managed it well.  He was born a month too early with a
malfunctioning lung.  This happened a year ago.",,when i gave birth to my son and saw that he was alive and that ihad managed it well. he was born a month too early with amalfunctioning lung. this happened a year ago.
fear,"When I found out that my father had lung cancer and they did not
know how long he would live.",,when i found out that my father had lung cancer and they did notknow how long he would live.
anger,"When a colleague asked me for help at work, despite the fact
that he had more time to do it than I had.",,"when a colleague asked me for help at work, despite the factthat he had more time to do it than i had."
sadness,"When I did not get the salary increase that I had been expecting
and understood how little one's work was appreciated.",,when i did not get the salary increase that i had been expectingand understood how little one is work was appreciated.
disgust,When I was weeding the garden I found a lizard in my hand.,,when i was weeding the garden i found a lizard in my hand.
shame,"When I met a friend whom I had not seen for a long time and
heard all about her troubles, I thought that I should have got
in touch with her earlier.",,"when i met a friend whom i had not seen for a long time andheard all about her troubles, i thought that i should have gotin touch with her earlier."
guilt,I got angry at my mother for something trivial.  We were in a bad mood because my father was very ill and I knew that my mother really needed support.  I had reacted wrongly.,,i got angry at my mother for something trivial. we were in a bad mood because my father was very ill and i knew that my mother really needed support. i had reacted wrongly.
joy,"New year's eve 1983/1984, I met my girlfriend.  We stood on the steps outside her parents home and I kissed her for the first time.",,"new year is eve 1983/1984, i met my girlfriend. we stood on the steps outside her parents home and i kissed her for the first time."
fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue.  I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go.  The situation ended happily since there were no consequences.",,"when i was stopped by plain clothes policemen because the car i was driving had overturned on the avenue. i had been driving too fast, and i was afraid when i was stopped, questionned and then toild to go. the situation ended happily since there were no consequences."
anger,The editor changed the heading of an article that I had written. He considered the heading to be derogatory towards the person I had written about.,,the editor changed the heading of an article that i had written. he considered the heading to be derogatory towards the person i had written about.
sadness,"A close acquaintance of the family died of lung cancer. Although it was expected, I still felt depressed.",,"a close acquaintance of the family died of lung cancer. although it was expected, i still felt depressed."
disgust,"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers.  The car was so badly damaged that they couldn't get the bodies out at the scene of the accident.",,"when i saw a picture, in the gothenburg post, of a totally demolished car with two fatally injured passengers. the car was so badly damaged that they could not get the bodies out at the scene of the accident."
shame,One night I had a sexual intercourse with another man.  My sexual desire and my curiosity had made me jump into bed with him.  I am ashamed of myself now.,,one night i had a sexual intercourse with another man. my sexual desire and my curiosity had made me jump into bed with him. i am ashamed of myself now.
guilt,"Due to laziness, I failed the term studies completely at University.  I also wanted, to some extent, to protest against my parents' expectations.",,"due to laziness, i failed the term studies completely at university. i also wanted, to some extent, to protest against my parents' expectations."
joy,When I got the loan for my studies.,,when i got the loan for my studies.
fear,I met intoxicated people with dubious intentions in a back alley one Wednesday night.,,i met intoxicated people with dubious intentions in a back alley one wednesday night.
anger,On the T.V I saw a news feature on South Africa.  A policeman attacked a group of black people with a whip.,,on the t.v i saw a news feature on south africa. a policeman attacked a group of black people with a whip.
sadness,The thought of having to read a boring book of 400 pages in English.,,the thought of having to read a boring book of 400 pages in english.
disgust,Grovelling people.,,grovelling people.
shame,My inability to assert myself positively in a group.,,my inability to assert myself positively in a group.
guilt,I experience feelings of guilt because I do not study enough.,,i experience feelings of guilt because i do not study enough.
disgust,"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners.",,"observing someone in the cafeteria noisily gulping in his food, having extremely bad manners."
shame,I guess I have often been ashamed after having talked badly of other people.,,i guess i have often been ashamed after having talked badly of other people.
guilt,Having been angry and unpleasant towards my parents.,,having been angry and unpleasant towards my parents.
joy,When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy.,,when my sister after a history of one abortion and one stillbirth gave birth to a perfectly healty boy.
fear,"When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover.",,"when my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover."
anger,"We were starting a student project, and the teacher we talked to was very negative and not very helpful.",,"we were starting a student project, and the teacher we talked to was very negative and not very helpful."
sadness,"When my boyfriend openly let me down, preferring another girl.",,"when my boyfriend openly let me down, preferring another girl."
disgust,"I felt some disgust for my boyfriend for a time, after he had left me.",,"i felt some disgust for my boyfriend for a time, after he had left me."
shame,Can't think of any.,,can't think of any.
guilt,"Before an accident, my aunt offered me the front seat of the car, next to the driver. I declined, she took that seat and was killed there when the car crashed.",,"before an accident, my aunt offered me the front seat of the car, next to the driver. i declined, she took that seat and was killed there when the car crashed."
joy,"Unexpected visit by a close friend, whom I hadn't seen for half a year.",,"unexpected visit by a close friend, whom i had not seen for half a year."
fear,"I wandered by mistake into the safety zone of a shooting range, and was shot at.",,"i wandered by mistake into the safety zone of a shooting range, and was shot at."
anger,Being treated unfairly.,,being treated unfairly.
sadness,Breaking up with a girl.,,breaking up with a girl.
disgust,Nothing.,,nothing.
shame,None.,,none.
guilt,Little contact with my father before he died.,,little contact with my father before he died.
joy,"When I was accepted as a student at the college, not having thought it possible.",,"when i was accepted as a student at the college, not having thought it possible."
fear,"When I was the first to arrive at the scene after an accident, and found that a close school friend had been killed.",,"when i was the first to arrive at the scene after an accident, and found that a close school friend had been killed."
anger,"I was accused of having done something, which I hadn't and got very angry.",,"i was accused of having done something, which i had not and got very angry."
sadness,When my grandmother died.,,when my grandmother died.
disgust,Not applicable.,,not applicable.
joy,"A couple of years ago during the summer holiday, I was fishing at a lake with my husband.  Suddenly it started raining while the sun was still shining. I experienced a feeling of joy, happiness and fulfillment.  the whole nature was full of music.",,"a couple of years ago during the summer holiday, i was fishing at a lake with my husband. suddenly it started raining while the sun was still shining. i experienced a feeling of joy, happiness and fulfillment. the whole nature was full of music."
fear,"I was alone at home, in bed reading a womens' magazine in which there were storiees of paranormal experiences.  My leg was itching and I stretched my hand to scratch and I felt another strange hand. (later I realized that it was the corner of the blanket)",,"i was alone at home, in bed reading a womens' magazine in which there were storiees of paranormal experiences. my leg was itching and i stretched my hand to scratch and i felt another strange hand. later i realized that it was the corner of the blanket confusion"
anger,"I went to a lecture and once again it had been cancelled, this was the second time.  One had a negative attitude towards the lecturer. ",,"i went to a lecture and once again it had been cancelled, this was the second time. one had a negative attitude towards the lecturer."
sadness,"I heard that a former superior of mine had died, I was later at home home reading about it in the newspaper and I thought of our interaction and how it was no longer possible.  The limited scope of human life is sad.",,"i heard that a former superior of mine had died, i was later at home home reading about it in the newspaper and i thought of our interaction and how it was no longer possible. the limited scope of human life is sad."
disgust,"In the tram there was a fat, sickly looking woman in front of me who was asking for directions in a thick voice.  When she got up to go a disgusting smell of urine came from her.  I felt that I would choke.",,"in the tram there was a fat, sickly looking woman in front of me who was asking for directions in a thick voice. when she got up to go a disgusting smell of urine came from her. i felt that i would choke."
shame,"When we were at home, my husband and I, he made a remark about something I had done, in a perfectly friendly manner.  My deed had been unjust and I knew that my husband was right, therefore my sense of shame.",,"when we were at home, my husband and i, he made a remark about something i had done, in a perfectly friendly manner. my deed had been unjust and i knew that my husband was right, therefore my sense of shame."
guilt,"I made a remark to my sister concerning her attitude to men, the way she talked and I compared her to an acquaintance of mine. Later, the same evening, my sister looked sad.  I felt guilty about her sadness.",,"i made a remark to my sister concerning her attitude to men, the way she talked and i compared her to an acquaintance of mine. later, the same evening, my sister looked sad. i felt guilty about her sadness."
joy,"I had a summer job in Sweden, and my boyfriend came to meet me on my birthday.",,"i had a summer job in sweden, and my boyfriend came to meet me on my birthday."
fear,"I went to practice in Sweden during summer, and I was afraid that I would not do well.",,"i went to practice in sweden during summer, and i was afraid that i would not do well."
anger,"In the holiday cottage of our association, two of my pals came to wake me up early one morning by bringing a radio played at the highest volume into my room - it was the morning service at its loudest.",,"in the holiday cottage of our association, two of my pals came to wake me up early one morning by bringing a radio played at the highest volume into my room it was the morning service at its loudest."
sadness,My grandmother died suddenly last summer.,,my grandmother died suddenly last summer.
disgust,"My superior at the summer job swindled customers as much as he could, and once put me in a difficult situation after which I could not but detest him.",,"my superior at the summer job swindled customers as much as he could, and once put me in a difficult situation after which i could not but detest him."
shame,Once I arrived two hours late to my work place (a bank) and I was still feeling feeble and tired.,,once i arrived two hours late to my work place a bank confusion and i was still feeling feeble and tired.
guilt,Our association had Polish visitors and when they were going back by boat I did not go to see them off (I am the chairman of the association).,,our association had polish visitors and when they were going back by boat i did not go to see them off i am the chairman of the association confusion .
joy,"I was told quite unexpectedly that one wanted me to become the vice-chairman of our student organisation.  I was really surprised and joy was the first emotion I felt, though behind it there was worry - how shall I succeed ?",,"i was told quite unexpectedly that one wanted me to become the vice-chairman of our student organisation. i was really surprised and joy was the first emotion i felt, though behind it there was worry how shall i succeed ?"
fear,"Our tutorial group was soon to be divided, and we got a list of names of freshmen, out of which five were to be in my group.  We read the names and then each group went its own way to a seminar room.  I wondered how I would cope with the new situation and if I would succeed as a group leader.",,"our tutorial group was soon to be divided, and we got a list of names of freshmen, out of which five were to be in my group. we read the names and then each group went its own way to a seminar room. i wondered how i would cope with the new situation and if i would succeed as a group leader."
anger,"We were in a disco and the evening was not at all pleasant. Despite my not knowing why, I was angry with my companion.  I let him feel my bad humour as I cannot hide my feelings.",,"we were in a disco and the evening was not at all pleasant. despite my not knowing why, i was angry with my companion. i let him feel my bad humour as i can not hide my feelings."
sadness,"My grandmother died, and my mother called me one sunday morning in the Autumn.  The way my mother told me about it, I hated her at that moment.  She sounded as if she had been waiting for the death of my grandmother.  I had lost a person close to me.  I felt guilty too as I had been bad to my grandmother of late.  I had not remained calm when she no longer understood everything so well.",,"my grandmother died, and my mother called me one sunday morning in the autumn. the way my mother told me about it, i hated her at that moment. she sounded as if she had been waiting for the death of my grandmother. i had lost a person close to me. i felt guilty too as i had been bad to my grandmother of late. i had not remained calm when she no longer understood everything so well."
disgust,"At the underground station, a drunkard came to speak to me.  He tried to ask me something but I did not answer so he began to speak about me with his companion.  I detested this dirty growling man.",,"at the underground station, a drunkard came to speak to me. he tried to ask me something but i did not answer so he began to speak about me with his companion. i detested this dirty growling man."
shame,"I was worried by a task related to my studies which had to be done in groups of two.  I was talking about it to my friends when I said something negative, in too abrupt a manner, concerning my work partner.  I did not quite mean what I said and I felt ashamed at having been mean enough to criticize him as he is also a friend of mine.",,"i was worried by a task related to my studies which had to be done in groups of two. i was talking about it to my friends when i said something negative, in too abrupt a manner, concerning my work partner. i did not quite mean what i said and i felt ashamed at having been mean enough to criticize him as he is also a friend of mine."
guilt,I had told my boyfriend that I did not want to go on with our relationship.  I knew that I was important to him but I wanted to be free.  I saw that this was difficult for him but I remained firm and did not change my mind.,,i had told my boyfriend that i did not want to go on with our relationship. i knew that i was important to him but i wanted to be free. i saw that this was difficult for him but i remained firm and did not change my mind.
joy,"Last night I had a chat with a fellow student.  I had known her for about half a year, and for the first time we were speaking ""the same language""- meaning an inspiring discussion and encounter.",,"last night i had a chat with a fellow student. i had known her for about half a year, and for the first time we were speaking ""the same language""- meaning an inspiring discussion and encounter."
anger,"[ I sometimes quarrel with my mother because she blames me, though I have not in any way been connected to some events.]",,"i sometimes quarrel with my mother because she blames me, though i have not in any way been connected to some events."
sadness,"After hearing about the death of my grandfather.  First I could not believe it, but later I wept and felt the situation was hopeless.  I felt lonely and wanted to be consolated.",,"after hearing about the death of my grandfather. first i could not believe it, but later i wept and felt the situation was hopeless. i felt lonely and wanted to be consolated."
disgust,"In the evening, while I was watching TV, my little brother came in and started eating food he had brought from the kitchen while I was trying to concentrate on the program.",,"in the evening, while i was watching tv, my little brother came in and started eating food he had brought from the kitchen while i was trying to concentrate on the program."
shame,My little brother was arrested by the police at the railway station after he had drunk some beer.,,my little brother was arrested by the police at the railway station after he had drunk some beer.
guilt,"At my temporary job, I have to restrict  others' actions and make them obey me, and this very often gives me  a feeling of guilt.  I wish there could be some other way of acting.",,"at my temporary job, i have to restrict others' actions and make them obey me, and this very often gives me a feeling of guilt. i wish there could be some other way of acting."
joy,"I met a dear friend of mine after a long time.  I expressed my feelings in our own usual way, by mutual scolding and abusing (with complete understanding) and by touching, patting and taking the hand of the other person, etc...",,"i met a dear friend of mine after a long time. i expressed my feelings in our own usual way, by mutual scolding and abusing with complete understanding confusion and by touching, patting and taking the hand of the other person, etc..."
fear,"I felt fear of the purest kind after a car accident.  The incident and images of horror kept coming back to my mind.  I wondered what could have happened to my sister, my friend and me, though nothing very serious actually happened.",,"i felt fear of the purest kind after a car accident. the incident and images of horror kept coming back to my mind. i wondered what could have happened to my sister, my friend and me, though nothing very serious actually happened."
