tweet_text,sentiment,sentiment_score,tweet_text_tmp
Im asking that every one pray for our city the that justice is served and this is the end of all of it PrayForBaltimore,trust,1.6409999999999998,asking served 
Perry Hall Maryland wa great tonight Im amazed every single time I share my testimony of how the…,trust,1.172,amazed share 
stupid parent leave their trash everywhere too trust me youre not too good to walk an extra 20 foot to a trashcan,trust,1.4220000000000002,leave trust walk 
Time to shut these mother fucker down in Baltimore Its all stupid teen breaking shit an throwing stuff at cop Time to shut it down,trust,1.133,shut shut 
I forgot how good Law amp Order wa,trust,1.164,forgot 
If you want to get me a present for being a pretty swell guy go buy me one those headband,trust,1.187,want get go buy 
but then again i dont expect him to be loyal anyways,trust,1.227,expect 
Can we start using the old school emojis again like xD Tongue sticking out cheeky playful or blowing a raspberry D,trust,1.4449999999999998,start using sticking blowing 
all Ive learned is to watch what you say to people you trust because theyre just going to use it against you regardless,trust,1.1960000000000002,learned is watch say trust going use 
is that beeotch ♡ heartsuit ♡ I love her unconditionally,trust,1.406,love 
Girl you earned it smirkingface,trust,1.132,earned 
But I know if I could do it over I would trade give away all the word that I saved in my heart that I left unspoken,trust,1.5000000000000002,know do trade give saved left 
But I know if I could do it over I would trade give away all the word that I saved in my heart that I left unspoken,trust,1.5000000000000002,know do trade give saved left 
on KPK they will go for good candidate In interior Punjab it will be all bradaree system,trust,1.3430000000000002,go 
Thank you for the opportunity to share my story in an effort to encourage other Survivors,trust,1.211,thank share encourage 
Love you regardless confusedface,trust,1.149,love 
eggplant hope you and ya new boo are doing good persontippinghand,trust,1.2970000000000002,hope doing 
I hope my mother buy what I asked smilingfacewithopenmouthclosedeyes,trust,1.383,hope buy asked 
will be snap chatting from my account tonight due to the fact that she ha an android,trust,1.25,chatting 
food is my best friend ever,trust,1.0859999999999999,
Why do I have this feeling ill be with turnup god at some point tonight,trust,1.135,have turnup 
The real hero right now are the one that are out cleaning up other people mess,trust,1.125,cleaning 
love you 2 God BlkShit,trust,1.375,love 
I am really like most of the presidential candidate from the Republican Party for 2016 Most are God centered,trust,1.632,centered 
Just posted a photo Victory Villa Elementary School,trust,1.117,posted 
leftysmall Victory Villa Elementary School,trust,1.117,
Here for Church LS Revival Center in Rosedale MD,trust,1.601,
Nothing like a dip in 55 deg creek water to get the blood flowing Ever the helpful 1st mate dropping pole off the dock NoPoleLeftBehind,trust,1.6719999999999997,get flowing dropping 
I hope Ye ha Jay drop you from the team you inconsiderate ignorant fuck,trust,1.344,hope ha drop 
what we like to see hard merchat the top of the leader board waterwave fishingpole fishingpole speedboat waterwave fish fish,trust,1.633,like see fishingpole fishingpole 
Expectations RUIN relationship raisinghands lightskintone,trust,1.2969999999999997,ruin raisinghands 
well whatever I said I apologize Hope you can accept it and we can move on Thanks for being a friend when I needed it,trust,2.571,said apologize hope accept move needed 
My fan base is petty they stay gettin on kim about her fucking makeup like can we just get her back on the chart first shit man,trust,1.367,stay gettin get 
Why yall worried about Kims look anyway the paparazzo dont follow her around we rely on selfies,trust,1.125,look follow rely 
Michael Kors Providing basic bitch with purse since broke white girl became mainstream,trust,1.4460000000000002,providing broke became 
But it also am not friend who arent loyal,trust,1.5,
Can a killer bee with their fact straight tell me why exactly did kim have all that surgery,trust,1.383,tell have 
Heavenly father first verse is speaking to me on crazy level,trust,1.609,speaking 
I love you no matter what bitch now drop this album,trust,1.235,love drop 
oh my god i hATE PEOPLE LIKE YOU,trust,1.101,hate 
Im an aspiring journalist Im all about freedom of speech Violent protester are a disgrace to that right,trust,1.773,
ALL life matter I pray everyone stay safe tonight foldedhands,trust,1.665,pray stay 
I hope my uncle save me a spot RIPSHANK,trust,1.242,hope save 
I swear the most talked about food on here is sushi Makes me hungry for it everytime I see the word,trust,1.141,swear talked makes see 
paige isnt being a true friend right now,trust,1.539,
FeministsAreUgly which childish person started this Such a broad statement that can easily be remonstrated and proven wrong,trust,1.289,started remonstrated proven 
Do you realize if you shoot all the police officer nobody is gonna help you with shit if youre in trouble because we wont have any left,trust,1.382,realize shoot gon help have 
Cause your mind is your strongest friend and weapon,trust,1.4300000000000002,cause 
what kind of example are you setting for future generation by acting like this,trust,1.125,setting acting 
God my only judge bitchtil then fuck justice FGEMIX,trust,1.906,fuck 
the United States criminal justice system is picking and choosing who the criminal are Thats not fair,trust,1.812,picking choosing 
it wa a figure of speech I know we need the police to maintain order but people are angry my nigga with good reason,trust,1.374,know need maintain 
fact they have 2 responsibility To Protect and serve I dont see any of the above happening,trust,1.797,have protect serve see 
The governor of maryland and the mayor of Baltimore called them thug FreddieGray is not being served justice EndTheViolence,trust,1.5779999999999998,called served 
u dont need none of that b your cool a Shit u need something icey hope u feel better love,trust,1.4380000000000002,need need hope feel 
Im not Pro Police Brutality amp sometimes line are crossed by Officers but these are the kind of people City Police deal with everyday,trust,2.125,crossed 
I just honestly dont feel like seeing this Its an embarrassment to my City I expect National Guard to be called within the next 48 hr,trust,1.4609999999999999,feel seeing expect called 
According to office no request made for National Guard Gov updated on situation DISGUSTED UNACCEPTABLE,trust,1.117,according made updated 
Ive had the highest mountain Ive had the deepest river You can have it all but like keep movin,trust,1.117,had had have keep 
who are you my fucking history teacher gtfo real shit how the legal system work today in society rioting am not gonna work sorry,trust,2.6179999999999994,gtfo work gon work 
hoziers voice i cant even find the word to describe how good it is,trust,1.094,voice find describe 
lrt yup the people who think there good in everything and everyone need to grow up and realize thats not how the world work,trust,1.109,think need grow realize work 
dont use the word gay it offends the whole homosexual community,trust,1.235,use offends 
exactly and who care bc it fast food not like it pay shit anyway,trust,1.25,care bc pay 
if you like vodka youll love it,trust,1.242,like love 
Just saw a girl high school soccer team get rekt hbu,trust,1.195,saw get 
Love working at white marsh mall feel so safe tonight,trust,1.774,love working feel 
Im currently praying for strength something tell me Im gonna need it lol foldedhands mediumskintone flexedbiceps mediumskintone girl mediumskintone syringe …,trust,1.461,praying tell gon need 
Im like a god damn silver back lmao,trust,1.101,
GOD there is so much stupid stuff I never got to do in High School,trust,1.148,is got do 
Bulls are the only team in the East that can beat the Cavs I dont trust the Hawks,trust,1.469,beat trust 
Dollar General Corporation Retail Job STORE MANAGER Essex MD Diversity VeteranJob Jobs Hiring,trust,1.766,
good because a week ago I felt like putting one in me,trust,1.101,felt putting 
good They stay on some sneaky shit bruh Be safe man,trust,1.6010000000000002,stay 
I love the feeling of my fav dildo sliding in my as now i want feel a real cock press against my as and slide in an feel it cum in me,trust,1.917,love sliding want feel slide cum 
Moms like howd formal go I said good nobody peed on the bus,trust,1.101,said peed 
People acting like we havent been protesting for year and shit changedim not advocating rioting im just saying,trust,1.148,acting protesting changedim advocating saying 
Took five sleeping pill praying to based God I pas out and not have to deal with the stress of the ignorant anymore,trust,2.266,took praying based pas have deal 
explains why girl dont like him doe am not neva gonna get that pootang being a creepy nigga,trust,1.444,explains like gon get 
hahaha youre good man Im not retarded enough to judge people based on trifling stuff like that facewithtearsofjoy smilingfacewithsunglasses,trust,2.109,judge based 
Sweet BJs all around All is good and safe while here in baltimore Riots are about 2530miles out…,trust,1.773,
God doesnt define between black and white he defines by saved and unsaved,trust,2.062,define defines saved 
keep up the team work TEAM CH0O it the effort that count never giving up and alway making your opponent work for it,trust,1.094,keep ch0o count giving making 
i dont know why these people confronting police officer about what happened I cant stand these ignorant ppl,trust,1.093,know confronting happened stand 
The finale show what a true classic Justified is remaining faithful to the heart and soul of the show Justified finale,trust,1.938,show justified remaining justified 
So stop being total asshole against our protector which are our cop Fuck all you disrespectful asshole out there and grow up,trust,1.6019999999999999,stop fuck grow 
how is that even relevant theyre both dead due to police brutality regardless so idk why youre bringingrace into it,trust,1.414,bringingrace 
EXACTLY like this is only gonna give police a reason to treat MORE like shit,trust,1.679,gon give treat 
invite to where ive been at the hospital everyday since saturday love,trust,1.719,invite love 
lm if u like the dance magnet girl more than u like anyone else in the vi art magnet lmaooooo,trust,1.21,like like 
I fucking love my brother he doing good i cant wait to see him and just hug him,trust,2.5460000000000003,fucking love doing wait see hug 
Its really sad that racism still exists in my generation and I truly hope we can put an end to it eventually,trust,1.141,exists hope put 
Why doe it matter The are in a domestic relationship,trust,1.133,matter 
they must cover the athlete because it the job but like all medium I wish it wa more even,trust,1.273,cover wish 
Oh shit Did shit go down Or like Happy stuff,trust,1.093,go 
With all due respect Councilman with the National Guard activated is urging citizen to the street to help a safe move,trust,1.922,activated urging help 
They say love is more important then money You ever tried to pay your bill with a hug,trust,2.7030000000000003,say tried pay 
Big brother are awesome revolvinghearts sib juju jru2000 Our Lady of Hope St Luke School,trust,2.1790000000000003,
Students rip school lunch ThanksMichelleObama ‘for screwing u out of a good meal,trust,1.148,rip screwing 
How great is our God Missions Sunday here At Eastern Assembly of God 10 am Sunday School amp 11am…,trust,1.632,
Being open minded is one of the best thing to be amp If everyone wa like that there would be peace victoryhand,trust,1.602,wa be 
This mother grab son start smack him so after talk to him for throw those object at police this mother did job,trust,1.1869999999999998,grab smack talk throw 
you coming out to DC with any of your pro era brother tomorrow I know you like to roll with ya crew,trust,1.5770000000000002,coming know like roll 
Pray for the peace of my city Baltimore FreddieGray,trust,1.118,pray 
Blacks want justice Yall keep taking life and expect a peaceful protest expressionlessface Gtfoh,trust,1.8359999999999999,want keep taking expect 
Official Eden Hazard win Player of the Year Congratulation Eden well deserved,trust,1.1960000000000002,win deserved 
Good day to be a Chelsea fan 6 player in the team of the year best player in the league and 10 point clear in the prem CFC blueheart,trust,1.281,
Carragher call Azpilicueta the best oneonone defender in the league Agreed no competition,trust,1.5620000000000005,call agreed 
Congratulations to both Frank Lampard and Steven Gerrard on their PFA Merit award both well deserved PFAawards,trust,2.18,deserved 
prayerrequest Stay Peaceful Baltimore for uncomfortable real conversation must be discussed Truth,trust,2.133,stay discussed 
And I love how everyone in the COUNTY is SOOOO affected by this facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy Yall opinion reign superior to all StopBitching,trust,1.094,love affected 
What is going on Baltimore but today ha been more peace what need peaceful,trust,1.25,going need 
Niggas really setting shit on fire againNiggas being like Mane fuck that curfew facewithtearsofjoy BaltimoreRiots,trust,1.14,setting fuck 
I have 3 week to train for this police test I need God on my side,trust,1.101,have train need 
How would you feel if your father brother charged you 600 buck a month to stay in his storage room neutralface neutralface neutralface,trust,1.234,feel charged stay 
I taught myself at a young age NOT 2 let other ppls action affect me If people wanna fucking riot let them Literally ha no affect on my life,trust,1.14,taught let affect wan fucking let ha affect 
This not about Freedie anymore sadlyppl is jus bored or blowing off steam from previous Police encounter Facts,trust,1.867,blowing 
Has peaceful protesting ever resulted into change In any matter at that Rioting is a direct result of protesting not showing result,trust,1.4769999999999999,resulted protesting showing 
The Bible Gods eternal truth can be trusted today,trust,2.532,trusted 
Going through social medium and only liking NFTY picturesposts,trust,1.093,going liking 
Once again Im shown proof that Im not important lol,trust,1.6880000000000002,shown 
man do I love getting threatened by a friend for nothin,trust,1.508,love threatened 
yeah thats true there both deserving of the award should be close,trust,1.3119999999999998,
I Need A Guy Best Friend smilingface Kinda Like A Gay Best Friend Gay Gaypride TeamGay TeamLightskin TeamDarkSkin,trust,1.625,need smilingface 
you know our love would be tragic so you dont pay it dont pay it no minddddd,trust,1.188,know pay pay 
Violence is not the answer If the rioter have true respect they would think about the family and what theyd want not looting and burning,trust,1.539,have think want 
Hunt cup seemed like a good time BlameDRD,trust,1.101,seemed 
Loyalty amp love R Not Jus Wordx,trust,1.5630000000000002,
RivieraBeach MD IT Job Epic Certified Clarity Report Writer Careers Maryland at Soliant Health Jobs Hiring,trust,1.3199999999999998,certified 
Epic Certified Ambulatory Application Analyst Job MD Soliant Health RivieraBeach MD IT Job Jobs,trust,1.851,certified 
These street am not da truth because these nigga still lying,trust,1.117,lying 
What store sell pill that clean ya System,trust,1.202,sell clean 
I gotta ROD it juss my trust be fuccin wit me,trust,1.125,got juss wit 
Nigcas bedda Hope God on dey Side wen I slide Odg Im shootn 2 Kill mfkas,trust,1.2970000000000002,hope slide shootn 
Rememba erbody Ain Loyal dat dat Real Sht,trust,1.391,
I shouldnt evn did dat shit now dis relationship dont evn seem real,trust,1.2969999999999997,did seem 
Omm dont ever love somebody unless da sht real,trust,1.399,love 
I swear sum mf Tweet Real Shit fo Retweets lol ion like dat it Fuuu,trust,1.4529999999999998,swear 
Everyone be safeHope you know how to stop and drop Lets go Os,trust,1.3519999999999999,hope know stop drop go 
Show your workBut you cant even show the work to begin to explain how to teach u what you just copied from the book,trust,1.367,show show begin explain teach copied 
I wonder when we will hear from the POTUS WE NEED GUIDANCE PrayForBaltimore PrayingForPeace BaltimoreRiots nottheway,trust,1.806,wonder hear need 
Watching safe haven loudlycryingface raisedfist,trust,1.289,watching raisedfist 
again my comment wa in response to yourswasnt a judgement of you it wa just a fact,trust,1.219,yourswasnt 
blueheart blueheart your mad weird but I love it my main homie,trust,1.149,blueheart love 
Did Stan Stovall just call this silliness Seven officer in the hospital car burning sillinessreally Stan wbaltvfail Baltimore,trust,1.14,call burning 
The respect I have for for steppin out of her box and understanding the real situation is incredible She get it,trust,2.079,have get 
This girl on the bus just said that her mother said she grew up to be ugly of course she wa white,trust,1.539,said said grew 
strength and I will continue to grow thumbsup lightskintone,trust,1.5699999999999998,continue grow 
Congrats YOU HAVE HAD AN INCREDIBLE YEAR Well deserved and earned DaytimeEmmys generalhospital,trust,1.648,had deserved earned 
Great time soaking up some wisdom amd insight from Civil Rights Leader Dr John Perkins,trust,2.031,soaking 
My bank account is happy Ive stayed in all weekend personbowing lightskintone,trust,1.5930000000000002,stayed personbowing 
Attention all white people woe doe not fucking mean friend,trust,1.094,woe fucking 
Morning Miss WendyIm a fairly new tuner inner to your show smilingface Love It Why do u saythat woman instead of,trust,1.704,miss love 
At the Maryland Youth Advisory Council meeting teaching my peer how to advocate,trust,1.875,teaching advocate 
ORPHEUS ST LP Bell white label promo bluecircle VINYL EXC largebluediamond COVER VG largeorangediamond 30 …,trust,1.461,largebluediamond largeorangediamond 
ORPHEUS ST LP Bell white label promo bluecircle VINYL EXC largebluediamond COVER VG largeorangediamond 30 …,trust,1.461,largebluediamond largeorangediamond 
on god i swear when i get into highschool imma focus on myself my grade and my future am not gon be in no clique or shit victoryhand mediumlightskintone ️ sleepyface book doubleexclamationmark ️,trust,1.234,swear get focus 
I read that you like lion and you are strong like one Keep getting better love me Steph TeamHoughKin,trust,1.804,read like getting love 
I dont normally like APAs but this one is pretty good Maybe it just the l Pale 31 photo,trust,1.4680000000000002,like 
Hi Nany Hope you are having a good day,trust,1.2970000000000002,hope having 
exactly Protesting is fine I understand that but I wish people would know all the fact first and keep it peaceful,trust,2.031,protesting understand wish know keep 
saved my as this weekend With a local show on Friday night amp a 4am arrival Sunday morning from Jersey it the absolute Truth,trust,1.7580000000000002,saved 
Woke up today feeling like a million bucksim gonna get that million too JustWaitOnIt,trust,1.291,woke feeling gon get 
Unity In Baltimore Stand For SimethingOr Fall For Anything NoJusticeNoPeace BlackLivesMatter…,trust,1.118,stand 
GOD HELP ME IF THIS IS REAL,trust,1.258,help 
Everyone please please please pray for my broski donny love you brother youll be okay i just know it,trust,1.922,pray love know 
Rather be a real man than a real nigga real talk guard,trust,1.4140000000000001,
I real live dont feel like school tomorrow yo neutralface,trust,1.656,live feel 
People who because destruction do so only because they dont have the strength to admit their own imperfection,trust,1.53,do have admit 
Usa repersenter athlete girlits truely girl like you that give Earth it most beautiful star that shine and I know for a,trust,1.2890000000000001,girlits give shine know 
love this show,trust,1.11,love 
De Gea kept United alive for about half the season Coutinho wasnt that impressive minus that month stretch,trust,1.1949999999999998,kept 
dude I dont think their brother Tyler like u He said you cussed at him one night,trust,1.132,think said cussed 
Im a good person with good intention and I will not apologize for being myself,trust,1.094,apologize 
Niggas be like 20 and over going to high school party these day facewithtearsofjoy sleepingface,trust,1.2880000000000005,going 
be safe buddy,trust,1.227,
Your belief are just a important a mineif you dont want to bake a wedding cake for me and my husbandso be itIll go somewhere else,trust,1.258,want bake go 
it wa a thing with my grandfather He liked them me not so muchbut Ill eat them for the memory,trust,1.164,liked eat 
I have a love amp hate relationship with reading old conversation,trust,1.4140000000000001,have hate reading 
This is ridiculous one race shouldnt be more important than the other AllLivesMatter Baltimore,trust,1.11,
Loyalty amp Trust,trust,1.61,
Shane is a complete douche bag Why do I still try to be your friend when you constantly ignore me,trust,1.367,try ignore 
be careful brother,trust,1.226,
JUST FUCKING RESPECT THE POLICE AND DONT ACT LIKE AN IDIOT,trust,1.7180000000000002,fucking act 
If you arent satisfied with our police force why arent you lining up to be an officer Thats how it work be the one to make the change,trust,1.093,lining work make 
THESE OFFICERS ARE PEOPLE AND THEY HAVE FAMILIES AND KIDS Work with the police not against them This is just so fucked up,trust,1.093,have work fucked 
I swear to god Im going to become a high ranking police office one day I want to help make the difference,trust,1.4289999999999998,swear going become want help make 
No matter what you do you cant make everyone happy IGiveUp,trust,1.0859999999999999,make 
A real boyfriend and girlfriend stand by each others side on good day and stand even closer on bad day no matter what manandwomanholdinghands speaknoevilmonkey twohearts lockedwithkey moneybag hundredpoints,trust,1.735,stand side stand twohearts lockedwithkey 
Drinking a Smells Like Freedom IPA by McMeade Tavern —,trust,1.226,drinking 
I love Imma stick closer to your side than a beeper You dont have to worry bout and you wont miss Me like,trust,1.242,love stick have worry miss 
I really dont like his face right now to be honest,trust,1.328,like 
Scared for our city of Baltimore today Praying that my friend are safe charmcity,trust,1.938,praying 
that is very good I am m friend,trust,1.367,
Theres no such thing a real love Embarrassed or blushing,trust,1.399,s 
When the human pencil message you back clappinghands mediumlightskintone Hes like my freestyle God please follow me foldedhands mediumlightskintone foldedhands mediumlightskintone smilingfacewithhorns fire,trust,2.156,clappinghands hes follow smiling 
When I Say I Love My Niggas Thats Cuz I Love My Niggas guard mediumdarkskintone guard mediumdarkskintone hundredpoints heavycheckmark ️,trust,1.531,say love love 
If I tell you I love you heartsuit ️ I mean that shit exclamationmark ️If you need something amp I got it then you got it whiteexclamationmark Loyalty is a Must hundredpoints,trust,1.5630000000000002,tell love mean need got got 
why you be getting mad at me like being committed is easy to do confusedface these nigga be all on my heals but they am not got NOTHING ON YOU ring facesavouringdeliciousfood seenoevilmonkey,trust,2.1710000000000003,getting committed do confusedface got 
these bitch be loving the crew but I never be fronting on you smirkingface,trust,1.844,loving fronting 
So happy I got In Love There Is No Law on CD,trust,1.914,got is 
so proud of my son since he started middle school he ha been doing exceptionally wellThat report card wa awesomeHonorRoll,trust,1.922,started doing 
Praying this Will be a peaceful protest and people coming together for justice for FreddieGray,trust,1.875,praying coming 
Lord Please keep my husband amp friend safe and the officer That are Trying to keep the street safe for themPraying Hard,trust,2.992,keep trying keep praying 
Love my guard girl even though we learned that work last night we pulled that shit off and caught it I caught my TOSS TURN AROUND,trust,1.258,love learned pulled caught caught turn 
Jaime look good in his father coat Yes,trust,1.2029999999999998,look 
Finally you admitted it,trust,1.476,admitted 
I just want to tell you mikayla I love you youre like my true love forever and even though you hate me Ill always be there,trust,2.031,want tell love hate 
Had a good Sunday last week of school before the Bahamas thing are lookin good relievedface,trust,1.148,had lookin 
How come some people be knowin they friend is getting played but dont say nun till after the relationship is over then they wanna say sum skull skull,trust,2.008,come knowin played say wan say 
Now Hiring Personal Banker Perring Parkway Financial Center Parkville MD Bank of America MD Par job,trust,1.844,
Wow Barnes amp noble sale associate just lied to me unamusedface,trust,1.117,lied 
Its like a dark cloud thats over my town and shit get real when the sun go down,trust,1.5630000000000002,get go 
Great mom Look at that kid dressed in black hoodie ready to break the law A conscience decision Change your life to be good,trust,1.7970000000000002,look dressed break change 
These kind of task actually req to be inducted in the HonorRoll society I just experienced that with my own granddaughter,trust,1.243,req inducted experienced 
absolutely 100 bold face lie in fact just the exact opposite is true wake up,trust,1.516,
Earlier in Church smilingfacewithhalo Lord please forgive me smilingfacewithsmilingeyes skull,trust,1.4840000000000002,forgive 
Im all for equality but i also stand for making baltimore a better and safe place It cant end up like Ferguson,trust,1.883,stand making end 
Pros this week you can save an additional 5 off on any qualified VPPBid Room order Thru Saturday 52,trust,1.3279999999999998,save 
I dont have no friend I got trust issue,trust,1.5550000000000002,have got 
Good Morning Contractors amp Pro Xtra Members This week SAVE 5 more on all qualified VPP Bid room order Till 52,trust,1.945,save 
Playing flag football in team sport Got cup checked Shit hurt facewithtearsofjoy facewithtearsofjoy ambulance,trust,1.219,playing got checked hurt 
Thats how you know I really dont want you I try to put you on with my friend Lol Ive done that with like 3 different guy,trust,1.234,know want try put done 
I think this song is why I grew up liking to say word in stupid way lol,trust,2.0620000000000003,think grew liking say 
havent been feeling good lately pensiveface,trust,1.135,feeling 
My gf look so good right now wearyface Im out looking like a bum bump facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy loudlycryingface,trust,1.101,look looking 
